* Measurement data measured by REW V5.20
* Source: C:\Users\ahngu\Desktop\test.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 7, 2021 1:10:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: test
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	0.000000	0.0000
20.600000	0.000000	0.0000
21.200001	0.000000	0.0000
21.799999	0.000000	0.0000
22.400000	0.000000	0.0000
23.000000	0.000000	0.0000
23.600000	0.000000	0.0000
24.299999	0.000000	0.0000
25.000000	0.000000	0.0000
25.799999	0.000000	0.0000
26.500000	0.000000	0.0000
27.200001	0.000000	0.0000
28.000000	0.000000	0.0000
29.000000	0.000000	0.0000
30.000000	0.000000	0.0000
30.700001	0.000000	0.0000
31.500000	0.000000	0.0000
32.500000	0.000000	0.0000
33.500000	0.000000	0.0000
34.500000	0.000000	0.0000
35.500000	0.000000	0.0000
36.500000	0.000000	0.0000
37.500000	0.000000	0.0000
38.700001	0.000000	0.0000
40.000000	0.000000	0.0000
41.200001	0.000000	0.0000
42.500000	0.000000	0.0000
43.700001	0.000000	0.0000
45.000000	0.000000	0.0000
46.200001	0.000000	0.0000
47.500000	0.000000	0.0000
48.700001	0.000000	0.0000
50.000000	0.000000	0.0000
51.500000	0.000000	0.0000
53.000000	0.000000	0.0000
54.500000	0.000000	0.0000
56.000000	0.000000	0.0000
58.000000	0.000000	0.0000
60.000000	0.000000	0.0000
61.500000	0.000000	0.0000
63.000000	0.000000	0.0000
65.000000	0.000000	0.0000
67.000000	0.000000	0.0000
69.000000	0.000000	0.0000
71.000000	0.000000	0.0000
73.000000	0.000000	0.0000
75.000000	0.000000	0.0000
77.500000	0.000000	0.0000
80.000000	0.000000	0.0000
82.500000	0.000000	0.0000
85.000000	0.000000	0.0000
87.500000	0.000000	0.0000
90.000000	0.000000	0.0000
92.500000	0.000000	0.0000
95.000000	0.000000	0.0000
97.500000	0.000000	0.0000
100.000000	0.000000	0.0000
103.000000	0.000000	0.0000
106.000000	0.000000	0.0000
109.000000	0.000000	0.0000
112.000000	0.000000	0.0000
115.000000	0.000000	0.0000
118.000000	0.000000	0.0000
122.000000	0.000000	0.0000
125.000000	0.000000	0.0000
128.000000	0.000000	0.0000
132.000000	0.000000	0.0000
136.000000	0.000000	0.0000
140.000000	0.000000	0.0000
145.000000	0.000000	0.0000
150.000000	0.000000	0.0000
155.000000	0.000000	0.0000
160.000000	0.000000	0.0000
165.000000	0.000000	0.0000
170.000000	0.000000	0.0000
175.000000	0.000000	0.0000
180.000000	0.000000	0.0000
185.000000	0.000000	0.0000
190.000000	0.000000	0.0000
195.000000	0.000000	0.0000
200.000000	0.000000	0.0000
206.000000	0.000000	0.0000
212.000000	0.000000	0.0000
218.000000	0.000000	0.0000
224.000000	0.000000	0.0000
230.000000	0.000000	0.0000
236.000000	0.000000	0.0000
243.000000	0.000000	0.0000
250.000000	0.000000	0.0000
258.000000	0.000000	0.0000
265.000000	0.000000	0.0000
272.000000	0.000000	0.0000
280.000000	0.000000	0.0000
290.000000	0.000000	0.0000
300.000000	0.000000	0.0000
307.000000	0.000000	0.0000
315.000000	0.000000	0.0000
325.000000	0.000000	0.0000
335.000000	0.000000	0.0000
345.000000	0.000000	0.0000
355.000000	0.000000	0.0000
365.000000	0.000000	0.0000
375.000000	0.000000	0.0000
387.000000	0.000000	0.0000
400.000000	0.000000	0.0000
412.000000	0.000000	0.0000
425.000000	0.000000	0.0000
437.000000	0.000000	0.0000
450.000000	0.000000	0.0000
462.000000	0.000000	0.0000
475.000000	0.000000	0.0000
487.000000	0.000000	0.0000
500.000000	0.000000	0.0000
515.000000	0.000000	0.0000
530.000000	0.000000	0.0000
545.000000	0.000000	0.0000
560.000000	0.000000	0.0000
580.000000	0.000000	0.0000
600.000000	0.000000	0.0000
615.000000	0.000000	0.0000
630.000000	0.000006	0.0000
650.000000	-0.000047	0.0000
670.000000	-0.002038	0.0000
690.000000	0.009851	0.0000
710.000000	0.102617	0.0000
730.000000	0.158967	0.0000
750.000000	0.186550	0.0000
775.000000	0.196451	0.0000
800.000000	0.195546	0.0000
825.000000	0.203879	0.0000
850.000000	0.234425	0.0000
875.000000	0.289446	0.0000
900.000000	0.362517	0.0000
925.000000	0.441866	0.0000
950.000000	0.514853	0.0000
975.000000	0.572393	0.0000
1000.000000	0.610318	0.0000
1030.000000	0.632268	0.0000
1060.000000	0.636967	0.0000
1090.000000	0.634700	0.0000
1120.000000	0.633812	0.0000
1150.000000	0.640361	0.0000
1180.000000	0.661198	0.0000
1220.000000	0.722395	0.0000
1250.000000	0.802332	0.0000
1280.000000	0.918754	0.0000
1320.000000	1.125199	0.0000
1360.000000	1.368894	0.0000
1400.000000	1.618012	0.0000
1450.000000	1.899511	0.0000
1500.000000	2.133033	0.0000
1550.000000	2.326402	0.0000
1600.000000	2.498788	0.0000
1650.000000	2.667883	0.0000
1700.000000	2.846391	0.0000
1750.000000	3.043158	0.0000
1800.000000	3.263760	0.0000
1850.000000	3.509792	0.0000
1900.000000	3.778864	0.0000
1950.000000	4.065660	0.0000
2000.000000	4.363620	0.0000
2060.000000	4.725672	0.0000
2120.000000	5.081236	0.0000
2180.000000	5.419843	0.0000
2240.000000	5.734203	0.0000
2300.000000	6.020526	0.0000
2360.000000	6.276884	0.0000
2430.000000	6.538581	0.0000
2500.000000	6.763805	0.0000
2580.000000	6.989750	0.0000
2650.000000	7.176478	0.0000
2720.000000	7.367488	0.0000
2800.000000	7.599971	0.0000
2900.000000	7.904362	0.0000
3000.000000	8.199651	0.0000
3070.000000	8.386784	0.0000
3150.000000	8.572155	0.0000
3250.000000	8.757378	0.0000
3350.000000	8.885704	0.0000
3450.000000	8.952171	0.0000
3550.000000	8.956704	0.0000
3650.000000	8.906137	0.0000
3750.000000	8.812434	0.0000
3870.000000	8.664663	0.0000
4000.000000	8.493255	0.0000
4120.000000	8.362969	0.0000
4250.000000	8.298320	0.0000
4370.000000	8.334139	0.0000
4500.000000	8.460951	0.0000
4620.000000	8.606112	0.0000
4750.000000	8.728733	0.0000
4870.000000	8.769314	0.0000
5000.000000	8.714905	0.0000
5150.000000	8.530484	0.0000
5300.000000	8.242447	0.0000
5450.000000	7.892552	0.0000
5600.000000	7.520204	0.0000
5800.000000	7.024429	0.0000
6000.000000	6.531568	0.0000
6150.000000	6.149419	0.0000
6300.000000	5.740989	0.0000
6500.000000	5.142808	0.0000
6700.000000	4.482555	0.0000
6900.000000	3.786552	0.0000
7100.000000	3.113233	0.0000
7300.000000	2.539229	0.0000
7500.000000	2.126789	0.0000
7750.000000	1.822094	0.0000
8000.000000	1.600568	0.0000
8250.000000	1.276203	0.0000
8500.000000	0.739822	0.0000
8750.000000	0.003096	0.0000
9000.000000	-0.823929	0.0000
9250.000000	-1.415410	0.0000
9500.000000	-1.606677	0.0000
9750.000000	-1.728567	0.0000
10000.000000	-1.835630	0.0000
10300.000000	-1.960439	0.0000
10600.000000	-2.101949	0.0000
10900.000000	-2.298564	0.0000
11200.000000	-2.638921	0.0000
11500.000000	-3.014140	0.0000
11800.000000	-3.402789	0.0000
12200.000000	-3.939800	0.0000
12500.000000	-4.354406	0.0000
12800.000000	-4.777800	0.0000
13200.000000	-5.352537	0.0000
13600.000000	-5.937213	0.0000
14000.000000	-6.472071	0.0000
14500.000000	-6.651315	0.0000
15000.000000	-6.719893	0.0000
15500.000000	-6.738337	0.0000
16000.000000	-6.713296	0.0000
16500.000000	-6.651919	0.0000
17000.000000	-6.561485	0.0000
17500.000000	-6.449169	0.0000
18000.000000	-6.322362	0.0000
18500.000000	-6.210236	0.0000
19000.000000	-6.208849	0.0000
19500.000000	-6.209774	0.0000
20000.000000	-6.209773	0.0000
