* Measurement data measured by REW V5.20
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Atrium L1, Atrium L2
* Dated: Apr 21, 2022 11:04:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from Atrium L1, Atrium L2
* Measurement: Atrium L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	67.028938	0
21.200001	67.189575	0
21.799999	67.451996	0
22.400000	67.767105	0
23.000000	67.984512	0
23.600000	68.324905	0
24.299999	68.856010	0
25.000000	69.130196	0
25.799999	69.283340	0
26.500000	69.440384	0
27.200001	69.706894	0
28.000000	70.119728	0
29.000000	70.363998	0
30.000000	70.685669	0
30.700001	70.969582	0
31.500000	71.235863	0
32.500000	71.407021	0
33.500000	71.473480	0
34.500000	71.680511	0
35.500000	72.102692	0
36.500000	72.263496	0
37.500000	72.489922	0
38.700001	72.676239	0
40.000000	72.756210	0
41.200001	72.793991	0
42.500000	72.836052	0
43.700001	73.145386	0
45.000000	73.571442	0
46.200001	73.878220	0
47.500000	74.207169	0
48.700001	74.403046	0
50.000000	74.286140	0
51.500000	74.470665	0
53.000000	74.532242	0
54.500000	74.451630	0
56.000000	74.625534	0
58.000000	74.873169	0
60.000000	74.980515	0
61.500000	74.864868	0
63.000000	75.064064	0
65.000000	75.055481	0
67.000000	75.266159	0
69.000000	75.376808	0
71.000000	75.501076	0
73.000000	75.590370	0
75.000000	75.638245	0
77.500000	75.673538	0
80.000000	75.794289	0
82.500000	75.880585	0
85.000000	75.933884	0
87.500000	75.945404	0
90.000000	75.858406	0
92.500000	75.989960	0
95.000000	76.076065	0
97.500000	76.154175	0
100.000000	76.126587	0
103.000000	76.026611	0
106.000000	76.120262	0
109.000000	76.176094	0
112.000000	76.177773	0
115.000000	76.168190	0
118.000000	76.168053	0
122.000000	76.185608	0
125.000000	76.205460	0
128.000000	76.214844	0
132.000000	76.224258	0
136.000000	76.240646	0
140.000000	76.277313	0
145.000000	76.297691	0
150.000000	76.281639	0
155.000000	76.241409	0
160.000000	76.217697	0
165.000000	76.223190	0
170.000000	76.201431	0
175.000000	76.146645	0
180.000000	76.084564	0
185.000000	76.016785	0
190.000000	75.952103	0
195.000000	75.855400	0
200.000000	75.768509	0
206.000000	75.700310	0
212.000000	75.633041	0
218.000000	75.582916	0
224.000000	75.509682	0
230.000000	75.440659	0
236.000000	75.386955	0
243.000000	75.353531	0
250.000000	75.338684	0
258.000000	75.297485	0
265.000000	75.272141	0
272.000000	75.274376	0
280.000000	75.280342	0
290.000000	75.288490	0
300.000000	75.297485	0
307.000000	75.272949	0
315.000000	75.234482	0
325.000000	75.171631	0
335.000000	75.088806	0
345.000000	75.003860	0
355.000000	74.913727	0
365.000000	74.894234	0
375.000000	74.918976	0
387.000000	74.929688	0
400.000000	74.911453	0
412.000000	74.890419	0
425.000000	74.861145	0
437.000000	74.843567	0
450.000000	74.777832	0
462.000000	74.681923	0
475.000000	74.574982	0
487.000000	74.504250	0
500.000000	74.467926	0
515.000000	74.465622	0
530.000000	74.496384	0
545.000000	74.549263	0
560.000000	74.604965	0
580.000000	74.557838	0
600.000000	74.513504	0
615.000000	74.441429	0
630.000000	74.352188	0
650.000000	74.294159	0
670.000000	74.241516	0
690.000000	74.221458	0
710.000000	74.237625	0
730.000000	74.306938	0
750.000000	74.318222	0
775.000000	74.184402	0
800.000000	74.032684	0
825.000000	74.120064	0
850.000000	74.269104	0
875.000000	74.335144	0
900.000000	74.355324	0
925.000000	74.412727	0
950.000000	74.453232	0
975.000000	74.372330	0
1000.000000	74.138062	0
1030.000000	73.839935	0
1060.000000	73.598099	0
1090.000000	73.329170	0
1120.000000	73.076881	0
1150.000000	72.927238	0
1180.000000	72.684097	0
1220.000000	72.492874	0
1250.000000	72.467789	0
1280.000000	72.411087	0
1320.000000	72.511101	0
1360.000000	72.796944	0
1400.000000	73.137749	0
1450.000000	73.636147	0
1500.000000	74.152374	0
1550.000000	74.649414	0
1600.000000	75.238525	0
1650.000000	75.726387	0
1700.000000	76.258659	0
1750.000000	76.865555	0
1800.000000	77.521790	0
1850.000000	78.161430	0
1900.000000	78.716873	0
1950.000000	79.171646	0
2000.000000	79.497704	0
2060.000000	79.750229	0
2120.000000	79.932358	0
2180.000000	80.164612	0
2240.000000	80.544205	0
2300.000000	80.981331	0
2360.000000	81.392014	0
2430.000000	81.714531	0
2500.000000	81.830856	0
2580.000000	81.789856	0
2650.000000	81.694046	0
2720.000000	81.578506	0
2800.000000	81.437767	0
2900.000000	81.202400	0
3000.000000	80.918747	0
3070.000000	80.683128	0
3150.000000	80.384033	0
3250.000000	79.859474	0
3350.000000	79.215103	0
3450.000000	78.547523	0
3550.000000	77.868774	0
3650.000000	77.171127	0
3750.000000	76.422874	0
3870.000000	75.450600	0
4000.000000	74.331184	0
4120.000000	73.238960	0
4250.000000	72.052147	0
4370.000000	71.134689	0
4500.000000	70.979240	0
4620.000000	72.200539	0
4750.000000	74.648376	0
4870.000000	76.985336	0
5000.000000	79.169113	0
5150.000000	81.223160	0
5300.000000	82.720398	0
5450.000000	83.595596	0
5600.000000	83.732002	0
5800.000000	82.462173	0
6000.000000	79.680428	0
6150.000000	76.921333	0
6300.000000	73.813522	0
6500.000000	69.089432	0
6700.000000	63.199348	0
6900.000000	58.056370	0
7100.000000	62.932224	0
7300.000000	68.258141	0
7500.000000	72.144073	0
7750.000000	73.927872	0
8000.000000	72.267410	0
8250.000000	70.000084	0
8500.000000	69.032646	0
8750.000000	69.260834	0
9000.000000	68.576599	0
9250.000000	66.237473	0
9500.000000	63.434357	0
9750.000000	61.186432	0
10000.000000	59.521690	0
10300.000000	57.996964	0
10600.000000	57.160385	0
10900.000000	56.746513	0
11200.000000	57.299282	0
11500.000000	61.267101	0
11800.000000	64.740776	0
12200.000000	65.025818	0
12500.000000	62.703545	0
12800.000000	59.827095	0
13200.000000	56.675552	0
13600.000000	55.596100	0
14000.000000	56.410469	0
14500.000000	58.125175	0
15000.000000	61.851643	0
15500.000000	65.711647	0
16000.000000	65.273262	0
16500.000000	64.060493	0
17000.000000	64.715034	0
17500.000000	67.552025	0
18000.000000	69.269157	0
18500.000000	67.235832	0
19000.000000	66.796280	0
19500.000000	67.434875	0
