* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 24, 2024 11:46:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bokeh Hybrid TP R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 40.407 158.0380
0.732422 41.424 130.0063
1.098633 44.256 99.3704
1.464844 48.298 74.8784
1.831055 52.338 57.1291
2.197266 55.896 43.4052
2.563477 58.913 32.0043
2.929688 61.446 22.1842
3.295898 63.583 13.6358
3.662109 65.414 6.1738
4.028320 67.017 -0.3989
4.394531 68.449 -6.3114
4.760742 69.741 -11.7683
5.126953 70.907 -16.8887
5.493164 71.959 -21.6958
5.859375 72.912 -26.1664
6.225586 73.788 -30.3025
6.591797 74.608 -34.1697
6.958008 75.381 -37.8724
7.324219 76.104 -41.4878
7.690430 76.768 -45.0140
8.056641 77.372 -48.3778
8.422852 77.924 -51.4954
8.789062 78.445 -54.3452
9.155273 78.951 -56.9972
9.521484 79.448 -59.5756
9.887695 79.927 -62.1784
10.253906 80.372 -64.8185
10.620117 80.774 -67.4251
10.986328 81.135 -69.8982
11.352539 81.467 -72.1747
11.718750 81.788 -74.2676
12.084961 82.110 -76.2579
12.451172 82.432 -78.2477
12.817383 82.746 -80.3056
13.183594 83.038 -82.4349
13.549805 83.300 -84.5786
13.916016 83.531 -86.6512
14.282227 83.741 -88.5847
14.648438 83.945 -90.3692
15.014648 84.152 -92.0642
15.380859 84.365 -93.7635
15.747070 84.573 -95.5292
16.113281 84.763 -97.3420
16.479492 84.929 -99.1098
16.845703 85.078 -100.7393
17.211914 85.232 -102.2212
17.578125 85.402 -103.6620
17.944336 85.584 -105.2135
18.310547 85.755 -106.9475
18.676758 85.888 -108.7777
19.042969 85.977 -110.5014
19.409180 86.043 -111.9368
19.775391 86.123 -113.0718
20.141602 86.245 -114.1064
20.507812 86.399 -115.3195
20.874023 86.540 -116.8530
21.240234 86.633 -118.6013
21.606445 86.657 -120.2820
21.972656 86.640 -121.6201
22.338867 86.625 -122.5322
22.705078 86.655 -123.1927
23.071289 86.736 -123.9105
23.437500 86.839 -124.9020
23.803711 86.924 -126.1620
24.169922 86.970 -127.5154
24.536133 86.982 -128.7679
24.902344 86.980 -129.8332
25.268555 86.987 -130.7615
25.634766 87.006 -131.6665
26.000977 87.029 -132.6236
26.367188 87.044 -133.6270
26.733398 87.048 -134.6245
27.099609 87.044 -135.5800
27.465820 87.039 -136.5013
27.832031 87.031 -137.4146
28.198242 87.018 -138.3213
28.564453 86.998 -139.1840
28.930664 86.977 -139.9608
29.296875 86.967 -140.6576
29.663086 86.975 -141.3492
30.029297 87.000 -142.1398
30.395508 87.026 -143.0893
30.761719 87.035 -144.1625
31.127930 87.017 -145.2421
31.494141 86.977 -146.1963
31.860352 86.937 -146.9612
32.226562 86.914 -147.5857
32.592773 86.917 -148.2013
32.958984 86.935 -148.9301
33.325195 86.947 -149.7992
33.691406 86.937 -150.7247
34.057617 86.904 -151.5732
34.423828 86.861 -152.2540
34.790039 86.829 -152.7820
35.156250 86.817 -153.2660
35.522461 86.819 -153.8264
35.888672 86.820 -154.5099
36.254883 86.804 -155.2662
36.621094 86.765 -155.9937
36.987305 86.713 -156.6095
37.353516 86.660 -157.0912
37.719727 86.617 -157.4705
38.085938 86.589 -157.7982
38.452148 86.577 -158.1203
38.818359 86.582 -158.4833
39.184570 86.601 -158.9426
39.550781 86.624 -159.5451
39.916992 86.637 -160.2866
40.283203 86.629 -161.0865
40.649414 86.599 -161.8160
41.015625 86.562 -162.3765
41.381836 86.541 -162.7765
41.748047 86.550 -163.1417
42.114258 86.583 -163.6296
42.480469 86.616 -164.3104
42.846680 86.627 -165.1125
43.212891 86.608 -165.8734
43.579102 86.574 -166.4545
43.945312 86.549 -166.8407
44.311523 86.553 -167.1542
44.677734 86.581 -167.5642
45.043945 86.612 -168.1624
45.410156 86.624 -168.9062
45.776367 86.608 -169.6643
46.142578 86.573 -170.3183
46.508789 86.539 -170.8475
46.875000 86.517 -171.3379
47.241211 86.506 -171.9090
47.607422 86.490 -172.6159
47.973633 86.453 -173.4073
48.339844 86.391 -174.1668
48.706055 86.315 -174.8047
49.072266 86.245 -175.3288
49.438477 86.187 -175.8369
49.804688 86.133 -176.4273
50.170898 86.064 -177.0982
50.537109 85.969 -177.7237
50.903320 85.855 -178.1350
51.269531 85.753 -178.2560
51.635742 85.696 -178.1983
52.001953 85.692 -178.2178
52.368164 85.717 -178.5405
52.734375 85.730 -179.2030
53.100586 85.699 179.9640
53.466797 85.622 179.2168
53.833008 85.521 178.7373
54.199219 85.433 178.5259
54.565430 85.378 178.4192
54.931641 85.352 178.2238
55.297852 85.330 177.8561
55.664062 85.292 177.3746
56.030273 85.232 176.9042
56.396484 85.160 176.5342
56.762695 85.090 176.2681
57.128906 85.029 176.0494
57.495117 84.975 175.8245
57.861328 84.922 175.5815
58.227539 84.869 175.3371
58.593750 84.817 175.1005
58.959961 84.766 174.8592
59.326172 84.713 174.6013
59.692383 84.653 174.3468
60.058594 84.586 174.1484
60.424805 84.520 174.0529
60.791016 84.465 174.0532
61.157227 84.430 174.0765
61.523438 84.412 174.0286
61.889648 84.397 173.8602
62.255859 84.371 173.6036
62.622070 84.327 173.3483
62.988281 84.273 173.1782
63.354492 84.221 173.1149
63.720703 84.180 173.1081
64.086914 84.151 173.0801
64.453125 84.125 172.9871
64.819336 84.093 172.8480
65.185547 84.051 172.7189
65.551758 84.006 172.6394
65.917969 83.965 172.5980
66.284180 83.928 172.5472
66.650391 83.891 172.4574
67.016602 83.844 172.3564
67.382812 83.789 172.3137
67.749023 83.737 172.3749
68.115234 83.700 172.5012
68.481445 83.684 172.5781
68.847656 83.675 172.5047
69.213867 83.652 172.2909
69.580078 83.599 172.0746
69.946289 83.525 172.0331
70.312500 83.460 172.2430
70.678711 83.433 172.5917
71.044922 83.452 172.8346
71.411133 83.489 172.7776
71.777344 83.505 172.4302
72.143555 83.472 172.0031
72.509766 83.399 171.7675
72.875977 83.320 171.8749
73.242188 83.276 172.2473
73.608398 83.285 172.6298
73.974609 83.328 172.7818
74.340820 83.369 172.6453
74.707031 83.379 172.3566
75.073242 83.356 172.1267
75.439453 83.321 172.0945
75.805664 83.301 172.2454
76.171875 83.312 172.4370
76.538086 83.348 172.5094
76.904297 83.389 172.3884
77.270508 83.415 172.1136
77.636719 83.416 171.7948
78.002930 83.396 171.5432
78.369141 83.370 171.4166
78.735352 83.352 171.3956
79.101562 83.353 171.3943
79.467773 83.369 171.3026
79.833984 83.388 171.0461
80.200195 83.388 170.6349
80.566406 83.356 170.1735
80.932617 83.291 169.8211
81.298828 83.210 169.7122
81.665039 83.143 169.8702
82.031250 83.116 170.1690
82.397461 83.134 170.3902
82.763672 83.178 170.3508
83.129883 83.214 170.0112
83.496094 83.216 169.4877
83.862305 83.175 168.9799
84.228516 83.105 168.6653
84.594727 83.033 168.6142
84.960938 82.985 168.7628
85.327148 82.972 168.9589
85.693359 82.988 169.0511
86.059570 83.016 168.9612
86.425781 83.035 168.7032
86.791992 83.033 168.3561
87.158203 83.009 168.0206
87.524414 82.967 167.7816
87.890625 82.920 167.6840
88.256836 82.881 167.7209
88.623047 82.859 167.8392
88.989258 82.857 167.9596
89.355469 82.873 168.0075
89.721680 82.897 167.9365
90.087891 82.919 167.7355
90.454102 82.932 167.4225
90.820312 82.927 167.0347
91.186523 82.900 166.6262
91.552734 82.851 166.2686
91.918945 82.784 166.0424
92.285156 82.712 166.0096
92.651367 82.653 166.1734
93.017578 82.626 166.4515
93.383789 82.636 166.6954
93.750000 82.673 166.7566
94.116211 82.714 166.5632
94.482422 82.736 166.1540
94.848633 82.722 165.6551
95.214844 82.674 165.2218
95.581055 82.603 164.9756
95.947266 82.530 164.9628
96.313477 82.476 165.1454
96.679688 82.453 165.4232
97.045898 82.463 165.6730
97.412109 82.500 165.7849
97.778320 82.548 165.6895
98.144531 82.592 165.3728
98.510742 82.614 164.8804
98.876953 82.603 164.3072
99.243164 82.560 163.7708
99.609375 82.491 163.3744
99.975586 82.413 163.1718
100.341797 82.341 163.1521
100.708008 82.287 163.2535
101.074219 82.254 163.3989
101.440430 82.240 163.5267
101.806641 82.242 163.5988
102.172852 82.255 163.5881
102.539062 82.275 163.4667
102.905273 82.295 163.2130
103.271484 82.304 162.8318
103.637695 82.293 162.3696
104.003906 82.258 161.9057
104.370117 82.202 161.5203
104.736328 82.137 161.2589
105.102539 82.073 161.1160
105.468750 82.015 161.0515
105.834961 81.964 161.0268
106.201172 81.917 161.0313
106.567383 81.875 161.0757
106.933594 81.842 161.1616
107.299805 81.822 161.2558
107.666016 81.816 161.2978
108.032227 81.817 161.2367
108.398438 81.812 161.0681
108.764648 81.795 160.8387
109.130859 81.765 160.6155
109.497070 81.726 160.4415
109.863281 81.687 160.3140
110.229492 81.650 160.1990
110.595703 81.612 160.0705
110.961914 81.568 159.9401
111.328125 81.516 159.8521
111.694336 81.462 159.8493
112.060547 81.415 159.9359
112.426758 81.382 160.0689
112.792969 81.365 160.1835
113.159180 81.358 160.2324
113.525391 81.353 160.2072
113.891602 81.346 160.1277
114.257812 81.336 160.0156
114.624023 81.325 159.8762
114.990234 81.310 159.7021
115.356445 81.291 159.4924
115.722656 81.264 159.2636
116.088867 81.228 159.0436
116.455078 81.188 158.8500
116.821289 81.145 158.6769
117.187500 81.102 158.5014
117.553711 81.054 158.3101
117.919922 80.996 158.1212
118.286133 80.927 157.9824
118.652344 80.851 157.9428
119.018555 80.779 158.0176
119.384766 80.718 158.1735
119.750977 80.673 158.3489
120.117188 80.639 158.4927
120.483398 80.609 158.5935
120.849609 80.578 158.6744
121.215820 80.549 158.7632
121.582031 80.525 158.8622
121.948242 80.509 158.9434
122.314453 80.499 158.9689
122.680664 80.490 158.9191
123.046875 80.475 158.8055
123.413086 80.451 158.6604
123.779297 80.418 158.5161
124.145508 80.379 158.3900
124.511719 80.336 158.2834
124.877930 80.291 158.1911
125.244141 80.243 158.1092
125.610352 80.192 158.0374
125.976562 80.137 157.9788
126.342773 80.078 157.9401
126.708984 80.013 157.9348
127.075195 79.946 157.9818
127.441406 79.877 158.0963
127.807617 79.813 158.2775
128.173828 79.757 158.5043
128.540039 79.710 158.7464
128.906250 79.669 158.9838
129.272461 79.631 159.2192
129.638672 79.596 159.4699
130.004883 79.568 159.7457
130.371094 79.549 160.0300
130.737305 79.542 160.2822
131.103516 79.543 160.4631
131.469727 79.543 160.5615
131.835938 79.537 160.6032
132.202148 79.524 160.6326
132.568359 79.506 160.6827
132.934570 79.490 160.7543
133.300781 79.478 160.8187
133.666992 79.469 160.8415
134.033203 79.457 160.8088
134.399414 79.437 160.7379
134.765625 79.406 160.6667
135.131836 79.368 160.6305
135.498047 79.327 160.6443
135.864258 79.287 160.6979
136.230469 79.250 160.7664
136.596680 79.215 160.8273
136.962891 79.180 160.8729
137.329102 79.140 160.9130
137.695312 79.095 160.9670
138.061523 79.047 161.0536
138.427734 78.998 161.1823
138.793945 78.950 161.3503
139.160156 78.906 161.5445
139.526367 78.866 161.7481
139.892578 78.829 161.9478
140.258789 78.791 162.1400
140.625000 78.752 162.3322
140.991211 78.711 162.5401
141.357422 78.668 162.7793
141.723633 78.627 163.0565
142.089844 78.591 163.3634
142.456055 78.562 163.6785
142.822266 78.540 163.9761
143.188477 78.520 164.2391
143.554688 78.500 164.4671
143.920898 78.477 164.6755
144.287109 78.450 164.8856
144.653320 78.423 165.1125
145.019531 78.396 165.3571
145.385742 78.373 165.6074
145.751953 78.354 165.8477
146.118164 78.337 166.0682
146.484375 78.320 166.2693
146.850586 78.302 166.4583
147.216797 78.284 166.6420
147.583008 78.266 166.8217
147.949219 78.249 166.9933
148.315430 78.231 167.1533
148.681641 78.211 167.3045
149.047852 78.188 167.4581
149.414062 78.162 167.6293
