* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 24, 2024 12:02:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bokeh Ultra R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 29.995 -172.4063
0.732422 30.172 -163.9694
1.098633 30.962 -161.2596
1.464844 31.626 -171.5930
1.831055 31.892 160.7084
2.197266 33.570 117.1358
2.563477 37.472 78.4177
2.929688 41.354 52.4684
3.295898 44.338 34.2496
3.662109 46.482 20.8779
4.028320 48.017 11.4703
4.394531 49.234 5.6248
4.760742 50.424 2.3727
5.126953 51.742 -0.0614
5.493164 53.118 -3.2831
5.859375 54.377 -7.7562
6.225586 55.387 -12.9448
6.591797 56.118 -17.9135
6.958008 56.640 -21.7782
7.324219 57.100 -24.0768
7.690430 57.669 -25.1091
8.056641 58.438 -25.8798
8.422852 59.358 -27.4128
8.789062 60.309 -30.1115
9.155273 61.187 -33.7797
9.521484 61.942 -37.9865
9.887695 62.564 -42.3307
10.253906 63.066 -46.5208
10.620117 63.464 -50.3406
10.986328 63.779 -53.5955
11.352539 64.049 -56.1195
11.718750 64.330 -57.8786
12.084961 64.680 -59.1055
12.451172 65.126 -60.2955
12.817383 65.632 -61.9603
13.183594 66.120 -64.3169
13.549805 66.512 -67.1788
13.916016 66.771 -70.0742
14.282227 66.914 -72.4698
14.648438 67.015 -74.0287
15.014648 67.168 -74.8416
15.380859 67.432 -75.4412
15.747070 67.787 -76.4622
16.113281 68.154 -78.2029
16.479492 68.454 -80.4919
16.845703 68.655 -82.8767
17.211914 68.783 -84.9159
17.578125 68.901 -86.4342
17.944336 69.068 -87.6301
18.310547 69.297 -88.9214
18.676758 69.546 -90.6102
19.042969 69.753 -92.6599
19.409180 69.885 -94.7474
19.775391 69.954 -96.4932
20.141602 70.012 -97.7152
20.507812 70.112 -98.5641
20.874023 70.265 -99.4158
21.240234 70.442 -100.5770
21.606445 70.589 -102.0728
21.972656 70.679 -103.6849
22.338867 70.716 -105.1553
22.705078 70.730 -106.3799
23.071289 70.750 -107.4580
23.437500 70.775 -108.5614
23.803711 70.782 -109.7407
24.169922 70.757 -110.8563
24.536133 70.713 -111.6979
24.902344 70.696 -112.2034
25.268555 70.748 -112.5941
25.634766 70.874 -113.2705
26.000977 71.028 -114.5259
26.367188 71.146 -116.3416
26.733398 71.187 -118.4176
27.099609 71.147 -120.3552
27.465820 71.064 -121.8566
27.832031 70.991 -122.8616
28.198242 70.968 -123.5519
28.564453 71.003 -124.2076
28.930664 71.073 -125.0206
29.296875 71.148 -126.0114
29.663086 71.210 -127.0820
30.029297 71.260 -128.1263
30.395508 71.306 -129.1102
30.761719 71.356 -130.0819
31.127930 71.405 -131.1207
31.494141 71.439 -132.2663
31.860352 71.441 -133.4769
32.226562 71.400 -134.6353
32.592773 71.322 -135.5971
32.958984 71.226 -136.2565
33.325195 71.136 -136.6017
33.691406 71.078 -136.7282
34.057617 71.060 -136.7972
34.423828 71.076 -136.9614
34.790039 71.112 -137.3084
35.156250 71.149 -137.8497
35.522461 71.173 -138.5400
35.888672 71.177 -139.2982
36.254883 71.157 -140.0214
36.621094 71.122 -140.6043
36.987305 71.089 -140.9829
37.353516 71.081 -141.1893
37.719727 71.114 -141.3735
38.085938 71.180 -141.7427
38.452148 71.251 -142.4360
38.818359 71.285 -143.4192
39.184570 71.256 -144.4745
39.550781 71.165 -145.2919
39.916992 71.048 -145.6295
40.283203 70.965 -145.4872
40.649414 70.964 -145.1806
41.015625 71.044 -145.1940
41.381836 71.149 -145.8774
41.748047 71.205 -147.2349
42.114258 71.154 -148.9374
42.480469 70.986 -150.4854
42.846680 70.742 -151.4265
43.212891 70.504 -151.5886
43.579102 70.351 -151.2274
43.945312 70.312 -150.8954
44.311523 70.340 -151.0454
44.677734 70.362 -151.7255
45.043945 70.334 -152.6176
45.410156 70.262 -153.3113
45.776367 70.198 -153.6041
46.142578 70.197 -153.6534
46.508789 70.269 -153.8452
46.875000 70.371 -154.4598
47.241211 70.442 -155.4476
47.607422 70.452 -156.4888
47.973633 70.413 -157.2343
48.339844 70.375 -157.5499
48.706055 70.380 -157.6099
49.072266 70.432 -157.7447
49.438477 70.493 -158.1597
49.804688 70.516 -158.7817
50.170898 70.487 -159.3448
50.537109 70.427 -159.6129
50.903320 70.381 -159.5735
51.269531 70.376 -159.4630
51.635742 70.400 -159.5765
52.001953 70.408 -160.0197
52.368164 70.362 -160.6189
52.734375 70.257 -161.0419
53.100586 70.134 -161.0308
53.466797 70.054 -160.6189
53.833008 70.056 -160.1636
54.199219 70.120 -160.1046
54.565430 70.185 -160.6304
54.931641 70.186 -161.5469
55.297852 70.100 -162.4099
55.664062 69.962 -162.7959
56.030273 69.846 -162.5851
56.396484 69.815 -162.0910
56.762695 69.868 -161.8510
57.128906 69.938 -162.1906
57.495117 69.947 -162.9689
57.861328 69.857 -163.6850
58.227539 69.704 -163.8007
58.593750 69.582 -163.1248
58.959961 69.584 -162.0544
59.326172 69.720 -161.3677
59.692383 69.911 -161.6401
60.058594 70.041 -162.8739
60.424805 70.034 -164.5968
60.791016 69.878 -166.1612
61.157227 69.623 -167.0232
61.523438 69.361 -166.9701
61.889648 69.183 -166.2426
62.255859 69.130 -165.4111
62.622070 69.173 -165.0220
62.988281 69.242 -165.3048
63.354492 69.272 -166.1439
63.720703 69.228 -167.2191
64.086914 69.110 -168.1635
64.453125 68.948 -168.6890
64.819336 68.794 -168.6910
65.185547 68.695 -168.3029
65.551758 68.673 -167.8353
65.917969 68.709 -167.5946
66.284180 68.762 -167.7051
66.650391 68.790 -168.0691
67.016602 68.779 -168.4634
67.382812 68.738 -168.6849
67.749023 68.693 -168.6585
68.115234 68.670 -168.4565
68.481445 68.673 -168.2258
68.847656 68.695 -168.0872
69.213867 68.721 -168.0836
69.580078 68.739 -168.1976
69.946289 68.743 -168.3942
70.312500 68.732 -168.6439
70.678711 68.704 -168.9160
71.044922 68.659 -169.1686
71.411133 68.603 -169.3603
71.777344 68.546 -169.4776
72.143555 68.496 -169.5533
72.509766 68.456 -169.6483
72.875977 68.420 -169.8063
73.242188 68.382 -170.0200
73.608398 68.336 -170.2382
73.974609 68.288 -170.4091
74.340820 68.245 -170.5240
74.707031 68.214 -170.6239
75.073242 68.190 -170.7602
75.439453 68.165 -170.9441
75.805664 68.130 -171.1261
76.171875 68.087 -171.2258
76.538086 68.045 -171.1922
76.904297 68.018 -171.0514
77.270508 68.016 -170.9039
77.636719 68.030 -170.8669
78.002930 68.042 -170.9993
78.369141 68.034 -171.2623
78.735352 67.994 -171.5375
79.101562 67.927 -171.6893
79.467773 67.853 -171.6385
79.833984 67.793 -171.4150
80.200195 67.763 -171.1531
80.566406 67.759 -171.0204
80.932617 67.758 -171.1190
81.298828 67.735 -171.4192
81.665039 67.673 -171.7667
82.031250 67.576 -171.9583
82.397461 67.470 -171.8529
82.763672 67.392 -171.4697
83.129883 67.368 -171.0028
83.496094 67.394 -170.7140
83.862305 67.438 -170.7672
84.228516 67.462 -171.1324
84.594727 67.443 -171.6187
84.960938 67.383 -171.9956
85.327148 67.306 -172.1217
85.693359 67.243 -172.0155
86.059570 67.208 -171.8202
86.425781 67.196 -171.6874
86.791992 67.187 -171.6720
87.158203 67.166 -171.7175
87.524414 67.132 -171.7268
87.890625 67.095 -171.6487
88.256836 67.066 -171.5140
88.623047 67.047 -171.4005
88.989258 67.031 -171.3631
89.355469 67.007 -171.3914
89.721680 66.970 -171.4258
90.087891 66.925 -171.4121
90.454102 66.884 -171.3470
90.820312 66.851 -171.2813
91.186523 66.824 -171.2785
91.552734 66.794 -171.3640
91.918945 66.752 -171.5035
92.285156 66.696 -171.6258
92.651367 66.633 -171.6692
93.017578 66.574 -171.6224
93.383789 66.526 -171.5286
93.750000 66.491 -171.4500
94.116211 66.462 -171.4209
94.482422 66.432 -171.4253
94.848633 66.398 -171.4187
95.214844 66.366 -171.3729
95.581055 66.342 -171.3040
95.947266 66.327 -171.2580
96.313477 66.313 -171.2650
96.679688 66.294 -171.3063
97.045898 66.267 -171.3303
97.412109 66.239 -171.3039
97.778320 66.216 -171.2509
98.144531 66.199 -171.2323
98.510742 66.177 -171.2793
98.876953 66.138 -171.3409
99.243164 66.084 -171.3076
99.609375 66.030 -171.1034
99.975586 65.999 -170.7770
100.341797 66.001 -170.4958
100.708008 66.020 -170.4258
101.074219 66.026 -170.5935
101.440430 65.996 -170.8570
101.806641 65.932 -171.0076
102.172852 65.859 -170.9252
102.539062 65.808 -170.6718
102.905273 65.788 -170.4382
103.271484 65.780 -170.3757
103.637695 65.756 -170.4670
104.003906 65.701 -170.5474
104.370117 65.628 -170.4458
104.736328 65.566 -170.1279
105.102539 65.535 -169.7258
105.468750 65.532 -169.4268
105.834961 65.532 -169.3192
106.201172 65.512 -169.3389
106.567383 65.466 -169.3413
106.933594 65.404 -169.2162
107.299805 65.344 -168.9512
107.666016 65.293 -168.6023
108.032227 65.253 -168.2228
108.398438 65.221 -167.8270
108.764648 65.201 -167.4224
109.130859 65.197 -167.0571
109.497070 65.206 -166.8145
109.863281 65.213 -166.7454
110.229492 65.201 -166.8092
110.595703 65.163 -166.8867
110.961914 65.109 -166.8646
111.328125 65.058 -166.7231
111.694336 65.022 -166.5482
112.060547 64.999 -166.4520
112.426758 64.972 -166.4697
112.792969 64.928 -166.5294
113.159180 64.868 -166.5178
113.525391 64.809 -166.3788
113.891602 64.764 -166.1575
114.257812 64.736 -165.9534
114.624023 64.713 -165.8252
114.990234 64.682 -165.7404
115.356445 64.642 -165.6114
115.722656 64.602 -165.3782
116.088867 64.574 -165.0635
116.455078 64.565 -164.7539
116.821289 64.566 -164.5293
117.187500 64.563 -164.4056
117.553711 64.546 -164.3345
117.919922 64.513 -164.2437
118.286133 64.469 -164.0771
118.652344 64.420 -163.8093
119.018555 64.375 -163.4448
119.384766 64.343 -163.0182
119.750977 64.327 -162.5967
120.117188 64.324 -162.2642
120.483398 64.323 -162.0782
120.849609 64.308 -162.0269
121.215820 64.269 -162.0236
121.582031 64.207 -161.9540
121.948242 64.136 -161.7458
122.314453 64.074 -161.4126
122.680664 64.030 -161.0359
123.046875 64.002 -160.7009
123.413086 63.981 -160.4414
123.779297 63.959 -160.2382
124.145508 63.935 -160.0580
124.511719 63.912 -159.8868
124.877930 63.889 -159.7280
125.244141 63.863 -159.5763
125.610352 63.833 -159.4032
125.976562 63.802 -159.1737
126.342773 63.773 -158.8748
126.708984 63.754 -158.5267
127.075195 63.743 -158.1656
127.441406 63.738 -157.8177
127.807617 63.734 -157.4913
128.173828 63.727 -157.1837
128.540039 63.711 -156.8794
128.906250 63.682 -156.5321
129.272461 63.641 -156.0567
129.638672 63.604 -155.3732
130.004883 63.597 -154.5005
130.371094 63.643 -153.6255
130.737305 63.737 -153.0428
131.103516 63.839 -152.9658
131.469727 63.894 -153.3607
131.835938 63.862 -153.9377
132.202148 63.745 -154.2941
132.568359 63.588 -154.1312
132.934570 63.454 -153.4438
133.300781 63.389 -152.5390
133.666992 63.384 -151.8055
134.033203 63.394 -151.4185
134.399414 63.378 -151.2544
134.765625 63.329 -151.0515
135.131836 63.276 -150.6491
135.498047 63.252 -150.1207
135.864258 63.263 -149.6949
136.230469 63.285 -149.5330
136.596680 63.278 -149.5732
136.962891 63.228 -149.5726
137.329102 63.156 -149.2917
137.695312 63.103 -148.6819
138.061523 63.102 -147.9385
138.427734 63.151 -147.3561
138.793945 63.212 -147.1030
139.160156 63.246 -147.1133
139.526367 63.233 -147.1570
139.892578 63.184 -147.0023
140.258789 63.130 -146.5537
140.625000 63.101 -145.8958
140.991211 63.106 -145.2126
141.357422 63.130 -144.6502
141.723633 63.152 -144.2291
142.089844 63.157 -143.8643
142.456055 63.149 -143.4526
142.822266 63.138 -142.9531
