* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 24, 2024 11:51:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bokeh Thin LS TP R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.059 133.7129
0.732422 41.382 104.7551
1.098633 45.665 85.0809
1.464844 49.572 69.2269
1.831055 53.039 55.3138
2.197266 56.059 42.8232
2.563477 58.667 31.7151
2.929688 60.933 22.0400
3.295898 62.943 13.7269
3.662109 64.776 6.4910
4.028320 66.471 -0.0894
4.394531 68.025 -6.3651
4.760742 69.408 -12.4391
5.126953 70.604 -18.1564
5.493164 71.629 -23.2433
5.859375 72.534 -27.5152
6.225586 73.390 -31.0529
6.591797 74.243 -34.2212
6.958008 75.088 -37.4600
7.324219 75.882 -41.0019
7.690430 76.574 -44.7556
8.056641 77.146 -48.4068
8.422852 77.625 -51.6256
8.789062 78.066 -54.2730
9.155273 78.530 -56.5105
9.521484 79.041 -58.7182
9.887695 79.575 -61.2453
10.253906 80.080 -64.1932
10.620117 80.512 -67.3861
10.986328 80.858 -70.4972
11.352539 81.141 -73.2263
11.718750 81.409 -75.4579
12.084961 81.708 -77.3334
12.451172 82.053 -79.1671
12.817383 82.416 -81.2326
13.183594 82.751 -83.5802
13.549805 83.019 -86.0181
13.916016 83.216 -88.2427
14.282227 83.373 -90.0287
14.648438 83.536 -91.3801
15.014648 83.733 -92.5329
15.380859 83.956 -93.7703
15.747070 84.166 -95.1936
16.113281 84.335 -96.6564
16.479492 84.467 -97.9106
16.845703 84.605 -98.8493
17.211914 84.791 -99.6614
17.578125 85.031 -100.7344
17.944336 85.279 -102.3522
18.310547 85.472 -104.4705
18.676758 85.573 -106.7521
19.042969 85.594 -108.7869
19.409180 85.586 -110.3468
19.775391 85.608 -111.5299
20.141602 85.681 -112.6651
20.507812 85.779 -114.0210
20.874023 85.851 -115.5889
21.240234 85.885 -117.1327
21.606445 85.899 -118.4257
21.972656 85.939 -119.4700
22.338867 86.027 -120.5141
22.705078 86.143 -121.8337
23.071289 86.241 -123.4855
23.437500 86.286 -125.2656
23.803711 86.278 -126.8772
24.169922 86.254 -128.1524
24.536133 86.250 -129.1700
24.902344 86.277 -130.1682
25.268555 86.313 -131.3238
25.634766 86.324 -132.6056
26.000977 86.299 -133.8233
26.367188 86.252 -134.7999
26.733398 86.217 -135.5196
27.099609 86.214 -136.1366
27.465820 86.241 -136.8460
27.832031 86.275 -137.7430
28.198242 86.295 -138.7961
28.564453 86.294 -139.9179
28.930664 86.270 -141.0351
29.296875 86.225 -142.0915
29.663086 86.161 -143.0116
30.029297 86.090 -143.7023
30.395508 86.039 -144.1310
30.761719 86.033 -144.4185
31.127930 86.082 -144.8213
31.494141 86.156 -145.5630
31.860352 86.211 -146.6546
32.226562 86.213 -147.8725
32.592773 86.170 -148.9148
32.958984 86.120 -149.6275
33.325195 86.107 -150.1422
33.691406 86.137 -150.7820
34.057617 86.170 -151.7772
34.423828 86.152 -153.0505
34.790039 86.055 -154.2481
35.156250 85.902 -154.9672
35.522461 85.760 -155.0393
35.888672 85.698 -154.6966
36.254883 85.734 -154.4409
36.621094 85.825 -154.6791
36.987305 85.905 -155.4719
37.353516 85.929 -156.5902
37.719727 85.891 -157.7330
38.085938 85.812 -158.7102
38.452148 85.715 -159.4927
38.818359 85.613 -160.1333
39.184570 85.504 -160.6483
39.550781 85.390 -160.9782
39.916992 85.286 -161.0617
40.283203 85.220 -160.9484
40.649414 85.204 -160.8255
41.015625 85.228 -160.9068
41.381836 85.257 -161.2748
41.748047 85.262 -161.8233
42.114258 85.236 -162.3441
42.480469 85.197 -162.6837
42.846680 85.174 -162.8577
43.212891 85.179 -163.0278
43.579102 85.196 -163.3466
43.945312 85.195 -163.8028
44.311523 85.160 -164.2082
44.677734 85.106 -164.3423
45.043945 85.076 -164.1562
45.410156 85.107 -163.8743
45.776367 85.193 -163.8635
46.142578 85.286 -164.3494
46.508789 85.328 -165.2408
46.875000 85.288 -166.1940
47.241211 85.185 -166.8351
47.607422 85.072 -166.9988
47.973633 85.002 -166.8401
48.339844 84.991 -166.7063
48.706055 85.010 -166.8542
49.072266 85.019 -167.2854
49.438477 85.002 -167.8327
49.804688 84.970 -168.3709
50.170898 84.939 -168.9418
50.537109 84.903 -169.6769
50.903320 84.830 -170.5906
51.269531 84.690 -171.4524
51.635742 84.492 -171.8690
52.001953 84.294 -171.5502
52.368164 84.183 -170.6003
52.734375 84.206 -169.5555
53.100586 84.332 -169.0110
53.466797 84.478 -169.1843
53.833008 84.576 -169.8515
54.199219 84.605 -170.6067
54.565430 84.591 -171.1567
54.931641 84.574 -171.4661
55.297852 84.573 -171.6872
55.664062 84.577 -171.9556
56.030273 84.566 -172.2510
56.396484 84.537 -172.4430
56.762695 84.510 -172.4511
57.128906 84.505 -172.3545
57.495117 84.528 -172.3397
57.861328 84.553 -172.5314
58.227539 84.555 -172.8760
58.593750 84.522 -173.1846
58.959961 84.473 -173.2892
59.326172 84.444 -173.1892
59.692383 84.456 -173.0718
60.058594 84.501 -173.1782
60.424805 84.546 -173.6260
60.791016 84.555 -174.3320
61.157227 84.510 -175.0694
61.523438 84.422 -175.5909
61.889648 84.322 -175.7495
62.255859 84.251 -175.5731
62.622070 84.233 -175.2550
62.988281 84.270 -175.0523
63.354492 84.334 -175.1475
63.720703 84.388 -175.5594
64.086914 84.404 -176.1490
64.453125 84.374 -176.6975
64.819336 84.313 -177.0131
65.185547 84.251 -177.0237
65.551758 84.216 -176.8101
65.917969 84.219 -176.5503
66.284180 84.250 -176.4064
66.650391 84.287 -176.4380
67.016602 84.314 -176.5988
67.382812 84.325 -176.7982
67.749023 84.324 -176.9684
68.115234 84.322 -177.0958
68.481445 84.322 -177.2065
68.847656 84.327 -177.3321
69.213867 84.333 -177.4881
69.580078 84.339 -177.6747
69.946289 84.345 -177.8888
70.312500 84.348 -178.1276
70.678711 84.348 -178.3817
71.044922 84.343 -178.6295
71.411133 84.337 -178.8440
71.777344 84.332 -179.0111
72.143555 84.336 -179.1441
72.509766 84.350 -179.2811
72.875977 84.373 -179.4639
73.242188 84.399 -179.7160
73.608398 84.422 179.9659
73.974609 84.438 179.6031
74.340820 84.447 179.2193
74.707031 84.449 178.8295
75.073242 84.446 178.4380
75.439453 84.439 178.0401
75.805664 84.428 177.6245
76.171875 84.413 177.1769
76.538086 84.389 176.6898
76.904297 84.351 176.1775
77.270508 84.297 175.6849
77.636719 84.227 175.2770
78.002930 84.152 175.0068
78.369141 84.086 174.8750
78.735352 84.041 174.8160
79.101562 84.017 174.7280
79.467773 84.004 174.5362
79.833984 83.988 174.2415
80.200195 83.958 173.9177
80.566406 83.917 173.6584
80.932617 83.875 173.5142
81.298828 83.844 173.4630
81.665039 83.828 173.4374
82.031250 83.821 173.3853
82.397461 83.815 173.3087
82.763672 83.807 173.2509
83.129883 83.801 173.2431
83.496094 83.806 173.2639
83.862305 83.822 173.2469
84.228516 83.842 173.1360
84.594727 83.851 172.9356
84.960938 83.844 172.7148
85.327148 83.822 172.5581
85.693359 83.798 172.5026
86.059570 83.785 172.5093
86.425781 83.786 172.4924
86.791992 83.793 172.3829
87.158203 83.797 172.1734
87.524414 83.788 171.9120
87.890625 83.770 171.6564
88.256836 83.747 171.4312
88.623047 83.727 171.2197
88.989258 83.708 170.9927
89.355469 83.688 170.7445
89.721680 83.663 170.5010
90.087891 83.637 170.2947
90.454102 83.617 170.1287
90.820312 83.606 169.9651
91.186523 83.604 169.7504
91.552734 83.602 169.4582
91.918945 83.592 169.1136
92.285156 83.568 168.7784
92.651367 83.538 168.5081
93.017578 83.508 168.3151
93.383789 83.487 168.1634
93.750000 83.473 167.9998
94.116211 83.461 167.7961
94.482422 83.444 167.5667
94.848633 83.420 167.3519
95.214844 83.394 167.1816
95.581055 83.372 167.0509
95.947266 83.355 166.9261
96.313477 83.341 166.7751
96.679688 83.326 166.5953
97.045898 83.306 166.4154
97.412109 83.284 166.2694
97.778320 83.265 166.1653
98.144531 83.255 166.0731
98.510742 83.253 165.9435
98.876953 83.255 165.7421
99.243164 83.251 165.4738
99.609375 83.238 165.1776
99.975586 83.216 164.8992
100.341797 83.190 164.6607
100.708008 83.165 164.4506
101.074219 83.143 164.2387
101.440430 83.120 164.0047
101.806641 83.092 163.7569
102.172852 83.056 163.5269
102.539062 83.017 163.3456
102.905273 82.980 163.2179
103.271484 82.952 163.1149
103.637695 82.931 162.9910
104.003906 82.914 162.8115
104.370117 82.894 162.5735
104.736328 82.867 162.3051
105.102539 82.830 162.0471
105.468750 82.787 161.8315
105.834961 82.745 161.6684
106.201172 82.706 161.5467
106.567383 82.672 161.4454
106.933594 82.643 161.3448
107.299805 82.617 161.2341
107.666016 82.592 161.1133
108.032227 82.565 160.9913
108.398438 82.536 160.8825
108.764648 82.505 160.7996
109.130859 82.475 160.7467
109.497070 82.447 160.7150
109.863281 82.422 160.6874
110.229492 82.398 160.6501
110.595703 82.370 160.6039
110.961914 82.338 160.5662
111.328125 82.302 160.5576
111.694336 82.266 160.5838
112.060547 82.236 160.6245
112.426758 82.211 160.6401
112.792969 82.188 160.5955
113.159180 82.160 160.4826
113.525391 82.122 160.3279
113.891602 82.073 160.1751
114.257812 82.018 160.0585
114.624023 81.964 159.9810
114.990234 81.916 159.9153
115.356445 81.874 159.8252
115.722656 81.834 159.6924
116.088867 81.793 159.5267
116.455078 81.750 159.3548
116.821289 81.708 159.1963
117.187500 81.670 159.0486
117.553711 81.637 158.8923
117.919922 81.607 158.7134
118.286133 81.577 158.5209
118.652344 81.544 158.3441
119.018555 81.510 158.2112
119.384766 81.481 158.1253
119.750977 81.458 158.0604
120.117188 81.441 157.9824
120.483398 81.423 157.8784
120.849609 81.399 157.7688
121.215820 81.367 157.6925
121.582031 81.331 157.6760
121.948242 81.297 157.7124
122.314453 81.266 157.7676
122.680664 81.238 157.8074
123.046875 81.205 157.8228
123.413086 81.166 157.8320
123.779297 81.121 157.8602
124.145508 81.073 157.9146
124.511719 81.027 157.9792
124.877930 80.981 158.0296
125.244141 80.933 158.0559
125.610352 80.882 158.0707
125.976562 80.827 158.0975
126.342773 80.773 158.1486
126.708984 80.725 158.2141
127.075195 80.684 158.2677
127.441406 80.648 158.2853
127.807617 80.615 158.2592
128.173828 80.581 158.1991
128.540039 80.545 158.1227
128.906250 80.507 158.0474
129.272461 80.467 157.9874
129.638672 80.427 157.9548
130.004883 80.387 157.9592
130.371094 80.351 158.0009
130.737305 80.321 158.0660
131.103516 80.298 158.1288
131.469727 80.279 158.1634
131.835938 80.258 158.1580
132.202148 80.232 158.1228
132.568359 80.196 158.0857
132.934570 80.151 158.0798
133.300781 80.100 158.1299
133.666992 80.047 158.2433
134.033203 79.998 158.4073
134.399414 79.955 158.5945
134.765625 79.919 158.7720
135.131836 79.886 158.9142
135.498047 79.852 159.0139
135.864258 79.814 159.0836
136.230469 79.771 159.1492
136.596680 79.725 159.2335
136.962891 79.679 159.3436
137.329102 79.637 159.4672
137.695312 79.599 159.5833
138.061523 79.564 159.6776
138.427734 79.527 159.7528
138.793945 79.489 159.8252
139.160156 79.448 159.9125
139.526367 79.408 160.0225
139.892578 79.370 160.1497
140.258789 79.335 160.2844
140.625000 79.300 160.4213
140.991211 79.266 160.5652
141.357422 79.231 160.7254
141.723633 79.197 160.9073
142.089844 79.165 161.1070
142.456055 79.137 161.3121
142.822266 79.112 161.5089
143.188477 79.088 161.6886
143.554688 79.064 161.8510
143.920898 79.036 162.0024
144.287109 79.005 162.1535
144.653320 78.971 162.3158
145.019531 78.935 162.4999
145.385742 78.899 162.7120
145.751953 78.864 162.9508
146.118164 78.835 163.2054
146.484375 78.810 163.4575
146.850586 78.789 163.6887
147.216797 78.769 163.8889
147.583008 78.747 164.0625
147.949219 78.721 164.2276
