* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Caldera R1, Caldera R2
* Dated: Nov 11, 2022 10:13:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Caldera R1, Caldera R2
* Measurement: Caldera R
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	65.027
20.600000	65.333
21.200001	65.724
21.799999	66.131
22.400000	66.504
23.000000	66.803
23.600000	66.981
24.299999	67.051
25.000000	67.098
25.799999	67.262
26.500000	67.455
27.200001	67.586
28.000000	67.657
29.000000	67.780
30.000000	67.867
30.700001	67.902
31.500000	67.986
32.500000	68.008
33.500000	68.025
34.500000	68.200
35.500000	68.216
36.500000	68.199
37.500000	68.365
38.700001	68.477
40.000000	68.468
41.200001	68.508
42.500000	68.623
43.700001	68.681
45.000000	68.586
46.200001	68.531
47.500000	68.546
48.700001	68.591
50.000000	68.681
51.500000	68.700
53.000000	68.611
54.500000	68.534
56.000000	68.536
58.000000	68.565
60.000000	68.579
61.500000	68.570
63.000000	68.570
65.000000	68.576
67.000000	68.568
69.000000	68.543
71.000000	68.519
73.000000	68.511
75.000000	68.511
77.500000	68.475
80.000000	68.444
82.500000	68.422
85.000000	68.396
87.500000	68.375
90.000000	68.358
92.500000	68.345
95.000000	68.336
97.500000	68.323
100.000000	68.329
103.000000	68.312
106.000000	68.309
109.000000	68.336
112.000000	68.324
115.000000	68.287
118.000000	68.274
122.000000	68.246
125.000000	68.269
128.000000	68.270
132.000000	68.270
136.000000	68.261
140.000000	68.261
145.000000	68.254
150.000000	68.245
155.000000	68.245
160.000000	68.247
165.000000	68.260
170.000000	68.267
175.000000	68.278
180.000000	68.288
185.000000	68.300
190.000000	68.317
195.000000	68.335
200.000000	68.344
206.000000	68.352
212.000000	68.367
218.000000	68.368
224.000000	68.368
230.000000	68.373
236.000000	68.387
243.000000	68.407
250.000000	68.418
258.000000	68.436
265.000000	68.453
272.000000	68.480
280.000000	68.520
290.000000	68.579
300.000000	68.634
307.000000	68.662
315.000000	68.685
325.000000	68.715
335.000000	68.745
345.000000	68.774
355.000000	68.803
365.000000	68.823
375.000000	68.834
387.000000	68.845
400.000000	68.842
412.000000	68.836
425.000000	68.805
437.000000	68.744
450.000000	68.654
462.000000	68.574
475.000000	68.551
487.000000	68.604
500.000000	68.694
515.000000	68.802
530.000000	68.906
545.000000	68.982
560.000000	69.012
580.000000	68.993
600.000000	68.949
615.000000	68.909
630.000000	68.877
650.000000	68.860
670.000000	68.885
690.000000	68.963
710.000000	69.049
730.000000	69.128
750.000000	69.231
775.000000	69.332
800.000000	69.433
825.000000	69.557
850.000000	69.667
875.000000	69.733
900.000000	69.698
925.000000	69.374
950.000000	68.770
975.000000	68.485
1000.000000	68.609
1030.000000	68.788
1060.000000	68.736
1090.000000	68.572
1120.000000	68.421
1150.000000	68.218
1180.000000	67.977
1220.000000	67.685
1250.000000	67.401
1280.000000	67.278
1320.000000	67.139
1360.000000	66.988
1400.000000	66.915
1450.000000	66.829
1500.000000	66.996
1550.000000	67.216
1600.000000	67.737
1650.000000	68.534
1700.000000	69.543
1750.000000	70.524
1800.000000	71.478
1850.000000	72.464
1900.000000	73.445
1950.000000	74.392
2000.000000	75.279
2060.000000	76.052
2120.000000	76.494
2180.000000	76.803
2240.000000	76.962
2300.000000	77.089
2360.000000	77.092
2430.000000	77.047
2500.000000	77.171
2580.000000	77.069
2650.000000	76.609
2720.000000	75.872
2800.000000	74.929
2900.000000	73.845
3000.000000	73.045
3070.000000	72.467
3150.000000	71.818
3250.000000	71.134
3350.000000	70.618
3450.000000	70.396
3550.000000	70.138
3650.000000	70.015
3750.000000	70.127
3870.000000	70.595
4000.000000	71.162
4120.000000	71.609
4250.000000	71.957
4370.000000	72.094
4500.000000	72.095
4620.000000	71.968
4750.000000	71.827
4870.000000	71.864
5000.000000	72.087
5150.000000	72.613
5300.000000	73.396
5450.000000	74.076
5600.000000	74.659
5800.000000	74.943
6000.000000	74.626
6150.000000	73.414
6300.000000	71.556
6500.000000	69.439
6700.000000	67.392
6900.000000	66.271
7100.000000	66.144
7300.000000	66.936
7500.000000	68.399
7750.000000	70.071
8000.000000	70.947
8250.000000	70.831
8500.000000	69.912
8750.000000	68.851
9000.000000	68.074
9250.000000	66.450
9500.000000	62.982
9750.000000	57.602
10000.000000	53.632
10300.000000	54.486
10600.000000	57.476
10900.000000	59.464
11200.000000	60.027
11500.000000	62.424
11800.000000	65.277
12200.000000	66.886
12500.000000	66.335
12800.000000	64.387
13200.000000	62.343
13600.000000	60.858
14000.000000	58.697
14500.000000	60.889
15000.000000	64.783
15500.000000	67.473
16000.000000	69.584
16500.000000	71.989
17000.000000	72.907
17500.000000	72.206
18000.000000	69.627
18500.000000	64.522
19000.000000	57.608
19500.000000	49.702
