* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Nov 10, Nov 10
* Dated: Nov 11, 2022 10:15:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Nov 10, Nov 10
* Measurement: Caldera Suede Thick
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	67.618
20.600000	67.787
21.200001	68.086
21.799999	68.383
22.400000	68.528
23.000000	68.584
23.600000	68.732
24.299999	68.968
25.000000	69.022
25.799999	68.905
26.500000	68.856
27.200001	68.825
28.000000	68.787
29.000000	68.898
30.000000	68.960
30.700001	68.948
31.500000	68.981
32.500000	69.048
33.500000	69.087
34.500000	69.068
35.500000	69.066
36.500000	69.115
37.500000	69.154
38.700001	69.181
40.000000	69.165
41.200001	69.156
42.500000	69.147
43.700001	69.120
45.000000	69.094
46.200001	69.133
47.500000	69.164
48.700001	69.183
50.000000	69.145
51.500000	69.093
53.000000	69.059
54.500000	69.105
56.000000	69.223
58.000000	69.503
60.000000	69.476
61.500000	69.291
63.000000	69.230
65.000000	69.198
67.000000	69.181
69.000000	69.203
71.000000	69.239
73.000000	69.272
75.000000	69.294
77.500000	69.285
80.000000	69.290
82.500000	69.289
85.000000	69.286
87.500000	69.293
90.000000	69.310
92.500000	69.325
95.000000	69.337
97.500000	69.362
100.000000	69.387
103.000000	69.401
106.000000	69.408
109.000000	69.403
112.000000	69.415
115.000000	69.447
118.000000	69.530
122.000000	69.531
125.000000	69.472
128.000000	69.457
132.000000	69.458
136.000000	69.436
140.000000	69.423
145.000000	69.436
150.000000	69.459
155.000000	69.469
160.000000	69.462
165.000000	69.446
170.000000	69.481
175.000000	69.481
180.000000	69.470
185.000000	69.494
190.000000	69.474
195.000000	69.484
200.000000	69.516
206.000000	69.515
212.000000	69.552
218.000000	69.593
224.000000	69.569
230.000000	69.568
236.000000	69.580
243.000000	69.600
250.000000	69.626
258.000000	69.656
265.000000	69.679
272.000000	69.697
280.000000	69.726
290.000000	69.780
300.000000	69.803
307.000000	69.818
315.000000	69.832
325.000000	69.846
335.000000	69.868
345.000000	69.888
355.000000	69.891
365.000000	69.906
375.000000	69.944
387.000000	69.929
400.000000	69.839
412.000000	69.759
425.000000	69.654
437.000000	69.544
450.000000	69.420
462.000000	69.354
475.000000	69.377
487.000000	69.466
500.000000	69.576
515.000000	69.699
530.000000	69.788
545.000000	69.833
560.000000	69.862
580.000000	69.874
600.000000	69.854
615.000000	69.838
630.000000	69.850
650.000000	69.938
670.000000	70.058
690.000000	70.160
710.000000	70.187
730.000000	70.183
750.000000	70.207
775.000000	70.191
800.000000	70.143
825.000000	70.092
850.000000	70.053
875.000000	70.018
900.000000	69.856
925.000000	69.323
950.000000	68.671
975.000000	68.497
1000.000000	68.619
1030.000000	68.718
1060.000000	68.579
1090.000000	68.327
1120.000000	68.097
1150.000000	67.815
1180.000000	67.510
1220.000000	67.175
1250.000000	66.925
1280.000000	66.897
1320.000000	66.810
1360.000000	66.629
1400.000000	66.458
1450.000000	66.446
1500.000000	66.705
1550.000000	67.007
1600.000000	67.644
1650.000000	68.560
1700.000000	69.608
1750.000000	70.552
1800.000000	71.494
1850.000000	72.428
1900.000000	73.315
1950.000000	74.146
2000.000000	74.858
2060.000000	75.446
2120.000000	75.853
2180.000000	76.213
2240.000000	76.407
2300.000000	76.680
2360.000000	76.802
2430.000000	76.877
2500.000000	76.971
2580.000000	76.866
2650.000000	76.521
2720.000000	76.056
2800.000000	75.526
2900.000000	74.623
3000.000000	73.886
3070.000000	73.426
3150.000000	72.807
3250.000000	72.131
3350.000000	71.651
3450.000000	71.224
3550.000000	70.726
3650.000000	70.558
3750.000000	70.819
3870.000000	71.727
4000.000000	72.863
4120.000000	73.937
4250.000000	74.973
4370.000000	75.698
4500.000000	76.263
4620.000000	76.446
4750.000000	76.465
4870.000000	76.410
5000.000000	76.239
5150.000000	76.059
5300.000000	75.864
5450.000000	75.490
5600.000000	74.981
5800.000000	74.089
6000.000000	73.214
6150.000000	71.937
6300.000000	70.861
6500.000000	69.651
6700.000000	68.995
6900.000000	69.429
7100.000000	70.473
7300.000000	71.801
7500.000000	72.765
7750.000000	72.902
8000.000000	72.399
8250.000000	71.716
8500.000000	70.806
8750.000000	69.202
9000.000000	66.621
9250.000000	62.757
9500.000000	58.969
9750.000000	59.720
10000.000000	62.688
10300.000000	64.681
10600.000000	65.420
10900.000000	64.790
11200.000000	63.891
11500.000000	64.919
11800.000000	66.587
12200.000000	66.480
12500.000000	64.615
12800.000000	62.896
13200.000000	61.938
13600.000000	58.752
14000.000000	55.233
14500.000000	56.878
15000.000000	60.613
15500.000000	64.976
16000.000000	69.534
16500.000000	72.284
17000.000000	72.966
17500.000000	71.979
18000.000000	69.446
18500.000000	64.810
19000.000000	58.124
19500.000000	51.270
