* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2024 3:52:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cobalt Fabric L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.534 165.0973
0.732422 36.071 150.6659
1.098633 33.495 137.1801
1.464844 29.513 124.9260
1.831055 23.307 112.4488
2.197266 11.602 73.3156
2.563477 16.383 -32.3764
2.929688 21.937 -41.9477
3.295898 24.238 -41.5258
3.662109 24.749 -32.6635
4.028320 25.553 -7.0182
4.394531 29.700 17.7716
4.760742 34.425 23.7034
5.126953 38.018 20.0766
5.493164 40.517 13.3371
5.859375 42.163 6.4724
6.225586 43.205 1.2340
6.591797 43.950 -1.4113
6.958008 44.736 -1.7483
7.324219 45.767 -1.4992
7.690430 46.968 -2.4826
8.056641 48.125 -5.1931
8.422852 49.090 -9.0008
8.789062 49.838 -12.9878
9.155273 50.426 -16.4748
9.521484 50.949 -19.2333
9.887695 51.478 -21.4448
10.253906 52.033 -23.4256
10.620117 52.598 -25.3259
10.986328 53.164 -27.0796
11.352539 53.750 -28.6047
11.718750 54.388 -30.0269
12.084961 55.086 -31.6850
12.451172 55.803 -33.8939
12.817383 56.471 -36.6992
13.183594 57.033 -39.8373
13.549805 57.470 -42.8742
13.916016 57.810 -45.4020
14.282227 58.110 -47.2186
14.648438 58.437 -48.4286
15.014648 58.824 -49.3821
15.380859 59.264 -50.4621
15.747070 59.719 -51.8826
16.113281 60.148 -53.6464
16.479492 60.525 -55.6304
16.845703 60.840 -57.6846
17.211914 61.096 -59.6778
17.578125 61.298 -61.4915
17.944336 61.460 -63.0079
18.310547 61.604 -64.1324
18.676758 61.768 -64.8600
19.042969 61.986 -65.3402
19.409180 62.275 -65.8623
19.775391 62.619 -66.7331
20.141602 62.976 -68.1263
20.507812 63.301 -70.0140
20.874023 63.552 -72.2061
21.240234 63.724 -74.4426
21.606445 63.828 -76.4840
21.972656 63.894 -78.1788
22.338867 63.957 -79.5015
22.705078 64.043 -80.5532
23.071289 64.169 -81.5179
23.437500 64.325 -82.5847
23.803711 64.490 -83.8641
24.169922 64.636 -85.3383
24.536133 64.742 -86.8669
24.902344 64.809 -88.2487
25.268555 64.860 -89.3225
25.634766 64.930 -90.0729
26.000977 65.052 -90.6739
26.367188 65.227 -91.4100
26.733398 65.429 -92.5065
27.099609 65.615 -93.9976
27.465820 65.749 -95.7247
27.832031 65.826 -97.4397
28.198242 65.862 -98.9405
28.564453 65.887 -100.1663
28.930664 65.926 -101.2040
29.296875 65.984 -102.1975
29.663086 66.049 -103.2307
30.029297 66.108 -104.2795
30.395508 66.163 -105.2654
30.761719 66.226 -106.1551
31.127930 66.310 -107.0188
31.494141 66.414 -107.9928
31.860352 66.522 -109.1726
32.226562 66.606 -110.5288
32.592773 66.653 -111.9110
32.958984 66.668 -113.1358
33.325195 66.677 -114.1008
33.691406 66.709 -114.8579
34.057617 66.779 -115.5893
34.423828 66.877 -116.4897
34.790039 66.973 -117.6399
35.156250 67.040 -118.9614
35.522461 67.066 -120.2699
35.888672 67.065 -121.3854
36.254883 67.064 -122.2397
36.621094 67.090 -122.9259
36.987305 67.153 -123.6449
37.353516 67.234 -124.5727
37.719727 67.302 -125.7433
38.085938 67.333 -127.0308
38.452148 67.323 -128.2323
38.818359 67.293 -129.1946
39.184570 67.273 -129.9109
39.550781 67.282 -130.5216
39.916992 67.319 -131.2070
40.283203 67.363 -132.0552
40.649414 67.393 -133.0171
41.015625 67.405 -133.9730
41.381836 67.411 -134.8441
41.748047 67.425 -135.6535
42.114258 67.450 -136.4888
42.480469 67.476 -137.4023
42.846680 67.490 -138.3497
43.212891 67.494 -139.2273
43.579102 67.503 -139.9785
43.945312 67.536 -140.6710
44.311523 67.594 -141.4642
44.677734 67.658 -142.4788
45.043945 67.697 -143.6841
45.410156 67.694 -144.9036
45.776367 67.659 -145.9293
46.142578 67.619 -146.6671
46.508789 67.606 -147.2080
46.875000 67.627 -147.7600
47.241211 67.663 -148.4841
47.607422 67.683 -149.3777
47.973633 67.673 -150.2978
48.339844 67.642 -151.0907
48.706055 67.613 -151.7247
49.072266 67.604 -152.3232
49.438477 67.607 -153.0612
49.804688 67.595 -154.0022
50.170898 67.540 -155.0152
50.537109 67.440 -155.8385
50.903320 67.328 -156.2563
51.269531 67.260 -156.2908
51.635742 67.272 -156.2539
52.001953 67.354 -156.5525
52.368164 67.450 -157.3865
52.734375 67.505 -158.6160
53.100586 67.499 -159.8877
53.466797 67.461 -160.8969
53.833008 67.439 -161.6127
54.199219 67.462 -162.2896
54.565430 67.507 -163.2072
54.931641 67.520 -164.3602
55.297852 67.469 -165.4056
55.664062 67.385 -165.9256
56.030273 67.345 -165.8345
56.396484 67.413 -165.5926
56.762695 67.558 -165.8691
57.128906 67.669 -166.8907
57.495117 67.643 -168.1561
57.861328 67.475 -168.7064
58.227539 67.300 -167.7807
58.593750 67.334 -165.6929
58.959961 67.675 -164.0400
59.326172 68.176 -164.3589
59.692383 68.577 -166.8442
60.058594 68.695 -170.5623
60.424805 68.479 -174.1543
60.791016 68.007 -176.3091
61.157227 67.482 -176.2671
61.523438 67.156 -174.4942
61.889648 67.129 -172.6221
62.255859 67.270 -172.0138
62.622070 67.377 -172.7220
62.988281 67.348 -173.9231
63.354492 67.213 -174.7667
63.720703 67.076 -174.9423
64.086914 67.025 -174.8083
64.453125 67.060 -174.9801
64.819336 67.107 -175.7395
65.185547 67.099 -176.8662
65.551758 67.021 -177.9119
65.917969 66.913 -178.5615
66.284180 66.831 -178.8256
66.650391 66.800 -178.9590
67.016602 66.805 -179.1988
67.382812 66.817 -179.5835
67.749023 66.819 -179.9978
68.115234 66.818 179.6603
68.481445 66.829 179.3721
68.847656 66.854 179.0328
69.213867 66.878 178.5706
69.580078 66.882 178.0234
69.946289 66.862 177.5077
70.312500 66.827 177.1227
70.678711 66.795 176.8751
71.044922 66.779 176.6793
71.411133 66.777 176.4294
71.777344 66.776 176.0756
72.143555 66.766 175.6479
72.509766 66.744 175.2172
72.875977 66.718 174.8331
73.242188 66.698 174.4849
73.608398 66.689 174.1105
73.974609 66.685 173.6496
74.340820 66.673 173.0989
74.707031 66.646 172.5284
75.073242 66.605 172.0408
75.439453 66.565 171.6989
75.805664 66.543 171.4693
76.171875 66.549 171.2320
76.538086 66.572 170.8590
76.904297 66.593 170.3048
77.270508 66.590 169.6384
77.636719 66.559 168.9960
78.002930 66.508 168.4972
78.369141 66.455 168.1783
78.735352 66.417 167.9841
79.101562 66.399 167.8167
79.467773 66.394 167.5965
79.833984 66.394 167.2925
80.200195 66.392 166.9115
80.566406 66.383 166.4756
80.932617 66.366 166.0120
81.298828 66.339 165.5534
81.665039 66.307 165.1315
82.031250 66.277 164.7578
82.397461 66.253 164.4082
82.763672 66.239 164.0332
83.129883 66.228 163.5951
83.496094 66.213 163.1005
83.862305 66.189 162.5982
84.228516 66.160 162.1402
84.594727 66.134 161.7372
84.960938 66.117 161.3490
85.327148 66.105 160.9208
85.693359 66.090 160.4360
86.059570 66.064 159.9375
86.425781 66.026 159.4996
86.791992 65.985 159.1711
87.158203 65.954 158.9348
87.524414 65.939 158.7141
87.890625 65.936 158.4243
88.256836 65.931 158.0296
88.623047 65.913 157.5629
88.989258 65.877 157.1030
89.355469 65.827 156.7267
89.721680 65.775 156.4674
90.087891 65.732 156.2974
90.454102 65.704 156.1458
90.820312 65.688 155.9388
91.186523 65.674 155.6418
91.552734 65.652 155.2760
91.918945 65.619 154.9022
92.285156 65.577 154.5800
92.651367 65.537 154.3271
93.017578 65.507 154.1057
93.383789 65.487 153.8491
93.750000 65.471 153.5114
94.116211 65.446 153.1037
94.482422 65.408 152.6886
94.848633 65.359 152.3386
95.214844 65.310 152.0881
95.581055 65.271 151.9117
95.947266 65.246 151.7437
96.313477 65.233 151.5211
96.679688 65.222 151.2184
97.045898 65.205 150.8535
97.412109 65.179 150.4682
97.778320 65.144 150.1043
98.144531 65.104 149.7893
98.510742 65.065 149.5311
98.876953 65.030 149.3187
99.243164 65.002 149.1248
99.609375 64.982 148.9165
99.975586 64.964 148.6718
100.341797 64.945 148.3926
100.708008 64.922 148.1040
101.074219 64.894 147.8353
101.440430 64.868 147.5975
101.806641 64.845 147.3749
102.172852 64.826 147.1388
102.539062 64.809 146.8705
102.905273 64.790 146.5733
103.271484 64.766 146.2632
103.637695 64.739 145.9514
104.003906 64.708 145.6379
104.370117 64.672 145.3231
104.736328 64.630 145.0245
105.102539 64.582 144.7764
105.468750 64.533 144.6052
105.834961 64.493 144.5002
106.201172 64.467 144.4068
106.567383 64.453 144.2574
106.933594 64.442 144.0153
107.299805 64.423 143.6978
107.666016 64.393 143.3595
108.032227 64.355 143.0510
108.398438 64.314 142.7878
108.764648 64.276 142.5492
109.130859 64.241 142.3062
109.497070 64.205 142.0496
109.863281 64.165 141.7965
110.229492 64.122 141.5721
110.595703 64.080 141.3885
110.961914 64.042 141.2355
111.328125 64.011 141.0902
111.694336 63.986 140.9311
112.060547 63.963 140.7462
112.426758 63.941 140.5331
112.792969 63.917 140.2964
113.159180 63.890 140.0479
113.525391 63.858 139.8065
113.891602 63.823 139.5927
114.257812 63.789 139.4164
114.624023 63.759 139.2686
114.990234 63.735 139.1234
115.356445 63.715 138.9527
115.722656 63.696 138.7427
116.088867 63.674 138.5008
116.455078 63.645 138.2496
116.821289 63.611 138.0147
117.187500 63.574 137.8127
117.553711 63.538 137.6459
117.919922 63.505 137.5031
118.286133 63.478 137.3640
118.652344 63.454 137.2066
119.018555 63.433 137.0154
119.384766 63.411 136.7879
119.750977 63.384 136.5349
120.117188 63.353 136.2743
120.483398 63.318 136.0220
120.849609 63.281 135.7859
121.215820 63.243 135.5667
121.582031 63.205 135.3615
121.948242 63.167 135.1676
122.314453 63.131 134.9839
122.680664 63.096 134.8089
123.046875 63.062 134.6415
123.413086 63.030 134.4804
123.779297 62.999 134.3233
124.145508 62.970 134.1651
124.511719 62.942 133.9997
124.877930 62.912 133.8270
125.244141 62.879 133.6597
125.610352 62.844 133.5204
125.976562 62.810 133.4246
126.342773 62.783 133.3591
126.708984 62.765 133.2779
127.075195 62.753 133.1269
127.441406 62.737 132.8849
127.807617 62.707 132.5883
128.173828 62.660 132.3142
128.540039 62.603 132.1321
128.906250 62.548 132.0565
129.272461 62.504 132.0378
129.638672 62.473 132.0036
130.004883 62.446 131.9138
130.371094 62.417 131.7840
130.737305 62.385 131.6574
131.103516 62.355 131.5546
131.469727 62.331 131.4492
131.835938 62.314 131.2930
132.202148 62.293 131.0671
132.568359 62.263 130.8085
132.934570 62.222 130.5861
133.300781 62.178 130.4442
133.666992 62.143 130.3631
134.033203 62.120 130.2735
134.399414 62.100 130.1171
134.765625 62.074 129.8990
135.131836 62.032 129.6881
135.498047 61.981 129.5640
135.864258 61.933 129.5560
136.230469 61.898 129.6195
136.596680 61.880 129.6691
136.962891 61.872 129.6373
137.329102 61.863 129.5116
137.695312 61.845 129.3242
138.061523 61.817 129.1169
138.427734 61.782 128.9153
138.793945 61.739 128.7297
139.160156 61.691 128.5725
139.526367 61.638 128.4655
139.892578 61.586 128.4271
140.258789 61.542 128.4495
140.625000 61.511 128.4908
140.991211 61.494 128.4949
141.357422 61.483 128.4227
141.723633 61.471 128.2723
142.089844 61.454 128.0720
142.456055 61.428 127.8602
142.822266 61.396 127.6667
143.188477 61.361 127.5083
143.554688 61.326 127.3905
143.920898 61.294 127.3075
144.287109 61.266 127.2394
144.653320 61.244 127.1572
145.019531 61.221 127.0406
145.385742 61.193 126.8992
145.751953 61.155 126.7744
146.118164 61.112 126.7132
146.484375 61.072 126.7280
146.850586 61.043 126.7763
147.216797 61.026 126.7828
147.583008 61.011 126.6946
147.949219 60.987 126.5238
148.315430 60.947 126.3419
