* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 28, 2024 7:11:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cobalt Leather L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.537 -174.7275
0.732422 40.460 -168.9335
1.098633 38.249 -162.2461
1.464844 33.204 -148.9400
1.831055 28.039 -53.0169
2.197266 38.503 -15.4957
2.563477 43.496 -13.1349
2.929688 46.016 -13.2744
3.295898 47.178 -10.1305
3.662109 47.964 -0.7181
4.028320 49.445 12.1169
4.394531 51.616 21.2453
4.760742 53.706 25.2151
5.126953 55.402 26.6319
5.493164 56.830 27.3944
5.859375 58.203 27.5266
6.225586 59.574 25.9508
6.591797 60.809 22.0208
6.958008 61.749 16.1554
7.324219 62.316 9.4595
7.690430 62.542 3.2601
8.056641 62.568 -1.2285
8.422852 62.646 -3.4182
8.789062 63.043 -4.0049
9.155273 63.851 -4.7655
9.521484 64.922 -7.1258
9.887695 66.033 -11.3267
10.253906 67.023 -16.8473
10.620117 67.799 -22.9592
10.986328 68.323 -28.9144
11.352539 68.595 -33.9426
11.718750 68.678 -37.2952
12.084961 68.713 -38.5149
12.451172 68.883 -37.9229
12.817383 69.292 -36.7468
13.183594 69.871 -36.2735
13.549805 70.457 -36.9005
13.916016 70.939 -38.1992
14.282227 71.307 -39.5660
14.648438 71.614 -40.7356
15.014648 71.905 -41.8827
15.380859 72.166 -43.2883
15.747070 72.346 -44.9068
16.113281 72.423 -46.2737
16.479492 72.459 -46.8516
16.845703 72.587 -46.6082
17.211914 72.906 -46.3251
17.578125 73.380 -47.0660
17.944336 73.860 -49.2727
18.310547 74.209 -52.5393
18.676758 74.371 -56.0156
19.042969 74.383 -58.8737
19.409180 74.347 -60.6613
19.775391 74.374 -61.4955
20.141602 74.518 -61.9156
20.507812 74.756 -62.4292
20.874023 75.027 -63.1991
21.240234 75.302 -64.1311
21.606445 75.571 -65.1230
21.972656 75.836 -66.1766
22.338867 76.086 -67.3164
22.705078 76.303 -68.4740
23.071289 76.488 -69.4999
23.437500 76.662 -70.3055
23.803711 76.854 -70.9906
24.169922 77.064 -71.8000
24.536133 77.260 -72.9090
24.902344 77.395 -74.2354
25.268555 77.445 -75.4455
25.634766 77.437 -76.1490
26.000977 77.443 -76.1835
26.367188 77.537 -75.8156
26.733398 77.742 -75.6355
27.099609 78.006 -76.1480
27.465820 78.241 -77.4410
27.832031 78.381 -79.1946
28.198242 78.411 -80.9084
28.564453 78.369 -82.1584
28.930664 78.324 -82.8022
29.296875 78.339 -83.0537
29.663086 78.431 -83.3322
30.029297 78.568 -83.9659
30.395508 78.698 -85.0011
30.761719 78.787 -86.2441
31.127930 78.832 -87.4374
31.494141 78.855 -88.4201
31.860352 78.883 -89.1876
32.226562 78.929 -89.8327
32.592773 78.992 -90.4364
32.958984 79.066 -91.0120
33.325195 79.152 -91.5436
33.691406 79.260 -92.0638
34.057617 79.391 -92.6752
34.423828 79.532 -93.4881
34.790039 79.660 -94.5308
35.156250 79.753 -95.7200
35.522461 79.802 -96.9102
35.888672 79.815 -97.9735
36.254883 79.805 -98.8486
36.621094 79.783 -99.5289
36.987305 79.758 -100.0174
37.353516 79.737 -100.3048
37.719727 79.737 -100.4020
38.085938 79.773 -100.3955
38.452148 79.853 -100.4531
38.818359 79.964 -100.7478
39.184570 80.081 -101.3557
39.550781 80.176 -102.2132
39.916992 80.239 -103.1637
40.283203 80.280 -104.0569
40.649414 80.318 -104.8374
41.015625 80.375 -105.5771
41.381836 80.453 -106.4255
41.748047 80.536 -107.5040
42.114258 80.593 -108.8120
42.480469 80.601 -110.1995
42.846680 80.555 -111.4191
43.212891 80.479 -112.2408
43.579102 80.415 -112.5899
43.945312 80.407 -112.6293
44.311523 80.464 -112.6828
44.677734 80.556 -113.0147
45.043945 80.636 -113.6484
45.410156 80.673 -114.3759
45.776367 80.673 -114.9358
46.142578 80.671 -115.2227
46.508789 80.697 -115.3774
46.875000 80.749 -115.6579
47.241211 80.789 -116.1874
47.607422 80.779 -116.8168
47.973633 80.717 -117.2245
48.339844 80.646 -117.1793
48.706055 80.627 -116.7813
49.072266 80.689 -116.4524
49.438477 80.796 -116.6127
49.804688 80.878 -117.3413
50.170898 80.881 -118.3356
50.537109 80.805 -119.1414
50.903320 80.702 -119.4586
51.269531 80.639 -119.3505
51.635742 80.649 -119.1915
52.001953 80.708 -119.3538
52.368164 80.764 -119.9198
52.734375 80.778 -120.6757
53.100586 80.754 -121.3249
53.466797 80.727 -121.7223
53.833008 80.732 -121.9685
54.199219 80.778 -122.3029
54.565430 80.838 -122.8898
54.931641 80.880 -123.6974
55.297852 80.889 -124.5498
55.664062 80.873 -125.2751
56.030273 80.855 -125.8227
56.396484 80.852 -126.2683
56.762695 80.862 -126.7155
57.128906 80.872 -127.1881
57.495117 80.876 -127.6179
57.861328 80.884 -127.9347
58.227539 80.913 -128.1726
58.593750 80.971 -128.4848
58.959961 81.038 -129.0292
59.326172 81.078 -129.8142
59.692383 81.063 -130.6414
60.058594 80.994 -131.1943
60.424805 80.912 -131.2344
60.791016 80.878 -130.8002
61.157227 80.931 -130.2475
61.523438 81.057 -130.0244
61.889648 81.195 -130.3498
62.255859 81.284 -131.0878
62.622070 81.298 -131.8788
62.988281 81.259 -132.3827
63.354492 81.217 -132.4893
63.720703 81.214 -132.3768
64.086914 81.253 -132.3544
64.453125 81.300 -132.6060
64.819336 81.317 -133.0607
65.185547 81.288 -133.4772
65.551758 81.236 -133.6405
65.917969 81.200 -133.5285
66.284180 81.208 -133.3324
66.650391 81.253 -133.3061
67.016602 81.304 -133.5722
67.382812 81.330 -134.0506
67.749023 81.320 -134.5411
68.115234 81.290 -134.8728
68.481445 81.269 -135.0164
68.847656 81.277 -135.0921
69.213867 81.313 -135.2705
69.580078 81.356 -135.6462
69.946289 81.384 -136.1819
70.312500 81.386 -136.7489
70.678711 81.367 -137.2155
71.044922 81.345 -137.5208
71.411133 81.334 -137.6953
71.777344 81.343 -137.8227
72.143555 81.366 -137.9821
72.509766 81.396 -138.2117
72.875977 81.424 -138.5099
73.242188 81.444 -138.8531
73.608398 81.450 -139.2029
73.974609 81.442 -139.5044
74.340820 81.425 -139.6954
74.707031 81.412 -139.7450
75.073242 81.418 -139.6992
75.439453 81.451 -139.6865
75.805664 81.500 -139.8483
76.171875 81.540 -140.2349
76.538086 81.547 -140.7513
76.904297 81.515 -141.2037
77.270508 81.462 -141.4210
77.636719 81.421 -141.3777
78.002930 81.418 -141.2238
78.369141 81.451 -141.1783
78.735352 81.496 -141.3685
79.101562 81.524 -141.7527
79.467773 81.523 -142.1797
79.833984 81.502 -142.5092
80.200195 81.477 -142.6965
80.566406 81.462 -142.7856
80.932617 81.459 -142.8380
81.298828 81.467 -142.8806
81.665039 81.486 -142.9226
82.031250 81.519 -143.0057
82.397461 81.562 -143.2069
82.763672 81.598 -143.5701
83.129883 81.607 -144.0301
83.496094 81.583 -144.4176
83.862305 81.542 -144.5658
84.228516 81.517 -144.4497
84.594727 81.537 -144.2384
84.960938 81.597 -144.1856
85.327148 81.666 -144.4353
85.693359 81.708 -144.9240
86.059570 81.711 -145.4524
86.425781 81.686 -145.8449
86.791992 81.659 -146.0693
87.158203 81.643 -146.2242
87.524414 81.633 -146.4110
87.890625 81.612 -146.6167
88.256836 81.578 -146.7254
88.623047 81.548 -146.6445
88.989258 81.550 -146.4303
89.355469 81.592 -146.2834
89.721680 81.657 -146.3986
90.087891 81.710 -146.8066
90.454102 81.723 -147.3513
90.820312 81.697 -147.8067
91.186523 81.657 -148.0338
91.552734 81.633 -148.0678
91.918945 81.638 -148.0739
92.285156 81.661 -148.2043
92.651367 81.680 -148.4852
93.017578 81.679 -148.8188
93.383789 81.661 -149.0777
93.750000 81.642 -149.2031
94.116211 81.638 -149.2402
94.482422 81.655 -149.2937
94.848633 81.683 -149.4493
95.214844 81.708 -149.7250
95.581055 81.721 -150.0759
95.947266 81.717 -150.4306
96.313477 81.700 -150.7249
96.679688 81.676 -150.9195
97.045898 81.655 -151.0064
97.412109 81.644 -151.0108
97.778320 81.650 -150.9880
98.144531 81.671 -151.0059
98.510742 81.700 -151.1147
98.876953 81.725 -151.3206
99.243164 81.738 -151.5824
99.609375 81.738 -151.8358
99.975586 81.731 -152.0322
100.341797 81.724 -152.1658
100.708008 81.722 -152.2719
101.074219 81.726 -152.3955
101.440430 81.729 -152.5555
101.806641 81.725 -152.7289
102.172852 81.715 -152.8697
102.539062 81.704 -152.9459
102.905273 81.702 -152.9698
103.271484 81.713 -152.9970
103.637695 81.733 -153.0914
104.003906 81.754 -153.2828
104.370117 81.766 -153.5463
104.736328 81.764 -153.8194
105.102539 81.752 -154.0411
105.468750 81.738 -154.1884
105.834961 81.732 -154.2853
106.201172 81.734 -154.3809
106.567383 81.741 -154.5140
106.933594 81.747 -154.6909
107.299805 81.748 -154.8875
107.666016 81.743 -155.0702
108.032227 81.735 -155.2160
108.398438 81.728 -155.3227
108.764648 81.727 -155.4058
109.130859 81.731 -155.4895
109.497070 81.740 -155.5974
109.863281 81.749 -155.7432
110.229492 81.756 -155.9245
110.595703 81.755 -156.1197
110.961914 81.748 -156.2952
111.328125 81.737 -156.4214
111.694336 81.728 -156.4900
112.060547 81.726 -156.5208
112.426758 81.734 -156.5525
112.792969 81.749 -156.6217
113.159180 81.766 -156.7447
113.525391 81.781 -156.9137
113.891602 81.792 -157.1067
114.257812 81.798 -157.3027
114.624023 81.801 -157.4930
114.990234 81.804 -157.6823
115.356445 81.807 -157.8804
115.722656 81.806 -158.0923
116.088867 81.801 -158.3094
116.455078 81.790 -158.5111
116.821289 81.775 -158.6745
117.187500 81.759 -158.7880
117.553711 81.748 -158.8604
117.919922 81.743 -158.9158
118.286133 81.743 -158.9794
118.652344 81.747 -159.0636
119.018555 81.752 -159.1687
119.384766 81.758 -159.2935
119.750977 81.764 -159.4440
120.117188 81.767 -159.6262
120.483398 81.764 -159.8287
120.849609 81.753 -160.0154
121.215820 81.736 -160.1436
121.582031 81.724 -160.2010
121.948242 81.723 -160.2279
122.314453 81.734 -160.2969
122.680664 81.748 -160.4567
123.046875 81.753 -160.6888
123.413086 81.743 -160.9181
123.779297 81.726 -161.0749
124.145508 81.715 -161.1572
124.511719 81.715 -161.2349
124.877930 81.720 -161.3834
125.244141 81.717 -161.6047
125.610352 81.697 -161.8121
125.976562 81.667 -161.9005
126.342773 81.646 -161.8446
126.708984 81.650 -161.7402
127.075195 81.677 -161.7354
127.441406 81.706 -161.9076
127.807617 81.717 -162.1992
128.173828 81.704 -162.4696
128.540039 81.681 -162.6150
128.906250 81.668 -162.6552
129.272461 81.671 -162.7091
129.638672 81.679 -162.8758
130.004883 81.672 -163.1330
130.371094 81.641 -163.3492
130.737305 81.599 -163.3968
131.103516 81.571 -163.2705
131.469727 81.574 -163.1055
131.835938 81.600 -163.0687
132.202148 81.625 -163.2208
132.568359 81.630 -163.4758
132.934570 81.613 -163.6858
133.300781 81.591 -163.7672
133.666992 81.582 -163.7654
134.033203 81.592 -163.8046
134.399414 81.605 -163.9707
134.765625 81.605 -164.2365
135.131836 81.585 -164.4908
135.498047 81.553 -164.6338
135.864258 81.528 -164.6557
136.230469 81.520 -164.6365
136.596680 81.525 -164.6731
136.962891 81.532 -164.8027
137.329102 81.531 -164.9880
137.695312 81.520 -165.1628
138.061523 81.504 -165.2871
138.427734 81.491 -165.3676
138.793945 81.482 -165.4342
139.160156 81.477 -165.5074
139.526367 81.472 -165.5860
139.892578 81.468 -165.6630
140.258789 81.466 -165.7430
140.625000 81.466 -165.8425
140.991211 81.465 -165.9713
141.357422 81.458 -166.1182
141.723633 81.445 -166.2535
142.089844 81.428 -166.3487
142.456055 81.411 -166.3945
142.822266 81.401 -166.4074
