* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -27.5 dBFS, measurement signal peak level -27.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: May 25, 2023 6:57:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.2141 ms (-73 mm, -2.89 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 23.1 ppm
* Measurement: Deva Pro No Grill L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	68.464	-40.0289
21.200001	68.881	-40.0476
21.799999	69.332	-39.6173
22.400000	69.579	-41.4423
23.000000	69.804	-44.3757
23.600000	70.256	-44.7414
24.299999	70.767	-43.3492
25.000000	70.962	-45.1689
25.799999	71.320	-48.9091
26.500000	71.785	-48.8297
27.200001	71.980	-48.4575
28.000000	72.213	-50.8844
29.000000	72.948	-54.1441
30.000000	73.457	-57.1873
30.700001	73.858	-59.2914
31.500000	74.214	-60.9940
32.500000	74.381	-62.7860
33.500000	74.837	-64.0544
34.500000	75.142	-66.2915
35.500000	75.473	-68.9085
36.500000	75.862	-69.2257
37.500000	76.090	-70.7929
38.700001	76.620	-72.6912
40.000000	76.946	-75.5065
41.200001	77.233	-79.0584
42.500000	77.748	-83.4379
43.700001	77.658	-83.5789
45.000000	77.976	-86.7129
46.200001	77.976	-90.2748
47.500000	77.967	-94.2662
48.700001	78.416	-93.3836
50.000000	78.497	-94.7099
51.500000	78.789	-99.5745
53.000000	78.620	-100.5959
54.500000	79.020	-106.0145
56.000000	79.002	-101.9689
58.000000	79.324	-106.8135
60.000000	79.587	-108.7200
61.500000	79.326	-110.3399
63.000000	79.371	-110.7229
65.000000	79.430	-113.6331
67.000000	79.800	-112.8647
69.000000	80.306	-115.5435
71.000000	80.418	-117.6852
73.000000	80.611	-121.0419
75.000000	80.688	-122.7958
77.500000	80.732	-126.1072
80.000000	80.763	-129.3782
82.500000	80.751	-131.9428
85.000000	80.709	-133.7383
87.500000	80.567	-135.0298
90.000000	80.587	-136.9704
92.500000	80.587	-138.9268
95.000000	80.547	-140.7220
97.500000	80.475	-142.0287
100.000000	80.410	-143.0220
103.000000	80.299	-144.5086
106.000000	80.253	-145.7288
109.000000	80.184	-146.5468
112.000000	80.112	-147.5667
115.000000	80.083	-148.4959
118.000000	80.023	-149.2533
122.000000	79.936	-150.3246
125.000000	79.898	-150.9990
128.000000	79.844	-151.3723
132.000000	79.756	-151.8130
136.000000	79.709	-152.6525
140.000000	79.661	-153.0665
145.000000	79.606	-153.7724
150.000000	79.550	-154.0483
155.000000	79.507	-154.3984
160.000000	79.477	-154.7605
165.000000	79.420	-154.9452
170.000000	79.388	-155.2071
175.000000	79.345	-155.4219
180.000000	79.313	-155.2066
185.000000	79.307	-155.4742
190.000000	79.299	-155.5633
195.000000	79.249	-155.4901
200.000000	79.241	-155.4343
206.000000	79.237	-155.4435
212.000000	79.220	-155.5542
