* Measurement data measured by REW V5.20
* Source: C:\xampp\htdocs\GraphToolHP\data\Diffuse Field Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Apr 11, 2021 5:36:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\xampp\htdocs\GraphToolHP\data\Diffuse Field Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,967 Hz log spaced 
* Measurement: Diffuse Field Target
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	60.000000	0
20.600000	60.000000	0
21.200001	60.000000	0
21.799999	60.000000	0
22.400000	60.000000	0
23.000000	60.000000	0
23.600000	60.000000	0
24.299999	60.000000	0
25.000000	60.000000	0
25.799999	60.000000	0
26.500000	60.000000	0
27.200001	60.000000	0
28.000000	60.000004	0
29.000000	60.000000	0
30.000000	60.000000	0
30.700001	60.000000	0
31.500000	60.000000	0
32.500000	60.000000	0
33.500000	60.000000	0
34.500000	60.000000	0
35.500000	60.000000	0
36.500000	60.000000	0
37.500000	60.000000	0
38.700001	60.000000	0
40.000000	60.000000	0
41.200001	60.000000	0
42.500000	60.000000	0
43.700001	60.000000	0
45.000000	60.000000	0
46.200001	60.000000	0
47.500000	60.000000	0
48.700001	60.000004	0
50.000000	60.000000	0
51.500000	60.000000	0
53.000000	60.000000	0
54.500000	60.000000	0
56.000000	60.000004	0
58.000000	60.000000	0
60.000000	60.000000	0
61.500000	60.000000	0
63.000000	60.000000	0
65.000000	60.000000	0
67.000000	60.000000	0
69.000000	60.000000	0
71.000000	60.000000	0
73.000000	60.000000	0
75.000000	60.000000	0
77.500000	60.000000	0
80.000000	60.000000	0
82.500000	60.000000	0
85.000000	60.000000	0
87.500000	60.000000	0
90.000000	60.000000	0
92.500000	60.000000	0
95.000000	60.000000	0
97.500000	60.000000	0
100.000000	60.000000	0
103.000000	60.000000	0
106.000000	60.000000	0
109.000000	59.998810	0
112.000000	60.060596	0
115.000000	60.100449	0
118.000000	60.099998	0
122.000000	60.099998	0
125.000000	60.099998	0
128.000000	60.099998	0
132.000000	60.099998	0
136.000000	60.095070	0
140.000000	60.193966	0
145.000000	60.200001	0
150.000000	60.200001	0
155.000000	60.198841	0
160.000000	60.295120	0
165.000000	60.299995	0
170.000000	60.299480	0
175.000000	60.389725	0
180.000000	60.400082	0
185.000000	60.399010	0
190.000000	60.441666	0
195.000000	60.501553	0
200.000000	60.500000	0
206.000000	60.503883	0
212.000000	60.603004	0
218.000000	60.599998	0
224.000000	60.599594	0
230.000000	60.681534	0
236.000000	60.700638	0
243.000000	60.699928	0
250.000000	60.742310	0
258.000000	60.800678	0
265.000000	60.797989	0
272.000000	60.870808	0
280.000000	60.900005	0
290.000000	60.907928	0
300.000000	61.000214	0
307.000000	61.000000	0
315.000000	60.999790	0
325.000000	61.052940	0
335.000000	61.100277	0
345.000000	61.099998	0
355.000000	61.099998	0
365.000000	61.099812	0
375.000000	61.185616	0
387.000000	61.200005	0
400.000000	61.196213	0
412.000000	61.288212	0
425.000000	61.385281	0
437.000000	61.498360	0
450.000000	61.620148	0
462.000000	61.710087	0
475.000000	61.804695	0
487.000000	61.908543	0
500.000000	62.003456	0
515.000000	62.076946	0
530.000000	62.168171	0
545.000000	62.197521	0
560.000000	62.287884	0
580.000000	62.400230	0
600.000000	62.514595	0
615.000000	62.602982	0
630.000000	62.684776	0
650.000000	62.711449	0
670.000000	62.805569	0
690.000000	62.996235	0
710.000000	63.001217	0
730.000000	63.097363	0
750.000000	63.193867	0
775.000000	63.303764	0
800.000000	63.400864	0
825.000000	63.460670	0
850.000000	63.499317	0
875.000000	63.552517	0
900.000000	63.594090	0
925.000000	63.697289	0
950.000000	63.788605	0
975.000000	63.801014	0
1000.000000	63.934097	0
1030.000000	64.033875	0
1060.000000	64.215149	0
1090.000000	64.398430	0
1120.000000	64.576752	0
1150.000000	64.750336	0
1180.000000	64.919479	0
1220.000000	65.138222	0
1250.000000	65.307480	0
1280.000000	65.551514	0
1320.000000	65.812210	0
1360.000000	66.051208	0
1400.000000	66.282013	0
1450.000000	66.577400	0
1500.000000	66.896690	0
1550.000000	67.211143	0
1600.000000	67.537003	0
1650.000000	67.940659	0
1700.000000	68.362320	0
1750.000000	68.811798	0
1800.000000	69.255600	0
1850.000000	69.702438	0
1900.000000	70.133652	0
1950.000000	70.554344	0
2000.000000	70.972412	0
2060.000000	71.458267	0
2120.000000	71.898605	0
2180.000000	72.348198	0
2240.000000	72.881599	0
2300.000000	73.402145	0
2360.000000	73.910217	0
2430.000000	74.425270	0
2500.000000	74.839630	0
2580.000000	75.308144	0
2650.000000	75.427017	0
2720.000000	75.503532	0
2800.000000	75.600281	0
2900.000000	75.599991	0
3000.000000	75.602242	0
3070.000000	75.524414	0
3150.000000	75.442810	0
3250.000000	75.273834	0
3350.000000	74.964386	0
3450.000000	74.632378	0
3550.000000	74.348999	0
3650.000000	74.029686	0
3750.000000	73.774727	0
3870.000000	73.362450	0
4000.000000	73.026077	0
4120.000000	72.642563	0
4250.000000	72.332970	0
4370.000000	71.971031	0
4500.000000	71.600418	0
4620.000000	71.345123	0
4750.000000	71.075493	0
4870.000000	70.845650	0
5000.000000	70.599281	0
5150.000000	70.488838	0
5300.000000	70.317337	0
5450.000000	70.194321	0
5600.000000	70.057350	0
5800.000000	69.890503	0
6000.000000	69.712463	0
6150.000000	69.643143	0
6300.000000	69.600342	0
6500.000000	69.573318	0
6700.000000	69.503159	0
6900.000000	69.412598	0
7100.000000	69.400002	0
7300.000000	69.401978	0
7500.000000	69.346893	0
7750.000000	69.300003	0
8000.000000	69.294205	0
8250.000000	69.014526	0
8500.000000	68.634560	0
8750.000000	68.355118	0
9000.000000	67.983368	0
9250.000000	67.763977	0
9500.000000	67.504639	0
9750.000000	67.249573	0
10000.000000	67.004822	0
10300.000000	66.651970	0
10600.000000	66.336227	0
10900.000000	65.970001	0
11200.000000	65.613541	0
11500.000000	65.266602	0
11800.000000	64.928543	0
12200.000000	64.490898	0
12500.000000	64.174591	0
12800.000000	63.799904	0
13200.000000	63.348301	0
13600.000000	62.920780	0
14000.000000	62.583633	0
14500.000000	62.122833	0
15000.000000	61.677940	0
15500.000000	61.247509	0
16000.000000	60.830654	0
16500.000000	60.426678	0
17000.000000	60.034660	0
17500.000000	59.654011	0
18000.000000	59.284111	0
18500.000000	58.924290	0
19000.000000	58.579590	0
19500.000000	58.131680	0
