* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -31.2 dBFS, measurement signal peak level -31.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Dec 28, 2020 8:58:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dec 28
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	78.543442	-127.2816
21.200001	78.554359	-127.7075
21.799999	78.687798	-128.3475
22.400000	78.871254	-129.5342
23.000000	78.974304	-130.6953
23.600000	79.006248	-131.1522
24.299999	79.076096	-131.4753
25.000000	79.136124	-132.7716
25.799999	79.139496	-134.2496
26.500000	79.256325	-134.3878
27.200001	79.438484	-134.0605
28.000000	79.499519	-133.5569
29.000000	79.374519	-134.1375
30.000000	79.069435	-136.4925
30.700001	79.003746	-137.3688
31.500000	79.128769	-138.3372
32.500000	79.082550	-139.4417
33.500000	79.070206	-139.1630
34.500000	79.174835	-139.4118
35.500000	79.124298	-139.0793
36.500000	78.959244	-138.7692
37.500000	78.929489	-139.0503
38.700001	79.099831	-140.0784
40.000000	79.374710	-138.7088
41.200001	79.451813	-139.4955
42.500000	79.576462	-139.1866
43.700001	79.874763	-140.3571
45.000000	80.123238	-140.5186
46.200001	80.317215	-142.1682
47.500000	80.391342	-143.4212
48.700001	80.351639	-144.7951
50.000000	80.385056	-145.5045
51.500000	80.396454	-146.8765
53.000000	80.482468	-147.1508
54.500000	80.503746	-148.2473
56.000000	80.474060	-148.4698
58.000000	80.505814	-149.5240
60.000000	80.651276	-150.2901
61.500000	80.606102	-150.8797
63.000000	80.621956	-151.2656
65.000000	80.574600	-152.1031
67.000000	80.554214	-152.4982
69.000000	80.585320	-152.9695
71.000000	80.612473	-153.2436
73.000000	80.626167	-153.3338
75.000000	80.611893	-153.6583
77.500000	80.598289	-154.2573
80.000000	80.608490	-154.5435
82.500000	80.609871	-154.9125
85.000000	80.575150	-154.9600
87.500000	80.913895	-155.9619
90.000000	80.509872	-156.9573
92.500000	80.642960	-155.6728
95.000000	80.615906	-155.8707
97.500000	80.619560	-155.9493
100.000000	80.615967	-156.0891
103.000000	80.660179	-156.1397
106.000000	80.674751	-156.0592
109.000000	80.699524	-156.2583
112.000000	80.738052	-156.3652
115.000000	80.760490	-156.4714
118.000000	80.772774	-156.6004
122.000000	80.825127	-156.6273
125.000000	80.849899	-156.6465
128.000000	80.868080	-156.6658
132.000000	80.895447	-156.5853
136.000000	80.950699	-156.6560
140.000000	81.011955	-156.7376
145.000000	81.050804	-156.7884
150.000000	81.081429	-156.6731
155.000000	81.132324	-156.6664
160.000000	81.208244	-156.4713
165.000000	81.266579	-156.7921
170.000000	81.343048	-156.8724
175.000000	81.386482	-156.9792
