* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of 580-2 R1, 580-2 R2
* Dated: Nov 19, 2022 11:49:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of 580-2 R1, 580-2 R2
* Measurement: HD580-2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	52.765
20.600000	52.467
21.200001	52.893
21.799999	54.091
22.400000	55.304
23.000000	55.991
23.600000	56.430
24.299999	57.469
25.000000	58.872
25.799999	59.860
26.500000	60.208
27.200001	60.750
28.000000	62.314
29.000000	64.638
30.000000	65.680
30.700001	65.666
31.500000	65.327
32.500000	64.518
33.500000	63.220
34.500000	62.407
35.500000	62.945
36.500000	64.263
37.500000	65.262
38.700001	65.240
40.000000	64.396
41.200001	63.999
42.500000	63.544
43.700001	63.147
45.000000	63.301
46.200001	63.573
47.500000	63.615
48.700001	63.572
50.000000	63.683
51.500000	64.055
53.000000	64.460
54.500000	64.737
56.000000	65.096
58.000000	65.736
60.000000	66.193
61.500000	66.417
63.000000	66.625
65.000000	66.791
67.000000	66.811
69.000000	66.776
71.000000	66.820
73.000000	67.045
75.000000	67.306
77.500000	67.621
80.000000	68.129
82.500000	68.683
85.000000	68.926
87.500000	69.060
90.000000	69.208
92.500000	69.348
95.000000	69.532
97.500000	69.767
100.000000	69.987
103.000000	70.188
106.000000	70.313
109.000000	70.484
112.000000	70.807
115.000000	71.065
118.000000	71.121
122.000000	71.127
125.000000	71.203
128.000000	71.312
132.000000	71.500
136.000000	71.676
140.000000	71.782
145.000000	71.880
150.000000	71.955
155.000000	71.990
160.000000	72.053
165.000000	72.123
170.000000	72.164
175.000000	72.192
180.000000	72.222
185.000000	72.234
190.000000	72.237
195.000000	72.254
200.000000	72.273
206.000000	72.275
212.000000	72.270
218.000000	72.258
224.000000	72.244
230.000000	72.228
236.000000	72.195
243.000000	72.136
250.000000	72.093
258.000000	72.115
265.000000	72.146
272.000000	72.150
280.000000	72.138
290.000000	72.138
300.000000	72.148
307.000000	72.153
315.000000	72.164
325.000000	72.184
335.000000	72.180
345.000000	72.148
355.000000	72.119
365.000000	72.107
375.000000	72.118
387.000000	72.147
400.000000	72.154
412.000000	72.133
425.000000	72.091
437.000000	72.053
450.000000	72.048
462.000000	72.075
475.000000	72.100
487.000000	72.108
500.000000	72.108
515.000000	72.111
530.000000	72.136
545.000000	72.199
560.000000	72.281
580.000000	72.388
600.000000	72.508
615.000000	72.599
630.000000	72.673
650.000000	72.748
670.000000	72.826
690.000000	72.912
710.000000	72.983
730.000000	72.987
750.000000	72.914
775.000000	72.842
800.000000	72.935
825.000000	73.129
850.000000	73.337
875.000000	73.527
900.000000	73.686
925.000000	73.818
950.000000	73.935
975.000000	74.048
1000.000000	74.172
1030.000000	74.344
1060.000000	74.537
1090.000000	74.740
1120.000000	74.932
1150.000000	75.105
1180.000000	75.263
1220.000000	75.461
1250.000000	75.610
1280.000000	75.762
1320.000000	75.972
1360.000000	76.191
1400.000000	76.412
1450.000000	76.659
1500.000000	76.834
1550.000000	76.918
1600.000000	76.927
1650.000000	76.907
1700.000000	76.905
1750.000000	76.939
1800.000000	77.011
1850.000000	77.140
1900.000000	77.355
1950.000000	77.656
2000.000000	78.014
2060.000000	78.472
2120.000000	78.934
2180.000000	79.390
2240.000000	79.822
2300.000000	80.202
2360.000000	80.510
2430.000000	80.787
2500.000000	81.003
2580.000000	81.211
2650.000000	81.374
2720.000000	81.525
2800.000000	81.682
2900.000000	81.832
3000.000000	81.910
3070.000000	81.912
3150.000000	81.837
3250.000000	81.614
3350.000000	81.338
3450.000000	81.186
3550.000000	81.236
3650.000000	81.396
3750.000000	81.543
3870.000000	81.648
4000.000000	81.772
4120.000000	82.021
4250.000000	82.393
4370.000000	82.690
4500.000000	82.863
4620.000000	82.865
4750.000000	82.761
4870.000000	82.681
5000.000000	82.728
5150.000000	83.011
5300.000000	83.480
5450.000000	83.986
5600.000000	84.336
5800.000000	84.284
6000.000000	83.429
6150.000000	82.210
6300.000000	80.578
6500.000000	78.145
6700.000000	76.011
6900.000000	74.549
7100.000000	73.673
7300.000000	72.986
7500.000000	72.026
7750.000000	69.830
8000.000000	66.072
8250.000000	61.072
8500.000000	56.130
8750.000000	51.804
9000.000000	50.004
9250.000000	53.528
9500.000000	57.710
9750.000000	60.787
10000.000000	62.484
10300.000000	62.592
10600.000000	61.014
10900.000000	59.451
11200.000000	59.997
11500.000000	61.409
11800.000000	62.071
12200.000000	62.136
12500.000000	62.561
12800.000000	63.384
13200.000000	64.324
13600.000000	64.351
14000.000000	63.268
14500.000000	62.951
15000.000000	65.991
15500.000000	68.189
16000.000000	68.121
16500.000000	66.861
17000.000000	66.605
17500.000000	67.453
18000.000000	67.593
18500.000000	66.617
19000.000000	65.259
19500.000000	63.771
