* Measurement data measured by REW V5.20
* Source: Frequency Response Averaged data
* Format: Averaged data produced from HD800S L 1, HD800S L2, HD800S L3, HD800S L4, HD800S L5
* Dated: Sep 4, 2021 1:08:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HD800S L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	74.369354	0
21.200001	74.540298	0
21.799999	74.743225	0
22.400000	74.941040	0
23.000000	75.126701	0
23.600000	75.325241	0
24.299999	75.559410	0
25.000000	75.748413	0
25.799999	75.944916	0
26.500000	76.159523	0
27.200001	76.370071	0
28.000000	76.506805	0
29.000000	76.545204	0
30.000000	76.677094	0
30.700001	76.857307	0
31.500000	77.025597	0
32.500000	77.151901	0
33.500000	77.293564	0
34.500000	77.406677	0
35.500000	77.495956	0
36.500000	77.592331	0
37.500000	77.661835	0
38.700001	77.726799	0
40.000000	77.790886	0
41.200001	77.825333	0
42.500000	77.864006	0
43.700001	77.937935	0
45.000000	78.001930	0
46.200001	77.966270	0
47.500000	77.912056	0
48.700001	77.868187	0
50.000000	77.818344	0
51.500000	77.834450	0
53.000000	77.881577	0
54.500000	77.981354	0
56.000000	78.076538	0
58.000000	78.097610	0
60.000000	78.095482	0
61.500000	78.107437	0
63.000000	78.216240	0
65.000000	78.434593	0
67.000000	78.620354	0
69.000000	78.764099	0
71.000000	78.859451	0
73.000000	78.938431	0
75.000000	78.980988	0
77.500000	79.003769	0
80.000000	79.057343	0
82.500000	79.151642	0
85.000000	79.266052	0
87.500000	79.328049	0
90.000000	79.363297	0
92.500000	79.418343	0
95.000000	79.476753	0
97.500000	79.474289	0
100.000000	79.562508	0
103.000000	79.596550	0
106.000000	79.649353	0
109.000000	79.710358	0
112.000000	79.749512	0
115.000000	79.775925	0
118.000000	79.781906	0
122.000000	79.801483	0
125.000000	79.818306	0
128.000000	79.832306	0
132.000000	79.845352	0
136.000000	79.853661	0
140.000000	79.851227	0
145.000000	79.853783	0
150.000000	79.870934	0
155.000000	79.897980	0
160.000000	79.938423	0
165.000000	79.937019	0
170.000000	79.950233	0
175.000000	79.961853	0
180.000000	79.966026	0
185.000000	79.972519	0
190.000000	79.983040	0
195.000000	79.995483	0
200.000000	80.002823	0
206.000000	80.004814	0
212.000000	80.004372	0
218.000000	80.001038	0
224.000000	79.992966	0
230.000000	79.989578	0
236.000000	80.001595	0
243.000000	80.006554	0
250.000000	79.997070	0
258.000000	79.995392	0
265.000000	79.992844	0
272.000000	79.983833	0
280.000000	79.980019	0
290.000000	79.982727	0
300.000000	79.986290	0
307.000000	79.969040	0
315.000000	79.956100	0
325.000000	79.949760	0
335.000000	79.948647	0
345.000000	79.955505	0
355.000000	79.952225	0
365.000000	79.945427	0
375.000000	79.944763	0
387.000000	79.949959	0
400.000000	79.960869	0
412.000000	79.954468	0
425.000000	79.952621	0
437.000000	79.962166	0
450.000000	79.974182	0
462.000000	79.987335	0
475.000000	79.993950	0
487.000000	80.007545	0
500.000000	80.047394	0
515.000000	80.043663	0
530.000000	80.060013	0
545.000000	80.079483	0
560.000000	80.109009	0
580.000000	80.132545	0
600.000000	80.167755	0
615.000000	80.184616	0
630.000000	80.224564	0
650.000000	80.257675	0
670.000000	80.306236	0
690.000000	80.342529	0
710.000000	80.388153	0
730.000000	80.428673	0
750.000000	80.478676	0
775.000000	80.533630	0
800.000000	80.539429	0
825.000000	80.594551	0
850.000000	80.634483	0
875.000000	80.636597	0
900.000000	80.611862	0
925.000000	80.616470	0
950.000000	80.594788	0
975.000000	80.519394	0
1000.000000	80.382401	0
1030.000000	80.254532	0
1060.000000	80.246498	0
1090.000000	80.107323	0
1120.000000	79.930817	0
1150.000000	79.915436	0
1180.000000	79.875137	0
1220.000000	79.634880	0
1250.000000	79.500130	0
1280.000000	79.462883	0
1320.000000	79.383133	0
1360.000000	79.152832	0
1400.000000	79.138664	0
1450.000000	79.132980	0
1500.000000	79.043694	0
1550.000000	79.330399	0
1600.000000	79.498123	0
1650.000000	79.883720	0
1700.000000	80.295258	0
1750.000000	80.642365	0
1800.000000	81.253868	0
1850.000000	81.626839	0
1900.000000	82.232033	0
1950.000000	82.747101	0
2000.000000	83.243469	0
2060.000000	83.928192	0
2120.000000	84.450516	0
2180.000000	84.948982	0
2240.000000	85.355293	0
2300.000000	85.766724	0
2360.000000	86.006577	0
2430.000000	86.075333	0
2500.000000	86.027618	0
2580.000000	85.984070	0
2650.000000	85.806488	0
2720.000000	85.600372	0
2800.000000	85.179970	0
2900.000000	84.777580	0
3000.000000	84.317986	0
3070.000000	83.905815	0
3150.000000	83.546341	0
3250.000000	83.371216	0
3350.000000	83.462624	0
3450.000000	83.800117	0
3550.000000	84.408775	0
3650.000000	85.143341	0
3750.000000	85.841759	0
3870.000000	86.434998	0
4000.000000	86.687233	0
4120.000000	86.711937	0
4250.000000	86.730217	0
4370.000000	86.753632	0
4500.000000	86.852478	0
4620.000000	86.958420	0
4750.000000	87.060951	0
4870.000000	87.185928	0
5000.000000	87.438278	0
5150.000000	87.863701	0
5300.000000	88.403801	0
5450.000000	88.951523	0
5600.000000	89.393547	0
5800.000000	89.879433	0
6000.000000	90.403336	0
6150.000000	90.527908	0
6300.000000	90.224091	0
6500.000000	88.922760	0
6700.000000	86.956879	0
6900.000000	85.115379	0
7100.000000	83.856415	0
7300.000000	83.394432	0
7500.000000	83.716293	0
7750.000000	84.406532	0
8000.000000	82.695206	0
8250.000000	78.765297	0
8500.000000	76.687653	0
8750.000000	77.829208	0
9000.000000	78.076988	0
9250.000000	76.589325	0
9500.000000	74.989914	0
9750.000000	74.012527	0
10000.000000	75.477081	0
10300.000000	79.707893	0
10600.000000	81.557686	0
10900.000000	80.290131	0
11200.000000	76.717606	0
11500.000000	73.881561	0
11800.000000	76.205742	0
12200.000000	78.706566	0
12500.000000	78.202606	0
12800.000000	76.243683	0
13200.000000	72.797783	0
13600.000000	69.787727	0
14000.000000	68.266602	0
14500.000000	67.133575	0
15000.000000	67.415665	0
15500.000000	69.763390	0
16000.000000	73.662872	0
16500.000000	74.927231	0
17000.000000	72.449051	0
17500.000000	70.541275	0
18000.000000	70.441444	0
18500.000000	67.837692	0
19000.000000	63.063835	0
19500.000000	58.763542	0
