* Measurement data measured by REW V5.20
* Source: Frequency Response Averaged data
* Format: Averaged data produced from HD800SDR Dek L1, HD800SDR Dek L2, HD800SDR Dek L3, HD800SDR Dek L4, HD800SDR Dek L5
* Dated: Sep 4, 2021 1:13:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from HD800SDR Dek L1, HD800SDR Dek L2, HD800SDR Dek L3, HD800SDR Dek L4, HD800SDR Dek L5
* Measurement: HD800SDR Dek L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	70.706589	0
21.200001	71.072701	0
21.799999	71.344452	0
22.400000	71.583496	0
23.000000	72.173164	0
23.600000	73.149178	0
24.299999	73.689934	0
25.000000	73.322174	0
25.799999	73.082504	0
26.500000	73.363480	0
27.200001	73.744461	0
28.000000	74.155685	0
29.000000	74.464211	0
30.000000	74.567001	0
30.700001	74.650856	0
31.500000	74.849976	0
32.500000	75.186066	0
33.500000	75.461014	0
34.500000	75.656357	0
35.500000	75.785286	0
36.500000	75.906830	0
37.500000	76.065796	0
38.700001	76.278595	0
40.000000	76.461113	0
41.200001	76.579506	0
42.500000	76.780266	0
43.700001	76.966919	0
45.000000	77.123962	0
46.200001	77.295021	0
47.500000	77.429733	0
48.700001	77.511353	0
50.000000	77.631187	0
51.500000	77.803978	0
53.000000	77.933670	0
54.500000	78.032242	0
56.000000	78.140831	0
58.000000	78.292152	0
60.000000	78.423988	0
61.500000	78.492836	0
63.000000	78.567352	0
65.000000	78.670296	0
67.000000	78.772621	0
69.000000	78.884857	0
71.000000	78.992828	0
73.000000	79.090088	0
75.000000	79.174957	0
77.500000	79.247665	0
80.000000	79.336319	0
82.500000	79.428787	0
85.000000	79.522400	0
87.500000	79.612648	0
90.000000	79.723869	0
92.500000	79.834206	0
95.000000	79.865753	0
97.500000	79.933151	0
100.000000	79.924767	0
103.000000	80.035652	0
106.000000	80.075874	0
109.000000	80.110397	0
112.000000	80.171753	0
115.000000	80.227776	0
118.000000	80.291237	0
122.000000	80.378784	0
125.000000	80.445328	0
128.000000	80.514069	0
132.000000	80.594826	0
136.000000	80.652397	0
140.000000	80.705856	0
145.000000	80.770782	0
150.000000	80.822754	0
155.000000	80.876884	0
160.000000	80.927757	0
165.000000	80.963654	0
170.000000	80.994720	0
175.000000	81.025543	0
180.000000	81.050392	0
185.000000	81.080238	0
190.000000	81.122711	0
195.000000	81.162300	0
200.000000	81.195145	0
206.000000	81.218140	0
212.000000	81.248360	0
218.000000	81.271973	0
224.000000	81.275047	0
230.000000	81.293655	0
236.000000	81.321030	0
243.000000	81.343964	0
250.000000	81.362686	0
258.000000	81.383904	0
265.000000	81.396835	0
272.000000	81.406578	0
280.000000	81.415359	0
290.000000	81.427795	0
300.000000	81.439026	0
307.000000	81.415764	0
315.000000	81.397934	0
325.000000	81.399940	0
335.000000	81.402962	0
345.000000	81.418602	0
355.000000	81.413528	0
365.000000	81.403946	0
375.000000	81.399887	0
387.000000	81.410896	0
400.000000	81.391273	0
412.000000	81.353050	0
425.000000	81.332199	0
437.000000	81.337219	0
450.000000	81.334885	0
462.000000	81.329834	0
475.000000	81.296631	0
487.000000	81.275246	0
500.000000	81.292694	0
515.000000	81.233536	0
530.000000	81.210266	0
545.000000	81.193878	0
560.000000	81.194382	0
580.000000	81.149040	0
600.000000	81.116142	0
615.000000	81.064301	0
630.000000	81.045509	0
650.000000	80.998215	0
670.000000	80.949997	0
690.000000	80.835037	0
710.000000	80.716583	0
730.000000	80.633339	0
