* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 13, 2021 5:00:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HE6SEv2 Deafen Hybrid
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.031876	139.8278
20.600000	79.483192	135.3412
21.200001	79.939766	130.9105
21.799999	80.369316	126.2118
22.400000	80.737106	121.3935
23.000000	81.055725	116.5333
23.600000	81.313988	111.4870
24.299999	81.474312	105.5591
25.000000	81.501976	100.3585
25.799999	81.543945	95.4087
26.500000	81.618866	91.1201
27.200001	81.652466	86.7751
28.000000	81.646172	82.0346
29.000000	81.541687	76.2773
30.000000	81.319382	71.7594
30.700001	81.241699	69.1803
31.500000	81.156738	66.0098
32.500000	80.969971	62.6280
33.500000	80.846939	59.6516
34.500000	80.668640	56.6547
35.500000	80.505775	54.3125
36.500000	80.358215	51.8581
37.500000	80.169327	49.9620
38.700001	80.053284	48.0127
40.000000	79.891998	45.5823
41.200001	79.759537	43.8878
42.500000	79.652893	42.0853
43.700001	79.569038	40.3235
45.000000	79.399063	38.8406
46.200001	79.453011	37.4007
47.500000	79.135399	34.7558
48.700001	78.992462	35.7189
50.000000	79.068398	34.2349
51.500000	78.952812	33.3382
53.000000	78.893806	32.0553
54.500000	78.844498	31.1793
56.000000	78.775116	29.9910
58.000000	78.705856	29.1502
60.000000	78.636871	28.1811
61.500000	78.586777	27.2139
63.000000	78.498413	26.3717
65.000000	78.399773	25.5453
67.000000	78.299438	24.7163
69.000000	78.229202	23.9786
71.000000	78.161903	23.4078
73.000000	78.105515	22.9364
75.000000	78.038887	22.3503
77.500000	77.970146	21.9328
80.000000	77.914337	21.4432
82.500000	77.868347	20.9844
85.000000	77.809921	20.4971
87.500000	77.743584	20.1877
90.000000	77.711060	19.9779
92.500000	77.681549	19.6488
95.000000	77.657387	19.2952
97.500000	77.633148	18.9733
100.000000	77.603012	18.6481
103.000000	77.567238	18.4123
106.000000	77.549873	18.3213
109.000000	77.555397	18.1172
112.000000	77.546425	17.8906
115.000000	77.537605	17.6641
118.000000	77.545830	17.4661
122.000000	77.554741	17.0608
125.000000	77.526794	16.6953
128.000000	77.488510	16.5641
132.000000	77.449860	16.6176
136.000000	77.452408	16.6871
140.000000	77.458488	16.6919
145.000000	77.464661	16.7297
150.000000	77.517868	16.6335
155.000000	77.549820	16.2341
160.000000	77.491432	15.8062
165.000000	77.460854	16.1497
170.000000	77.486259	16.3498
175.000000	77.499512	16.3405
180.000000	77.518829	16.4718
185.000000	77.544495	16.5797
190.000000	77.584839	16.6609
195.000000	77.632156	16.6449
200.000000	77.684082	16.5117
206.000000	77.714325	16.3234
212.000000	77.734833	16.1864
218.000000	77.750481	16.0582
224.000000	77.768890	15.9384
230.000000	77.786118	15.9678
236.000000	77.823563	15.7850
243.000000	77.847351	15.4780
250.000000	77.856018	15.3384
258.000000	77.885841	14.9221
265.000000	77.861328	14.2373
272.000000	77.751526	13.7136
280.000000	77.560303	13.7541
290.000000	77.397850	14.8961
300.000000	77.351257	16.1970
307.000000	77.359009	16.9807
315.000000	77.382431	17.8344
325.000000	77.455826	18.8119
335.000000	77.535080	19.6179
345.000000	77.645363	20.3092
355.000000	77.720314	20.8167
365.000000	77.821968	21.3648
375.000000	77.907013	22.0207
387.000000	78.065865	22.5990
400.000000	78.277260	23.0168
412.000000	78.451309	23.0880
425.000000	78.618835	22.6349
437.000000	78.716576	22.3606
450.000000	78.810028	22.1552
462.000000	78.874611	22.0249
475.000000	78.970833	21.6898
487.000000	78.995720	21.3539
