* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 15, 2021 6:22:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Hifiman HE6v2 Dk Hyb
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	77.245705	100.8142
21.200001	77.181587	96.4331
21.799999	77.082916	92.1580
22.400000	77.055183	88.5319
23.000000	77.112572	85.4332
23.600000	77.152214	82.5156
24.299999	77.059258	79.3379
25.000000	76.876709	76.5556
25.799999	76.722733	73.5342
26.500000	76.652328	70.8914
27.200001	76.594025	68.3544
28.000000	76.481018	65.4935
29.000000	76.277168	62.4604
30.000000	76.187134	60.2037
30.700001	76.133797	58.5507
31.500000	76.003891	56.7347
32.500000	75.874931	54.2802
33.500000	75.762390	52.2122
34.500000	75.745293	51.6028
35.500000	75.731873	50.3657
36.500000	75.631897	48.7862
37.500000	75.612587	47.2467
38.700001	75.471786	46.3953
40.000000	75.444153	45.1501
41.200001	75.429520	42.4205
42.500000	75.404121	40.9550
43.700001	75.323097	40.5699
45.000000	75.316971	39.2641
46.200001	75.266357	37.9910
47.500000	75.073921	37.2392
48.700001	75.224510	35.8846
50.000000	75.225311	33.1720
51.500000	75.070518	34.1836
53.000000	75.155342	33.9127
54.500000	75.165146	31.4214
56.000000	74.991570	30.3265
58.000000	75.035126	31.1884
60.000000	74.983940	29.9003
61.500000	74.994736	28.8107
63.000000	75.018875	28.1915
65.000000	74.898201	27.4028
67.000000	74.938698	26.7081
69.000000	74.909065	25.7235
71.000000	74.763840	25.5093
73.000000	74.846306	25.6704
75.000000	74.832367	24.8818
77.500000	74.785324	23.9735
80.000000	74.754700	23.6763
82.500000	74.789207	22.5528
85.000000	74.740219	22.2226
87.500000	74.797554	21.9519
90.000000	74.656662	21.7416
92.500000	74.753738	21.1600
95.000000	74.697235	20.3690
97.500000	74.725281	19.5860
100.000000	74.729172	19.4854
103.000000	74.566765	19.3343
106.000000	74.722389	18.5610
109.000000	74.725288	18.0317
112.000000	74.616104	17.5514
115.000000	74.562943	16.8269
118.000000	74.558998	16.4951
122.000000	74.400574	16.4760
125.000000	74.423241	16.9732
128.000000	74.391846	17.0002
132.000000	74.451073	16.7042
136.000000	74.427498	16.5264
140.000000	74.358246	16.6076
145.000000	74.408440	16.7612
150.000000	74.380920	16.3976
155.000000	74.409103	16.3246
160.000000	74.478989	17.2516
165.000000	74.410614	17.1522
170.000000	74.544312	16.6012
175.000000	74.582878	16.4240
180.000000	74.636322	17.3605
185.000000	74.712143	16.6303
190.000000	74.726913	16.2961
195.000000	74.811775	16.3325
200.000000	74.719727	16.0793
206.000000	74.864510	15.7798
212.000000	74.824455	15.1774
218.000000	74.902336	15.0821
224.000000	74.871056	14.9367
230.000000	74.857391	14.4986
236.000000	74.812218	13.9788
243.000000	74.707527	13.8317
250.000000	74.633148	14.0435
258.000000	74.574821	14.5938
265.000000	74.552002	15.0455
272.000000	74.540520	15.8849
280.000000	74.532593	15.9995
290.000000	74.559006	17.4305
300.000000	74.614395	17.9615
307.000000	74.691254	18.3896
315.000000	74.773788	19.0441
325.000000	74.877533	19.3271
335.000000	74.978722	19.7173
345.000000	75.126312	20.0890
355.000000	75.216652	20.3220
365.000000	75.414696	20.1916
375.000000	75.559151	20.2109
387.000000	75.658653	19.6725
400.000000	75.775047	19.0179
412.000000	75.783539	18.6822
425.000000	75.853783	18.3098
437.000000	75.842369	18.2163
450.000000	75.937309	18.2852
462.000000	75.973282	18.5050
475.000000	76.131218	18.5147
487.000000	76.325218	18.0419
500.000000	76.397156	16.5149
515.000000	76.274261	14.4511
530.000000	76.013947	14.3467
545.000000	75.878189	15.2609
560.000000	75.833794	16.6376
580.000000	75.872681	17.7579
600.000000	76.013237	18.7087
615.000000	76.131554	19.0753
630.000000	76.345306	18.9150
650.000000	76.482079	18.1216
670.000000	76.376724	17.6942
690.000000	76.501465	18.6674
710.000000	76.622566	17.5114
730.000000	76.437920	17.2467
750.000000	76.456383	18.7937
775.000000	76.776901	19.8537
800.000000	76.963760	19.9381
825.000000	77.339638	18.9690
850.000000	77.760666	16.4250
875.000000	77.574524	12.6810
900.000000	77.249557	11.8639
925.000000	77.253868	11.6957
950.000000	77.296814	9.1285
975.000000	76.873085	7.0598
1000.000000	76.356659	8.1471
1030.000000	76.578400	10.1640
1060.000000	76.469421	8.4974
1090.000000	76.330650	7.3687
1120.000000	76.127869	6.9487
1150.000000	75.829597	5.2991
1180.000000	75.271080	5.4568
1220.000000	75.001808	7.1871
1250.000000	74.772217	4.3557
1280.000000	73.635101	6.1062
1320.000000	73.023659	14.1679
1360.000000	72.916580	16.5779
1400.000000	72.828568	24.7415
1450.000000	73.805092	28.5293
1500.000000	73.837296	29.0679
1550.000000	73.624184	32.4764
1600.000000	74.212303	34.1000
1650.000000	74.018494	31.8213
1700.000000	73.690994	37.2237
1750.000000	74.081932	43.2556
1800.000000	74.909180	47.0939
1850.000000	75.425308	46.7536
1900.000000	76.195671	48.3792
1950.000000	76.651497	47.3243
2000.000000	77.317055	46.5085
2060.000000	78.187508	44.3293
2120.000000	78.329407	42.1959
2180.000000	79.108719	39.0552
2240.000000	79.501968	36.4575
2300.000000	79.720085	32.7865
2360.000000	79.854111	32.3753
2430.000000	80.214333	29.5950
2500.000000	80.933937	26.3153
2580.000000	80.756493	22.6832
2650.000000	80.630386	16.4490
2720.000000	80.165436	18.4226
2800.000000	80.096443	19.0037
2900.000000	80.192749	22.0794
3000.000000	80.725922	21.0065
3070.000000	80.985245	23.5201
3150.000000	81.282913	19.0747
3250.000000	80.988983	17.7069
3350.000000	80.657684	18.5454
3450.000000	80.183044	23.3660
3550.000000	80.799484	30.7674
3650.000000	81.299835	26.8772
3750.000000	80.360626	31.0191
3870.000000	80.180565	34.0435
4000.000000	85.504539	56.9672
4120.000000	85.404686	30.8142
4250.000000	84.140228	29.3687
4370.000000	84.134933	28.4287
4500.000000	84.706879	26.6707
4620.000000	83.850426	22.4040
4750.000000	83.347099	22.5708
4870.000000	82.714302	23.1884
5000.000000	82.384293	27.1469
5150.000000	82.137085	29.2015
5300.000000	81.898193	32.9673
5450.000000	81.899582	37.0442
5600.000000	82.176643	40.8220
5800.000000	82.810287	44.2228
6000.000000	83.609528	41.8950
6150.000000	83.982567	38.1444
6300.000000	83.901573	32.2702
