* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 7, 2021 2:51:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hifiman HE6v2 no grill
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.328735	119.6911
20.600000	79.688019	115.2199
21.200001	79.979141	110.7587
21.799999	80.192810	106.4672
22.400000	80.356232	102.5270
23.000000	80.505920	98.7836
23.600000	80.625725	94.9656
24.299999	80.670563	90.5624
25.000000	80.640717	86.7441
25.799999	80.634949	82.9900
26.500000	80.660202	79.6969
27.200001	80.674759	76.3409
28.000000	80.663330	72.4128
29.000000	80.500320	67.6533
30.000000	80.254753	64.5398
30.700001	80.210442	62.8859
31.500000	80.185921	60.6461
32.500000	80.068985	57.9807
33.500000	79.936707	55.7773
34.500000	79.807060	53.7592
35.500000	79.674683	51.8318
36.500000	79.533493	50.1835
37.500000	79.430084	48.7388
38.700001	79.307915	47.2455
40.000000	79.265564	45.8011
41.200001	79.206818	44.4036
42.500000	79.231133	43.2997
43.700001	79.236816	41.7309
45.000000	79.226921	40.0451
46.200001	79.186295	38.6987
47.500000	79.223030	37.0439
48.700001	79.144341	35.4133
50.000000	79.060257	34.0765
51.500000	78.929901	33.1268
53.000000	78.873039	32.2724
54.500000	78.876228	31.1790
56.000000	78.781792	30.0875
58.000000	78.700989	29.2190
60.000000	78.683853	28.2674
61.500000	78.606232	27.3342
63.000000	78.530800	26.6112
65.000000	78.458603	25.8323
67.000000	78.443634	25.4476
69.000000	78.380569	24.6664
71.000000	78.314316	23.4406
73.000000	77.839447	25.0255
75.000000	78.268715	23.0692
77.500000	78.204552	21.9934
80.000000	78.198395	21.5311
82.500000	78.091522	21.1095
85.000000	78.050018	20.6436
87.500000	77.996605	19.8640
90.000000	77.923706	19.7906
92.500000	77.937386	19.4005
95.000000	77.874390	18.8315
97.500000	77.817032	18.5151
100.000000	77.772331	18.4075
103.000000	77.761337	18.1848
106.000000	77.745453	17.8544
109.000000	77.722580	17.5748
112.000000	77.709297	17.3074
115.000000	77.705956	17.0975
118.000000	77.687141	16.9435
122.000000	77.644203	16.7451
125.000000	77.572624	16.4708
128.000000	77.534370	16.3036
132.000000	77.501083	16.3640
136.000000	77.455292	16.6499
140.000000	77.452400	17.1373
145.000000	77.383255	17.1825
150.000000	77.506325	17.5576
155.000000	77.578979	17.8767
160.000000	77.623337	17.7005
165.000000	77.627029	17.5462
170.000000	77.649590	17.5613
175.000000	77.663734	17.6004
180.000000	77.660889	17.7406
185.000000	77.671318	18.1096
190.000000	77.706436	18.3915
195.000000	77.757950	18.6260
200.000000	77.832397	18.7913
206.000000	77.921104	18.7480
212.000000	77.982964	18.6352
218.000000	78.023109	18.5481
224.000000	78.062943	18.3640
230.000000	78.130142	18.5581
236.000000	78.156441	18.3671
243.000000	78.166832	18.1584
250.000000	78.214996	18.0343
258.000000	78.251488	18.0140
265.000000	78.289925	17.8978
272.000000	78.320946	17.6576
280.000000	78.314926	17.5054
290.000000	78.296753	17.4521
300.000000	78.303398	17.5459
307.000000	78.291069	17.7150
315.000000	78.281723	17.9580
325.000000	78.316910	18.3508
335.000000	78.329788	18.6846
345.000000	78.393173	19.2632
355.000000	78.441368	19.4106
365.000000	78.494141	19.7640
375.000000	78.546852	20.4760
387.000000	78.690300	20.6947
400.000000	78.812965	20.8094
412.000000	78.948227	20.7687
425.000000	79.074455	20.3429
437.000000	79.124763	19.9929
450.000000	79.174240	19.5062
462.000000	79.193169	19.5271
475.000000	79.254044	19.0862
487.000000	79.223297	18.6804
500.000000	79.170799	18.6938
515.000000	79.138329	19.0800
530.000000	79.172104	19.8138
545.000000	79.277748	20.1932
560.000000	79.416397	20.4294
580.000000	79.586372	19.2339
600.000000	79.484863	18.0215
615.000000	79.336540	17.8939
630.000000	79.222137	18.4259
650.000000	79.096817	19.5614
670.000000	79.142456	21.0919
690.000000	79.303490	22.0286
710.000000	79.439163	22.0318
730.000000	79.518219	21.9414
750.000000	79.505508	21.6560
775.000000	79.495705	23.0816
800.000000	79.699341	23.4428
825.000000	79.861755	22.1470
850.000000	79.686890	22.0337
875.000000	79.632263	22.9219
900.000000	79.701027	23.6731
925.000000	79.767342	24.6863
950.000000	79.865593	24.9175
975.000000	80.216270	25.6771
1000.000000	80.429665	23.6014
1030.000000	80.373291	20.7030
1060.000000	79.870926	20.3533
1090.000000	79.760162	22.0095
1120.000000	79.763733	22.5726
1150.000000	79.812096	21.7941
1180.000000	79.423332	22.2585
1220.000000	79.206993	25.4258
1250.000000	79.384995	27.0073
1280.000000	79.596794	26.5470
1320.000000	79.392548	25.7541
1360.000000	79.188545	29.3151
1400.000000	79.776970	30.1558
1450.000000	79.557541	28.1333
1500.000000	79.209404	28.1926
1550.000000	78.540573	32.3870
1600.000000	78.379196	38.0028
1650.000000	79.110535	43.6602
1700.000000	79.643112	45.5473
1750.000000	80.119141	44.8529
1800.000000	80.351982	45.8528
1850.000000	80.763657	44.9404
1900.000000	81.067986	44.7970
1950.000000	81.188828	45.8508
2000.000000	81.887245	47.5005
2060.000000	82.412849	46.3127
2120.000000	83.337280	44.6039
2180.000000	83.892357	43.0763
2240.000000	84.487900	38.1804
2300.000000	84.661171	34.7459
2360.000000	84.877838	32.3424
2430.000000	85.261215	30.6201
2500.000000	85.266190	27.6920
2580.000000	85.637047	23.8245
2650.000000	85.685188	21.2428
2720.000000	85.762451	20.2510
2800.000000	85.837646	20.3362
2900.000000	85.928177	17.4398
3000.000000	85.821518	20.1053
3070.000000	86.727692	20.1151
3150.000000	87.138161	16.8067
3250.000000	87.064362	15.9170
3350.000000	86.901276	14.2640
3450.000000	86.701157	15.5884
3550.000000	86.950027	22.9937
3650.000000	89.182983	23.2006
3750.000000	89.119247	12.0852
3870.000000	88.361908	11.0496
4000.000000	88.315674	9.7242
4120.000000	87.641960	10.6920
4250.000000	87.610619	14.4633
4370.000000	86.481468	10.9687
4500.000000	86.637993	28.8222
4620.000000	87.805328	21.5477
4750.000000	84.716209	30.0076
4870.000000	89.461861	42.0069
5000.000000	90.554253	23.8630
5150.000000	88.493889	15.0928
5300.000000	87.920242	17.0123
5450.000000	87.129234	19.4570
5600.000000	87.070480	18.3860
5800.000000	86.380959	18.3925
6000.000000	86.272224	17.1590
6150.000000	85.750107	14.9268
6300.000000	85.221786	12.2410
