* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 5, 2021 7:09:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Jan 5
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	76.229271	64.2087
20.600000	76.328888	62.9760
21.200001	76.417603	61.5394
21.799999	76.465263	60.0667
22.400000	76.481171	58.8233
23.000000	76.499710	57.9381
23.600000	76.575401	57.3396
24.299999	76.779266	56.2538
25.000000	76.954254	53.8593
25.799999	76.832703	50.8236
26.500000	76.591721	50.1014
27.200001	76.584229	50.4754
28.000000	76.749252	49.4289
29.000000	76.673210	47.0417
30.000000	76.500443	46.3362
30.700001	76.520500	46.1812
31.500000	76.620651	45.5686
32.500000	76.707245	44.0462
33.500000	76.684608	42.8301
34.500000	76.728035	42.2038
35.500000	76.793671	41.2601
36.500000	76.824547	40.6245
37.500000	76.899597	40.0189
38.700001	76.950607	39.1254
40.000000	76.996292	37.9476
41.200001	76.990875	37.0209
42.500000	77.080963	36.0150
43.700001	77.071579	34.8139
45.000000	77.172386	34.1260
46.200001	77.192955	32.5507
47.500000	77.142242	32.0780
48.700001	77.138428	31.7713
50.000000	77.274101	31.3549
51.500000	77.198013	29.8085
53.000000	77.287811	28.9022
54.500000	77.173843	27.9865
56.000000	77.225891	27.3077
58.000000	77.304810	26.6529
60.000000	77.223587	25.9806
61.500000	77.249756	25.3202
63.000000	77.199326	25.1205
65.000000	77.277679	24.6464
67.000000	77.294548	24.0422
69.000000	77.248947	23.4042
71.000000	77.264297	22.8956
73.000000	77.271164	22.4299
75.000000	77.276840	21.8411
77.500000	77.272018	21.4577
80.000000	77.231018	20.7717
82.500000	77.208740	20.5343
85.000000	77.198204	20.3390
87.500000	77.186424	19.9413
90.000000	77.204178	19.4543
92.500000	77.199791	19.1135
95.000000	77.148857	19.2096
97.500000	77.179565	18.9351
100.000000	77.154678	18.1779
103.000000	77.187263	17.9772
106.000000	77.228111	17.5215
109.000000	77.234787	17.2775
112.000000	77.190216	16.8771
115.000000	77.198380	16.3636
118.000000	77.187492	16.0736
122.000000	77.217972	15.8694
125.000000	77.181534	15.6173
128.000000	77.165039	15.6172
132.000000	77.169983	15.4402
136.000000	77.149345	15.2640
140.000000	77.132446	15.0948
145.000000	77.085365	14.7937
150.000000	77.043373	14.8027
155.000000	76.995331	15.0021
160.000000	76.970253	15.2635
165.000000	76.942734	15.6921
170.000000	76.930183	15.9550
175.000000	76.893959	16.2119
180.000000	76.967468	17.0448
185.000000	77.017578	17.5244
190.000000	77.108315	18.0582
195.000000	77.222748	18.3937
200.000000	77.347549	18.3036
206.000000	77.425781	18.3503
212.000000	77.499496	17.8762
218.000000	77.530785	17.7537
224.000000	77.573120	17.5684
230.000000	77.603378	17.5032
236.000000	77.613754	17.4608
243.000000	77.637985	17.6394
