* Measurement data measured by REW V5.20 Beta 59
* Source: C:\Users\ahngu\OneDrive\Headphones\House Curves\Harman2018.txt
* Format: Comma/Tab/Space delimited data
* Dated: Sep 1, 2018 8:45:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Harman2018
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.570000	0
20.600000	83.638695	0
21.200001	83.704025	0
21.799999	83.765320	0
22.400000	83.821182	0
23.000000	83.869919	0
23.600000	83.909073	0
24.299999	83.945175	0
25.000000	83.971809	0
25.799999	83.991631	0
26.500000	84.000183	0
27.200001	83.999138	0
28.000000	83.993217	0
29.000000	83.988205	0
30.000000	83.983284	0
30.700001	83.975502	0
31.500000	83.961517	0
32.500000	83.941986	0
33.500000	83.923798	0
34.500000	83.906982	0
35.500000	83.893494	0
36.500000	83.882111	0
37.500000	83.869766	0
38.700001	83.853073	0
40.000000	83.824997	0
41.200001	83.777908	0
42.500000	83.717697	0
43.700001	83.665977	0
45.000000	83.616058	0
46.200001	83.570000	0
47.500000	83.516731	0
48.700001	83.466148	0
50.000000	83.409538	0
51.500000	83.342232	0
53.000000	83.275299	0
54.500000	83.212273	0
56.000000	83.150055	0
58.000000	83.064903	0
60.000000	82.977371	0
61.500000	82.912094	0
63.000000	82.848106	0
65.000000	82.761589	0
67.000000	82.669922	0
69.000000	82.576462	0
71.000000	82.485474	0
73.000000	82.398369	0
75.000000	82.312782	0
77.500000	82.208565	0
80.000000	82.102379	0
82.500000	81.987053	0
85.000000	81.866501	0
87.500000	81.747444	0
90.000000	81.632004	0
92.500000	81.515541	0
95.000000	81.394211	0
97.500000	81.270935	0
100.000000	81.147530	0
103.000000	81.001053	0
106.000000	80.855362	0
109.000000	80.710175	0
112.000000	80.566223	0
115.000000	80.423836	0
118.000000	80.282562	0
122.000000	80.101486	0
125.000000	79.974403	0
128.000000	79.854538	0
132.000000	79.705551	0
136.000000	79.570465	0
140.000000	79.443787	0
145.000000	79.290443	0
150.000000	79.145660	0
155.000000	79.014969	0
160.000000	78.893097	0
165.000000	78.771866	0
170.000000	78.651512	0
175.000000	78.535858	0
180.000000	78.425789	0
185.000000	78.327209	0
190.000000	78.246231	0
195.000000	78.181305	0
200.000000	78.130035	0
206.000000	78.086288	0
212.000000	78.057838	0
218.000000	78.041718	0
224.000000	78.036179	0
230.000000	78.040138	0
236.000000	78.053726	0
243.000000	78.076553	0
250.000000	78.101303	0
258.000000	78.131294	0
265.000000	78.163162	0
272.000000	78.202774	0
280.000000	78.255020	0
290.000000	78.332703	0
300.000000	78.416809	0
307.000000	78.472786	0
315.000000	78.531609	0
325.000000	78.603271	0
335.000000	78.679352	0
345.000000	78.750778	0
355.000000	78.809052	0
365.000000	78.854156	0
375.000000	78.890762	0
387.000000	78.925385	0
400.000000	78.955994	0
412.000000	78.983101	0
425.000000	79.009415	0
437.000000	79.026459	0
450.000000	79.040863	0
462.000000	79.060089	0
475.000000	79.100800	0
487.000000	79.145782	0
500.000000	79.199120	0
515.000000	79.262787	0
530.000000	79.325104	0
545.000000	79.379478	0
560.000000	79.429565	0
580.000000	79.491615	0
600.000000	79.549759	0
615.000000	79.592773	0
630.000000	79.636848	0
650.000000	79.688866	0
670.000000	79.721794	0
690.000000	79.745583	0
710.000000	79.774719	0
730.000000	79.812675	0
750.000000	79.845810	0
775.000000	79.863884	0
800.000000	79.869583	0
825.000000	79.870270	0
850.000000	79.869690	0
875.000000	79.870758	0
900.000000	79.876091	0
925.000000	79.887840	0
950.000000	79.907356	0
975.000000	79.937004	0
1000.000000	79.979904	0
1030.000000	80.053589	0
1060.000000	80.138237	0
1090.000000	80.224068	0
1120.000000	80.313202	0
1150.000000	80.407585	0
1180.000000	80.507233	0
1220.000000	80.652206	0
1250.000000	80.773155	0
1280.000000	80.903450	0
1320.000000	81.090111	0
1360.000000	81.292709	0
1400.000000	81.502029	0
1450.000000	81.760178	0
1500.000000	82.021126	0
1550.000000	82.291870	0
1600.000000	82.572174	0
1650.000000	82.858566	0
1700.000000	83.154488	0
1750.000000	83.470207	0
1800.000000	83.814690	0
1850.000000	84.164009	0
1900.000000	84.503853	0
1950.000000	84.832382	0
2000.000000	85.149704	0
2060.000000	85.513351	0
2120.000000	85.856079	0
2180.000000	86.173416	0
2240.000000	86.467201	0
2300.000000	86.742157	0
2360.000000	87.007401	0
2430.000000	87.289391	0
2500.000000	87.530670	0
2580.000000	87.757202	0
2650.000000	87.922844	0
2720.000000	88.060059	0
2800.000000	88.195526	0
2900.000000	88.354248	0
3000.000000	88.498589	0
3070.000000	88.586731	0
3150.000000	88.672729	0
3250.000000	88.753868	0
3350.000000	88.799225	0
3450.000000	88.813278	0
3550.000000	88.799019	0
3650.000000	88.757347	0
3750.000000	88.688080	0
3870.000000	88.568222	0
4000.000000	88.397675	0
4120.000000	88.203224	0
4250.000000	87.959908	0
4370.000000	87.703354	0
4500.000000	87.403923	0
4620.000000	87.131363	0
4750.000000	86.868431	0
4870.000000	86.641457	0
5000.000000	86.408096	0
5150.000000	86.154152	0
5300.000000	85.926971	0
5450.000000	85.749062	0
5600.000000	85.589684	0
5800.000000	85.369156	0
6000.000000	85.134979	0
6150.000000	84.966469	0
6300.000000	84.811218	0
6500.000000	84.589287	0
6700.000000	84.309479	0
6900.000000	84.000633	0
7100.000000	83.699570	0
7300.000000	83.419029	0
7500.000000	83.141716	0
7750.000000	82.793610	0
8000.000000	82.437943	0
8250.000000	82.059669	0
8500.000000	81.672005	0
8750.000000	81.299652	0
9000.000000	80.948402	0
9250.000000	80.589470	0
9500.000000	80.192406	0
9750.000000	79.780083	0
10000.000000	79.367287	0
10300.000000	78.888741	0
10600.000000	78.401917	0
10900.000000	77.897667	0
11200.000000	77.370605	0
11500.000000	76.809601	0
11800.000000	76.195244	0
12200.000000	75.382324	0
12500.000000	74.812424	0
12800.000000	74.287964	0
13200.000000	73.674461	0
13600.000000	73.191452	0
14000.000000	72.802109	0
14500.000000	72.453186	0
15000.000000	72.178291	0
15500.000000	71.930717	0
16000.000000	71.615799	0
16500.000000	71.142242	0
17000.000000	70.456108	0
17500.000000	69.488113	0
18000.000000	68.153450	0
18500.000000	66.713318	0
19000.000000	64.697029	0
19500.000000	62.221001	0
20000.000000	59.756840	0
