* Measurement data measured by REW V5.20 Beta 59
* Source: C:\Users\ahngu\OneDrive\Headphones\House Curves\DF_2013.txt
* Format: Comma/Tab/Space delimited data
* Dated: Sep 1, 2018 8:44:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Harman In-Room Comp
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.199997	0
20.600000	78.199997	0
21.200001	78.199997	0
21.799999	78.204025	0
22.400000	78.206360	0
23.000000	78.199158	0
23.600000	78.165176	0
24.299999	78.121506	0
25.000000	78.098511	0
25.799999	78.101196	0
26.500000	78.095238	0
27.200001	78.057396	0
28.000000	78.013718	0
29.000000	77.988602	0
30.000000	77.992363	0
30.700001	78.010300	0
31.500000	78.044693	0
32.500000	78.094803	0
33.500000	78.138275	0
34.500000	78.179657	0
35.500000	78.226974	0
36.500000	78.273430	0
37.500000	78.299713	0
38.700001	78.261475	0
40.000000	78.207413	0
41.200001	78.198875	0
42.500000	78.201599	0
43.700001	78.181725	0
45.000000	78.136978	0
46.200001	78.100113	0
47.500000	78.093620	0
48.700001	78.096291	0
50.000000	78.099998	0
51.500000	78.099998	0
53.000000	78.099998	0
54.500000	78.099998	0
56.000000	78.099998	0
58.000000	78.103912	0
60.000000	78.105591	0
61.500000	78.091957	0
63.000000	78.056473	0
65.000000	78.009651	0
67.000000	77.998711	0
69.000000	78.001541	0
71.000000	77.985367	0
73.000000	77.943771	0
75.000000	77.904968	0
77.500000	77.887947	0
80.000000	77.894547	0
82.500000	77.920425	0
85.000000	77.963699	0
87.500000	78.025887	0
90.000000	78.105347	0
92.500000	78.189880	0
95.000000	78.277252	0
97.500000	78.353561	0
100.000000	78.403008	0
103.000000	78.406319	0
106.000000	78.400391	0
109.000000	78.429222	0
112.000000	78.470947	0
115.000000	78.501259	0
118.000000	78.500488	0
122.000000	78.498672	0
125.000000	78.524979	0
128.000000	78.561188	0
132.000000	78.601105	0
136.000000	78.600220	0
140.000000	78.598572	0
145.000000	78.632652	0
150.000000	78.685577	0
155.000000	78.739792	0
160.000000	78.785095	0
165.000000	78.809265	0
170.000000	78.810966	0
175.000000	78.792252	0
180.000000	78.750778	0
185.000000	78.710228	0
190.000000	78.694366	0
195.000000	78.694763	0
200.000000	78.699913	0
206.000000	78.699997	0
212.000000	78.699997	0
218.000000	78.696342	0
224.000000	78.693634	0
230.000000	78.699997	0
236.000000	78.719971	0
243.000000	78.765579	0
250.000000	78.852554	0
258.000000	78.990471	0
265.000000	79.107224	0
272.000000	79.187653	0
280.000000	79.267242	0
290.000000	79.369759	0
300.000000	79.466667	0
307.000000	79.515472	0
315.000000	79.550751	0
325.000000	79.595184	0
335.000000	79.677338	0
345.000000	79.764320	0
355.000000	79.823929	0
365.000000	79.861115	0
375.000000	79.901482	0
387.000000	79.991730	0
400.000000	80.088036	0
412.000000	80.142159	0
425.000000	80.183434	0
437.000000	80.220139	0
450.000000	80.262215	0
462.000000	80.299980	0
475.000000	80.339737	0
487.000000	80.375481	0
500.000000	80.411064	0
515.000000	80.449181	0
530.000000	80.495506	0
545.000000	80.572426	0
560.000000	80.652824	0
580.000000	80.731453	0
600.000000	80.778404	0
615.000000	80.809746	0
630.000000	80.844360	0
650.000000	80.889221	0
670.000000	80.922958	0
690.000000	80.963882	0
710.000000	81.041779	0
730.000000	81.161194	0
750.000000	81.282692	0
775.000000	81.377518	0
800.000000	81.468567	0
825.000000	81.620674	0
850.000000	81.797440	0
875.000000	81.940643	0
900.000000	82.029381	0
925.000000	82.093018	0
950.000000	82.134338	0
975.000000	82.168900	0
1000.000000	82.211243	0
1030.000000	82.291641	0
1060.000000	82.378685	0
1090.000000	82.451088	0
1120.000000	82.525909	0
1150.000000	82.621971	0
1180.000000	82.756294	0
1220.000000	82.960930	0
1250.000000	83.122055	0
1280.000000	83.289703	0
1320.000000	83.523819	0
1360.000000	83.764656	0
1400.000000	84.024239	0
1450.000000	84.399803	0
1500.000000	84.797493	0
1550.000000	85.177368	0
1600.000000	85.541138	0
1650.000000	85.890091	0
1700.000000	86.230133	0
1750.000000	86.574722	0
1800.000000	86.934456	0
1850.000000	87.292229	0
1900.000000	87.625809	0
1950.000000	87.954216	0
2000.000000	88.300514	0
2060.000000	88.783043	0
2120.000000	89.289703	0
2180.000000	89.818642	0
2240.000000	90.337585	0
2300.000000	90.801422	0
2360.000000	91.129120	0
2430.000000	91.449188	0
2500.000000	91.770752	0
2580.000000	92.144257	0
2650.000000	92.416374	0
2720.000000	92.588211	0
2800.000000	92.740311	0
2900.000000	92.949371	0
3000.000000	93.142838	0
3070.000000	93.224258	0
3150.000000	93.249985	0
3250.000000	93.208000	0
3350.000000	93.074280	0
3450.000000	92.891190	0
3550.000000	92.697136	0
3650.000000	92.501099	0
3750.000000	92.294914	0
3870.000000	92.030304	0
4000.000000	91.740944	0
4120.000000	91.485741	0
4250.000000	91.218597	0
4370.000000	90.979156	0
4500.000000	90.727089	0
4620.000000	90.500420	0
4750.000000	90.251045	0
4870.000000	90.036797	0
5000.000000	89.840210	0
5150.000000	89.666054	0
5300.000000	89.512444	0
5450.000000	89.353363	0
5600.000000	89.197708	0
5800.000000	89.000549	0
6000.000000	88.807686	0
6150.000000	88.653671	0
6300.000000	88.484474	0
6500.000000	88.255913	0
6700.000000	88.056404	0
6900.000000	87.848190	0
7100.000000	87.574913	0
7300.000000	87.224136	0
7500.000000	86.855370	0
7750.000000	86.423019	0
8000.000000	86.015587	0
8250.000000	85.642448	0
8500.000000	85.301155	0
8750.000000	84.994682	0
9000.000000	84.717972	0
9250.000000	84.438629	0
9500.000000	84.134537	0
9750.000000	83.800262	0
10000.000000	83.424835	0
10300.000000	82.901581	0
10600.000000	82.341377	0
10900.000000	81.760971	0
11200.000000	81.174698	0
11500.000000	80.590347	0
11800.000000	80.008080	0
12200.000000	79.311501	0
12500.000000	78.937271	0
12800.000000	78.636284	0
13200.000000	78.257286	0
13600.000000	77.817619	0
14000.000000	77.339691	0
14500.000000	76.672646	0
15000.000000	75.913658	0
15500.000000	75.004837	0
16000.000000	74.031174	0
16500.000000	73.113434	0
17000.000000	72.260605	0
17500.000000	71.422569	0
18000.000000	70.578384	0
18500.000000	69.749405	0
19000.000000	69.069710	0
19500.000000	68.513481	0
20000.000000	68.020927	0
