* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630. Timing signal peak level -37.1 dBFS, measurement signal peak level -17.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: Oct 22, 2023 4:50:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1226 ms (-42 mm, -1.66 in) using estimated IR delay relative to Acoustic reference played from 512kMeasSweep_20_to_20000_48k_PCM24_LR_refL.wav with no timing offset Clock adjustment: -2.5 ppm
* Measurement: Heavys L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	82.575	-107.4198
21.200001	81.465	-102.8012
21.799999	82.400	-93.7081
22.400000	84.116	-95.5094
23.000000	84.642	-104.1386
23.600000	83.924	-109.2643
24.299999	83.345	-104.8356
25.000000	84.510	-100.9738
25.799999	85.425	-106.6226
26.500000	85.152	-113.7049
27.200001	84.996	-118.1088
28.000000	85.396	-119.8120
29.000000	85.436	-121.5818
30.000000	85.434	-122.5751
30.700001	85.677	-123.8835
31.500000	85.662	-127.0334
32.500000	85.621	-130.9448
33.500000	86.013	-134.8348
34.500000	85.827	-136.4280
35.500000	85.707	-137.5057
36.500000	85.787	-141.5521
37.500000	85.523	-143.3074
38.700001	85.469	-144.6628
40.000000	85.278	-146.7143
41.200001	85.131	-149.3060
42.500000	84.828	-149.5179
43.700001	84.747	-151.2924
45.000000	84.635	-151.8889
46.200001	84.632	-151.6536
47.500000	84.551	-151.6421
48.700001	84.445	-150.8105
50.000000	84.825	-151.2348
51.500000	83.366	-150.4595
53.000000	83.932	-148.5569
54.500000	85.722	-157.3287
56.000000	86.008	-153.1464
58.000000	86.519	-160.0385
60.000000	85.679	-163.1992
61.500000	86.023	-164.3280
63.000000	86.142	-166.4966
