* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 25, 2020 4:13:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KSC75 Yaxi
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	65.559654	-18.3595
21.200001	66.100624	-17.2944
21.799999	67.219887	-20.7745
22.400000	67.891922	-27.8723
23.000000	67.868843	-33.1041
23.600000	67.655685	-33.5951
24.299999	67.931999	-31.7366
25.000000	68.595123	-32.5618
25.799999	69.237289	-36.1589
26.500000	69.506905	-38.5263
27.200001	69.648254	-37.9276
28.000000	70.082695	-36.1827
29.000000	70.519165	-38.6114
30.000000	70.715363	-41.2257
30.700001	71.208694	-43.0781
31.500000	71.715637	-46.4742
32.500000	71.998779	-50.0638
33.500000	72.013916	-52.7140
34.500000	72.285721	-52.9544
35.500000	72.878204	-56.3109
36.500000	72.768387	-55.6934
37.500000	73.800400	-50.5065
38.700001	74.475502	-57.0631
40.000000	73.982643	-61.6500
41.200001	74.280518	-65.5618
42.500000	74.635475	-65.2261
43.700001	75.134621	-65.5727
45.000000	75.397392	-69.9670
46.200001	75.626633	-72.0295
47.500000	76.109398	-74.3985
48.700001	76.267914	-76.2466
50.000000	76.483490	-78.2279
51.500000	76.789551	-80.1368
53.000000	77.151596	-82.2509
54.500000	77.371735	-84.3266
56.000000	77.664932	-86.1417
58.000000	77.944412	-88.5453
60.000000	78.177307	-91.2568
61.500000	78.407944	-93.5119
63.000000	78.596138	-94.8271
65.000000	78.825302	-97.3263
67.000000	79.075439	-99.1250
69.000000	79.257393	-102.0169
71.000000	79.680084	-104.8334
73.000000	79.627090	-105.9459
75.000000	79.858749	-108.1907
77.500000	80.057701	-110.6588
80.000000	80.253464	-113.0759
82.500000	80.402267	-115.7532
85.000000	80.546265	-118.0579
87.500000	80.670822	-120.4029
90.000000	80.798004	-122.6968
92.500000	80.882973	-124.9485
95.000000	80.971771	-127.4468
97.500000	81.024040	-129.6577
100.000000	81.154732	-132.6318
103.000000	81.099678	-134.3180
106.000000	81.148438	-136.8770
109.000000	81.080719	-139.3933
112.000000	81.006584	-141.8692
115.000000	80.826591	-143.8559
118.000000	80.794617	-143.6949
122.000000	80.832405	-144.4029
125.000000	80.920593	-145.5270
128.000000	80.982101	-146.7420
132.000000	81.084007	-148.7397
136.000000	81.143219	-150.5839
140.000000	81.130257	-152.4021
145.000000	81.099785	-154.8043
150.000000	81.021523	-156.8877
155.000000	81.007248	-158.5643
160.000000	80.967056	-160.7030
165.000000	80.915916	-162.5262
170.000000	80.835983	-164.3281
175.000000	80.704460	-166.0191
180.000000	80.584908	-168.2251
185.000000	80.521484	-169.3489
190.000000	80.205643	-170.4944
195.000000	80.092636	-171.4605
200.000000	79.862663	-171.9750
206.000000	79.712090	-172.5812
212.000000	79.532509	-173.2298
218.000000	79.337753	-174.1364
224.000000	79.110397	-174.0252
230.000000	78.771149	-172.9803
236.000000	79.034912	-171.2525
243.000000	78.966629	-173.2590
250.000000	78.995628	-173.4084
258.000000	79.044037	-172.7574
265.000000	78.928986	-173.0860
272.000000	78.909447	-173.9896
280.000000	78.862068	-174.5663
290.000000	78.729927	-174.8835
300.000000	78.661163	-175.5807
307.000000	78.575218	-175.7690
315.000000	78.516655	-176.0941
325.000000	78.290764	-176.0223
335.000000	78.113586	-177.5760
345.000000	78.157639	-176.6227
355.000000	78.013130	-176.8958
365.000000	77.911217	-176.6620
375.000000	77.812164	-176.4019
387.000000	77.722748	-176.3029
400.000000	77.636360	-175.9502
412.000000	77.603745	-176.1862
425.000000	77.438881	-175.6869
437.000000	77.339439	-175.5194
450.000000	77.184891	-174.9549
462.000000	77.105644	-174.1699
475.000000	77.048958	-173.6293
487.000000	77.007545	-172.9968
500.000000	76.959183	-172.5006
515.000000	76.888451	-172.0503
530.000000	76.805679	-171.4266
545.000000	76.741798	-170.5478
560.000000	76.699814	-169.6228
580.000000	76.652847	-168.5625
600.000000	76.644012	-167.4740
615.000000	76.646324	-166.7591
630.000000	76.639793	-165.9887
650.000000	76.630936	-164.9442
670.000000	76.655434	-163.9399
690.000000	76.644379	-163.2034
710.000000	76.669540	-162.3276
730.000000	76.683807	-161.4082
750.000000	76.699905	-160.5691
775.000000	76.730301	-159.5431
800.000000	76.754936	-158.6688
825.000000	76.782257	-157.5641
850.000000	76.850334	-156.4333
875.000000	76.914879	-155.6497
900.000000	76.958954	-154.8231
925.000000	77.001625	-154.0571
950.000000	77.055313	-153.2029
975.000000	77.124817	-152.5350
1000.000000	77.142532	-151.9218
1030.000000	77.200142	-150.8862
1060.000000	77.213554	-150.0057
1090.000000	77.237541	-148.8780
1120.000000	77.278282	-147.8506
1150.000000	77.318375	-146.5575
1180.000000	77.339119	-145.1776
1220.000000	77.496208	-143.2177
1250.000000	77.622475	-141.9936
1280.000000	77.748222	-140.8638
1320.000000	77.914398	-139.0899
1360.000000	78.202370	-137.1459
1400.000000	78.531494	-136.0569
1450.000000	78.873611	-135.0923
1500.000000	79.293533	-134.6328
1550.000000	79.581421	-134.9499
1600.000000	79.711258	-134.1382
1650.000000	80.050209	-134.2080
1700.000000	80.188370	-133.3583
1750.000000	80.684868	-132.2280
1800.000000	81.236206	-133.0845
1850.000000	81.648735	-133.6926
1900.000000	82.177322	-135.3897
1950.000000	82.608086	-138.0511
2000.000000	83.025124	-139.2011
2060.000000	83.574539	-143.5499
2120.000000	83.919151	-145.9301
2180.000000	84.232483	-150.7271
2240.000000	84.505531	-153.4366
2300.000000	84.666939	-157.3661
