* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Feb 12, 2023 6:28:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Momentum 4 EQ L
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	86.388	-113.6148
21.200001	86.606	-116.8380
21.799999	86.799	-119.8066
22.400000	86.965	-122.2824
23.000000	87.124	-124.6821
23.600000	87.291	-127.3366
24.299999	87.510	-130.6469
25.000000	87.732	-133.9163
25.799999	87.936	-137.6043
26.500000	88.062	-140.7722
27.200001	88.172	-143.7231
28.000000	88.293	-146.8995
29.000000	88.422	-150.9151
30.000000	88.537	-154.8139
30.700001	88.610	-157.3911
31.500000	88.686	-160.3021
32.500000	88.775	-163.9698
33.500000	88.846	-167.5307
34.500000	88.904	-170.8441
35.500000	88.942	-174.1317
36.500000	88.946	-177.5115
37.500000	88.930	179.1831
38.700001	88.900	175.4152
40.000000	88.885	171.6229
41.200001	88.859	168.0655
42.500000	88.805	164.3173
43.700001	88.726	161.0917
45.000000	88.611	157.8411
46.200001	88.512	154.8582
47.500000	88.407	151.7589
48.700001	88.303	149.0146
50.000000	88.190	146.0280
51.500000	88.061	142.7819
53.000000	87.856	139.5593
54.500000	87.645	136.4843
56.000000	87.424	133.5311
58.000000	87.118	129.8775
60.000000	86.807	126.5482
61.500000	86.603	124.2615
63.000000	86.373	122.0212
65.000000	86.012	119.3459
67.000000	85.643	117.1186
69.000000	85.285	115.2698
71.000000	84.979	113.9378
73.000000	84.756	112.7584
75.000000	84.585	111.4705
77.500000	84.422	109.5178
80.000000	84.185	107.2939
82.500000	83.908	105.1362
85.000000	83.618	103.3521
87.500000	83.316	101.9571
90.000000	83.071	100.8582
92.500000	82.868	99.8529
95.000000	82.668	98.8627
97.500000	82.494	97.8434
100.000000	82.321	96.8928
103.000000	82.122	95.8914
106.000000	81.958	94.9476
109.000000	81.825	94.1750
112.000000	81.735	93.3442
115.000000	81.654	92.4342
118.000000	81.572	91.6617
122.000000	81.520	90.6741
125.000000	81.526	89.7344
128.000000	81.546	88.4378
132.000000	81.561	86.3549
136.000000	81.525	84.2559
140.000000	81.469	82.3034
145.000000	81.379	79.9675
150.000000	81.299	77.6276
155.000000	81.210	75.2852
160.000000	81.107	72.9260
165.000000	81.002	70.6179
170.000000	80.871	68.4633
175.000000	80.734	66.5705
180.000000	80.628	64.9233
185.000000	80.533	63.2784
190.000000	80.443	61.6935
195.000000	80.358	60.2446
200.000000	80.286	58.9160
206.000000	80.233	57.4871
212.000000	80.224	56.0689
218.000000	80.240	54.8089
