* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 512k Log Swept Sine, 1 sweep with no timing reference
* Dated: Nov 6, 2020 1:03:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AKG N700NC MK2 BT
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	89.838242	-172.7638
21.200001	89.796455	-175.3593
21.799999	89.755287	-177.4135
22.400000	89.663940	-179.8600
23.000000	89.638908	177.7642
23.600000	89.584167	176.3543
24.299999	89.405487	174.2540
25.000000	89.329483	171.5010
25.799999	89.208206	169.4977
26.500000	89.053658	167.8690
27.200001	88.972252	166.3282
28.000000	88.820534	164.6691
29.000000	88.661194	161.8091
30.000000	88.591309	159.7382
30.700001	88.495560	158.2676
31.500000	88.389709	156.5597
32.500000	88.290382	154.3401
33.500000	88.211929	152.8156
34.500000	88.116928	150.9153
35.500000	88.018951	149.2006
36.500000	87.936783	147.5005
37.500000	87.841202	145.6683
38.700001	87.702950	144.1189
40.000000	87.607780	141.9702
41.200001	87.568344	140.4723
42.500000	87.457291	139.2296
43.700001	87.406067	137.3353
45.000000	87.367966	135.7222
46.200001	87.353477	134.1847
47.500000	87.334946	132.1093
48.700001	87.233574	131.0042
50.000000	87.259148	129.4434
51.500000	87.093010	127.3131
53.000000	86.982521	125.8900
54.500000	86.851143	124.7864
56.000000	86.726105	123.0903
58.000000	86.640167	121.1974
60.000000	86.612144	119.1567
61.500000	86.515564	117.8681
63.000000	86.416260	116.2762
65.000000	86.331009	115.2664
67.000000	86.125427	114.0436
69.000000	85.890495	112.3596
71.000000	85.802643	111.5799
73.000000	85.691322	110.1893
75.000000	85.528992	109.5633
77.500000	85.354576	107.9431
80.000000	85.319092	107.0886
82.500000	85.169624	106.4230
85.000000	84.974556	105.3312
87.500000	85.020439	104.7094
90.000000	84.829369	102.9632
92.500000	84.851959	103.6049
95.000000	84.718079	101.8899
97.500000	84.665878	101.8692
100.000000	84.523872	101.6418
103.000000	84.380623	100.6752
106.000000	84.376312	99.3572
109.000000	84.261971	99.0449
112.000000	84.288406	97.9041
115.000000	84.192039	97.0547
118.000000	84.089981	96.4044
122.000000	84.014648	94.4015
125.000000	83.884277	93.2014
128.000000	83.587502	91.6199
132.000000	83.148468	90.3911
136.000000	82.682495	90.9277
140.000000	82.359192	91.1036
145.000000	81.847977	93.1677
150.000000	81.590637	94.6148
155.000000	81.361572	96.6535
160.000000	81.081451	99.3094
165.000000	80.905464	101.5342
170.000000	80.743744	103.4225
175.000000	80.732086	106.2802
180.000000	80.480331	108.6388
185.000000	80.518829	112.0182
190.000000	80.587486	114.5751
195.000000	80.635208	117.3909
