* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -28.8 dBFS, measurement signal peak level -25.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -3.0 dBFS using an acoustic timing reference
* Dated: Jun 28, 2023 3:23:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0240 ms (-8.2 mm, -0.32 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 4.9 ppm
* Measurement: NAN-6 L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	80.431	-120.4557
21.200001	80.713	-123.0872
21.799999	80.713	-123.4321
22.400000	80.554	-123.3449
23.000000	80.509	-124.3565
23.600000	80.561	-124.7456
24.299999	80.546	-123.2765
25.000000	80.583	-123.3658
25.799999	80.779	-126.6565
26.500000	80.717	-128.0763
27.200001	80.494	-128.4723
28.000000	80.564	-130.6052
29.000000	80.823	-132.1250
30.000000	80.865	-132.7346
30.700001	80.858	-134.4344
31.500000	80.783	-135.4494
32.500000	80.804	-135.3036
33.500000	80.839	-136.9115
34.500000	80.888	-137.6598
35.500000	80.817	-138.0347
36.500000	80.582	-139.9751
37.500000	80.752	-140.2194
38.700001	80.949	-141.4229
40.000000	81.004	-141.9680
41.200001	81.113	-142.7417
42.500000	81.173	-143.4464
43.700001	81.184	-145.4249
45.000000	81.181	-145.7646
46.200001	81.284	-146.3190
47.500000	81.223	-147.6950
48.700001	81.180	-148.0031
50.000000	81.155	-148.3777
51.500000	81.245	-149.6921
53.000000	81.327	-150.2995
54.500000	81.276	-151.0597
56.000000	81.283	-152.0278
58.000000	81.224	-152.9325
60.000000	81.364	-153.5558
61.500000	81.248	-154.1413
63.000000	81.281	-154.9867
65.000000	81.259	-155.2031
67.000000	81.197	-156.0251
69.000000	81.194	-156.2897
71.000000	81.203	-156.9050
73.000000	81.226	-157.3429
75.000000	81.165	-157.5448
77.500000	81.114	-158.2660
80.000000	81.185	-158.5948
82.500000	81.211	-159.0001
85.000000	81.192	-159.4018
87.500000	81.176	-159.8174
90.000000	81.214	-160.1308
92.500000	81.231	-160.4935
95.000000	81.206	-161.0703
97.500000	81.177	-161.4990
100.000000	81.220	-161.7324
103.000000	81.184	-162.0454
106.000000	81.227	-162.2898
109.000000	81.191	-162.4670
112.000000	81.217	-162.7198
115.000000	81.194	-162.8968
118.000000	81.197	-163.4826
122.000000	81.218	-163.6365
125.000000	81.221	-163.5619
128.000000	81.226	-163.7303
132.000000	81.243	-163.5487
136.000000	81.293	-163.7478
140.000000	81.336	-163.8942
145.000000	81.361	-164.1315
150.000000	81.328	-164.3314
155.000000	81.442	-164.4253
160.000000	81.467	-164.5526
165.000000	81.514	-164.8223
170.000000	81.540	-165.1137
175.000000	81.564	-165.3329
180.000000	81.596	-165.5640
185.000000	81.607	-165.6523
190.000000	81.641	-165.8177
195.000000	81.671	-165.9781
200.000000	81.725	-166.1019
206.000000	81.756	-166.4859
212.000000	81.827	-166.8565
218.000000	81.841	-167.4843
224.000000	81.855	-168.3375
230.000000	81.782	-169.0936
236.000000	81.641	-169.4114
243.000000	81.521	-169.1404
250.000000	81.486	-168.3370
258.000000	81.483	-168.0362
265.000000	81.524	-167.5705
272.000000	81.578	-167.5388
280.000000	81.659	-167.7699
290.000000	81.647	-168.3828
300.000000	81.537	-168.7563
307.000000	81.436	-168.4571
315.000000	81.368	-167.9224
325.000000	81.337	-166.8042
335.000000	81.375	-165.7566
345.000000	81.477	-165.2511
355.000000	81.564	-164.8282
365.000000	81.664	-164.3701
375.000000	81.774	-164.1974
387.000000	81.909	-164.2086
400.000000	82.035	-164.4831
412.000000	82.115	-165.0806
425.000000	82.152	-166.0079
437.000000	82.080	-166.4392
450.000000	81.990	-166.3332
462.000000	81.948	-165.8643
475.000000	82.021	-165.4557
487.000000	82.092	-165.8296
500.000000	81.990	-166.4777
515.000000	81.746	-165.5324
530.000000	81.706	-163.3938
545.000000	81.886	-161.7881
560.000000	82.084	-160.8972
580.000000	82.359	-160.2651
600.000000	82.678	-160.4650
615.000000	82.886	-161.0025
630.000000	83.018	-162.7516
650.000000	82.892	-164.1091
670.000000	82.732	-164.2610
690.000000	82.736	-162.9443
710.000000	82.948	-162.7103
730.000000	83.199	-164.1583
750.000000	83.067	-167.0150
775.000000	82.430	-167.0085
800.000000	82.264	-163.5538
825.000000	82.440	-161.3866
850.000000	82.681	-160.8889
875.000000	82.779	-160.7187
900.000000	82.949	-159.6065
925.000000	83.203	-159.5742
950.000000	83.465	-160.0271
975.000000	83.722	-160.9725
1000.000000	84.004	-163.5395
1030.000000	83.901	-168.9158
1060.000000	83.027	-170.2801
1090.000000	82.675	-168.6972
1120.000000	82.198	-167.2882
1150.000000	82.253	-162.7577
1180.000000	82.559	-163.0575
1220.000000	82.580	-162.9944
1250.000000	82.348	-164.2170
1280.000000	82.135	-161.4060
1320.000000	82.308	-159.6082
1360.000000	82.405	-160.6227
1400.000000	82.489	-159.6957
1450.000000	82.044	-162.2032
1500.000000	81.671	-157.9131
1550.000000	81.343	-157.8871
1600.000000	81.023	-149.2430
1650.000000	81.718	-145.2172
1700.000000	82.281	-141.9205
1750.000000	83.226	-145.0950
1800.000000	82.985	-146.4612
1850.000000	83.263	-145.8445
1900.000000	83.312	-145.3610
1950.000000	83.633	-144.4929
2000.000000	83.346	-142.4268
2060.000000	85.073	-137.3681
2120.000000	85.783	-142.5318
2180.000000	86.327	-148.1334
2240.000000	86.400	-150.0835
2300.000000	86.747	-152.8443
2360.000000	86.852	-152.3761
2430.000000	87.616	-157.6437
2500.000000	88.165	-154.4266
2580.000000	88.331	-167.9494
2650.000000	88.097	-171.2657
2720.000000	86.973	-174.2936
2800.000000	86.258	-171.5417
2900.000000	86.957	-160.7747
3000.000000	84.868	-156.8919
