* Measurement data measured by REW V5.20
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Rognir L1, Rognir L2, Rognir L3, Rognir L4
* Dated: Oct 8, 2021 5:40:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rognir L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	79.867149	0
21.200001	80.023064	0
21.799999	80.150787	0
22.400000	80.226776	0
23.000000	80.299110	0
23.600000	80.416351	0
24.299999	80.573807	0
25.000000	80.675400	0
25.799999	80.728546	0
26.500000	80.795151	0
27.200001	80.900970	0
28.000000	81.030014	0
29.000000	81.165909	0
30.000000	81.302284	0
30.700001	81.401360	0
31.500000	81.484055	0
32.500000	81.542252	0
33.500000	81.610237	0
34.500000	81.674255	0
35.500000	81.715858	0
36.500000	81.770744	0
37.500000	81.835487	0
38.700001	81.880165	0
40.000000	81.929405	0
41.200001	81.972008	0
42.500000	82.015808	0
43.700001	82.029221	0
45.000000	82.040581	0
46.200001	82.078720	0
47.500000	82.116302	0
48.700001	82.133965	0
50.000000	82.196373	0
51.500000	82.276718	0
53.000000	82.362740	0
54.500000	82.462906	0
56.000000	82.541954	0
58.000000	82.571617	0
60.000000	82.644791	0
61.500000	82.640915	0
63.000000	82.655487	0
65.000000	82.723511	0
67.000000	82.760971	0
69.000000	82.739410	0
71.000000	82.761765	0
73.000000	82.759567	0
75.000000	82.758614	0
77.500000	82.753136	0
80.000000	82.808365	0
82.500000	82.899567	0
85.000000	82.926453	0
87.500000	82.924004	0
90.000000	82.857712	0
92.500000	82.797157	0
95.000000	82.784721	0
97.500000	82.814362	0
100.000000	83.076996	0
103.000000	83.036057	0
106.000000	83.074951	0
109.000000	82.921593	0
112.000000	82.927139	0
115.000000	82.963669	0
118.000000	82.942780	0
122.000000	82.916611	0
125.000000	82.964531	0
128.000000	83.005829	0
132.000000	83.034950	0
136.000000	82.995026	0
140.000000	82.907318	0
145.000000	82.768234	0
150.000000	82.620575	0
155.000000	82.481522	0
160.000000	82.265083	0
165.000000	82.010094	0
170.000000	81.705551	0
175.000000	81.287933	0
180.000000	80.824089	0
185.000000	80.357178	0
190.000000	79.831284	0
195.000000	79.209167	0
200.000000	78.532944	0
206.000000	77.744308	0
212.000000	76.809105	0
218.000000	75.806305	0
224.000000	74.822006	0
230.000000	73.834854	0
236.000000	72.985802	0
243.000000	72.295021	0
250.000000	71.885094	0
258.000000	71.913536	0
265.000000	72.268677	0
272.000000	72.807076	0
280.000000	73.481575	0
290.000000	74.298363	0
300.000000	75.073097	0
307.000000	75.566650	0
315.000000	76.060257	0
325.000000	76.547508	0
335.000000	76.860947	0
345.000000	77.043785	0
355.000000	77.146896	0
365.000000	77.246597	0
375.000000	77.399117	0
387.000000	77.657272	0
400.000000	78.012039	0
412.000000	78.387627	0
425.000000	78.774078	0
437.000000	78.999405	0
450.000000	79.032623	0
462.000000	78.962990	0
475.000000	78.970795	0
487.000000	79.118935	0
500.000000	79.383987	0
515.000000	79.749680	0
530.000000	80.100189	0
545.000000	80.396156	0
560.000000	80.672348	0
580.000000	81.077606	0
600.000000	81.493904	0
615.000000	81.798737	0
630.000000	82.114365	0
650.000000	82.535706	0
670.000000	82.882019	0
690.000000	83.142105	0
710.000000	83.423187	0
730.000000	83.704102	0
750.000000	83.773956	0
775.000000	83.104630	0
800.000000	81.574699	0
825.000000	79.230186	0
850.000000	78.981033	0
875.000000	81.012863	0
900.000000	82.105652	0
925.000000	82.429642	0
950.000000	82.183090	0
975.000000	81.440536	0
1000.000000	80.722809	0
1030.000000	81.308723	0
1060.000000	82.687134	0
1090.000000	83.193954	0
1120.000000	83.470779	0
1150.000000	83.828262	0
1180.000000	83.917770	0
1220.000000	83.179390	0
1250.000000	83.370918	0
1280.000000	84.237991	0
1320.000000	83.962906	0
1360.000000	82.549774	0
1400.000000	82.643692	0
1450.000000	83.473251	0
1500.000000	83.677605	0
1550.000000	82.941284	0
1600.000000	83.111633	0
1650.000000	84.707199	0
1700.000000	84.971657	0
1750.000000	85.414360	0
1800.000000	85.397453	0
1850.000000	84.390564	0
1900.000000	84.566864	0
1950.000000	85.228638	0
2000.000000	86.306091	0
2060.000000	87.150902	0
2120.000000	88.012047	0
2180.000000	88.511696	0
2240.000000	88.414146	0
2300.000000	87.758476	0
2360.000000	87.770493	0
2430.000000	88.459099	0
2500.000000	89.168350	0
2580.000000	88.853668	0
2650.000000	88.507660	0
2720.000000	88.806763	0
2800.000000	88.986542	0
2900.000000	87.380402	0
3000.000000	86.788170	0
3070.000000	86.724815	0
3150.000000	86.016891	0
3250.000000	84.494804	0
3350.000000	84.899796	0
3450.000000	85.530785	0
3550.000000	84.551804	0
3650.000000	82.155670	0
3750.000000	81.253639	0
3870.000000	81.732376	0
4000.000000	81.812057	0
4120.000000	82.045448	0
4250.000000	82.420013	0
4370.000000	82.645958	0
4500.000000	82.562859	0
4620.000000	82.280128	0
4750.000000	84.541115	0
4870.000000	85.972961	0
5000.000000	86.456696	0
5150.000000	86.092537	0
5300.000000	85.245476	0
5450.000000	84.504700	0
5600.000000	84.294472	0
5800.000000	83.811890	0
6000.000000	83.210838	0
6150.000000	82.548813	0
6300.000000	81.974655	0
6500.000000	81.465866	0
6700.000000	81.453384	0
6900.000000	81.881355	0
7100.000000	82.283005	0
7300.000000	82.504379	0
7500.000000	82.764374	0
7750.000000	83.344238	0
8000.000000	83.926620	0
8250.000000	84.222076	0
8500.000000	84.014076	0
8750.000000	84.005150	0
9000.000000	84.502647	0
9250.000000	84.056526	0
9500.000000	82.813850	0
9750.000000	81.008698	0
10000.000000	78.904449	0
10300.000000	76.789261	0
10600.000000	75.355438	0
10900.000000	74.161987	0
11200.000000	73.582779	0
11500.000000	74.092110	0
11800.000000	74.644089	0
12200.000000	75.086441	0
12500.000000	74.999893	0
12800.000000	73.404015	0
13200.000000	69.401848	0
13600.000000	66.260620	0
14000.000000	60.642422	0
14500.000000	65.064354	0
15000.000000	69.940544	0
15500.000000	71.782364	0
16000.000000	74.308434	0
16500.000000	76.162598	0
17000.000000	74.187546	0
17500.000000	70.309669	0
18000.000000	68.030319	0
18500.000000	67.564827	0
19000.000000	67.491676	0
19500.000000	65.498184	0
