* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.498
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 6, 2020 8:06:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audeze Sine - SC Aviator
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	76.772324	-126.2565
21.200001	77.785545	-120.5320
21.799999	79.036110	-119.8657
22.400000	78.863770	-121.7155
23.000000	77.708771	-119.1444
23.600000	77.320389	-114.4697
24.299999	78.254082	-118.4276
25.000000	79.116547	-127.5702
25.799999	79.353096	-132.5122
26.500000	79.084778	-132.3154
27.200001	78.650505	-131.2032
28.000000	78.597595	-130.1806
29.000000	79.389069	-129.8060
30.000000	79.681480	-129.8257
30.700001	79.241714	-129.8676
31.500000	78.800537	-129.5146
32.500000	79.422997	-130.7774
33.500000	79.850906	-133.3993
34.500000	79.336296	-133.3703
35.500000	79.170532	-135.3129
36.500000	79.264023	-140.3830
37.500000	78.944084	-139.6706
38.700001	79.379478	-138.4543
40.000000	79.564522	-145.8023
41.200001	79.761246	-144.3011
42.500000	79.902016	-146.3836
43.700001	79.660027	-146.4875
45.000000	79.653671	-146.4732
46.200001	79.501022	-146.4326
47.500000	79.560623	-148.8882
48.700001	79.580704	-150.2225
50.000000	79.647690	-151.1060
51.500000	79.571114	-151.1776
53.000000	79.454659	-152.2555
54.500000	79.431564	-153.2924
56.000000	79.484558	-154.3074
58.000000	79.514328	-156.2287
60.000000	79.283150	-156.7558
61.500000	79.488678	-156.1205
63.000000	79.325989	-158.2397
65.000000	79.531868	-158.9726
67.000000	79.497528	-159.3238
69.000000	79.469635	-160.2183
71.000000	79.393158	-160.5417
73.000000	79.526749	-160.9026
75.000000	79.598328	-163.3808
77.500000	80.059151	-166.1966
80.000000	79.298996	-163.1472
82.500000	79.408539	-163.3878
85.000000	79.312973	-164.9625
87.500000	79.369698	-165.1590
90.000000	79.644852	-163.4836
92.500000	79.319595	-166.0148
95.000000	79.306496	-167.0108
97.500000	79.273476	-167.5745
100.000000	79.193466	-168.0941
103.000000	79.224625	-168.4547
106.000000	79.148758	-169.4357
109.000000	79.199860	-169.7010
112.000000	79.262352	-169.5110
115.000000	79.202454	-169.8027
118.000000	79.137001	-170.2606
122.000000	79.138489	-170.9949
125.000000	79.162094	-171.2591
128.000000	79.100029	-171.7976
132.000000	79.051689	-172.1685
136.000000	79.033096	-172.7888
140.000000	78.981453	-173.2000
145.000000	78.958977	-173.7558
150.000000	78.948067	-174.0831
155.000000	78.881645	-174.3661
160.000000	78.828308	-175.0685
165.000000	78.785522	-175.4673
170.000000	78.722893	-175.6847
175.000000	78.589600	-175.9428
180.000000	78.509712	-176.2794
185.000000	78.496414	-176.2832
190.000000	78.418945	-176.4530
195.000000	78.368637	-176.3759
200.000000	78.311668	-176.2490
206.000000	78.271942	-176.2710
212.000000	78.222374	-176.3802
218.000000	78.190132	-176.5571
224.000000	78.090302	-176.4846
230.000000	78.039246	-176.7890
236.000000	77.897057	-176.4593
243.000000	77.883514	-176.5460
250.000000	77.823540	-176.6234
258.000000	77.699463	-176.3409
265.000000	77.583244	-176.2246
272.000000	77.472427	-175.8169
280.000000	77.361015	-175.1375
290.000000	77.208069	-174.2726
300.000000	77.190704	-173.1031
307.000000	77.201752	-172.4164
315.000000	77.206093	-171.8818
325.000000	77.192154	-171.3669
335.000000	77.175446	-171.0065
345.000000	77.135941	-170.5645
355.000000	77.057739	-170.1435
365.000000	77.006264	-169.5862
375.000000	76.955002	-168.9961
387.000000	76.892662	-168.4041
400.000000	76.755630	-167.6283
412.000000	76.579285	-166.4404
425.000000	76.467148	-163.7743
437.000000	76.597313	-161.8336
450.000000	76.719742	-160.8280
462.000000	76.753098	-159.8371
475.000000	76.811966	-158.4491
487.000000	76.896988	-157.3008
500.000000	77.013283	-156.1574
515.000000	77.184158	-155.0980
530.000000	77.317284	-154.3732
545.000000	77.446663	-153.6436
560.000000	77.554039	-153.1145
580.000000	77.678696	-152.4094
600.000000	77.743729	-151.5572
615.000000	77.849075	-150.8008
630.000000	77.957901	-150.3728
650.000000	78.037849	-149.9102
670.000000	78.099289	-149.1389
690.000000	78.165428	-148.3982
710.000000	78.239639	-147.5897
730.000000	78.307846	-146.7428
750.000000	78.385353	-145.7175
775.000000	78.519341	-144.7050
800.000000	78.640862	-143.8223
825.000000	78.746124	-142.9187
850.000000	78.844574	-141.9279
875.000000	78.965096	-140.7978
900.000000	79.095993	-139.8600
925.000000	79.217514	-138.8361
950.000000	79.359955	-137.7620
975.000000	79.526451	-136.7682
1000.000000	79.702385	-135.7822
1030.000000	79.938538	-134.9134
1060.000000	80.158905	-134.1733
1090.000000	80.369415	-133.5124
1120.000000	80.566078	-132.8856
1150.000000	80.760551	-132.2023
1180.000000	80.988335	-131.6779
1220.000000	81.243546	-131.1945
1250.000000	81.428345	-130.6577
1280.000000	81.662628	-130.0987
1320.000000	81.980362	-129.9936
1360.000000	82.235550	-130.0833
1400.000000	82.446182	-129.9937
1450.000000	82.721687	-129.4832
1500.000000	83.056747	-129.1573
1550.000000	83.405235	-128.8781
1600.000000	83.749496	-128.9120
1650.000000	84.193909	-128.9051
1700.000000	84.682892	-130.1180
1750.000000	85.158463	-131.9615
1800.000000	85.469421	-135.1414
1850.000000	85.682785	-137.0131
1900.000000	85.968262	-139.5660
1950.000000	86.190689	-142.0834
2000.000000	86.374359	-144.5717
2060.000000	86.618408	-147.5394
2120.000000	86.724930	-150.1910
2180.000000	86.996986	-153.0620
2240.000000	87.010559	-156.3204
2300.000000	86.958992	-158.1628
2360.000000	86.967239	-159.3239
2430.000000	86.992905	-160.1970
