* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 6, 2020 1:47:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -0.3 dB
* Note: ; 
* Measurement: ZMF Verite BE2 Leather
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	77.129021	-81.9895
21.200001	77.293701	-84.1550
21.799999	77.290619	-86.2429
22.400000	77.257751	-87.5928
23.000000	77.395508	-88.6469
23.600000	77.638725	-90.6324
24.299999	77.698639	-93.8195
25.000000	77.557716	-95.9240
25.799999	77.797455	-98.3129
26.500000	78.307671	-102.6199
27.200001	78.689178	-105.8006
28.000000	79.074120	-104.6464
29.000000	79.452812	-102.8374
30.000000	78.910805	-105.0099
30.700001	78.540298	-106.9745
31.500000	78.713188	-109.6053
32.500000	79.172958	-112.2230
33.500000	79.270950	-113.5404
34.500000	79.095909	-115.2506
35.500000	79.181831	-116.2539
36.500000	79.520447	-117.2722
37.500000	79.611893	-118.7150
38.700001	79.571953	-121.2014
40.000000	79.604820	-122.8204
41.200001	79.786224	-124.3443
42.500000	79.593109	-124.7955
43.700001	79.797157	-125.3595
45.000000	79.958359	-128.6010
46.200001	80.100792	-130.2058
47.500000	80.192162	-130.8483
48.700001	80.285362	-132.2631
50.000000	80.410797	-133.7889
51.500000	80.493660	-134.4618
53.000000	80.517601	-135.4792
54.500000	80.595718	-137.1767
56.000000	80.618546	-139.0168
58.000000	80.750557	-139.5863
60.000000	80.849960	-141.2284
61.500000	80.828949	-141.9857
63.000000	80.882324	-143.4878
65.000000	80.971428	-144.8541
67.000000	81.022011	-145.8540
69.000000	81.030388	-147.2402
71.000000	81.061050	-148.5085
73.000000	81.066582	-149.8821
75.000000	81.089783	-151.0140
77.500000	81.128296	-152.3071
80.000000	81.110397	-153.9779
82.500000	81.092728	-154.7030
85.000000	80.890869	-155.1314
87.500000	81.028618	-156.3321
90.000000	81.113678	-157.9604
92.500000	81.033524	-159.4368
95.000000	80.983917	-160.1570
97.500000	80.973495	-161.1829
100.000000	80.910553	-162.1731
103.000000	80.873924	-163.1044
106.000000	80.831703	-164.0476
109.000000	80.826759	-164.5867
112.000000	80.788849	-165.4893
115.000000	80.751480	-166.2995
118.000000	80.697884	-166.7076
122.000000	80.671982	-167.6122
125.000000	80.624298	-168.1362
128.000000	80.590088	-168.7179
132.000000	80.537796	-169.3671
136.000000	80.460487	-169.9107
140.000000	80.390282	-170.2782
145.000000	80.348824	-170.6308
150.000000	80.291626	-171.1877
155.000000	80.240952	-171.4347
160.000000	80.194122	-171.7080
165.000000	80.196350	-171.9676
170.000000	80.188171	-172.3935
175.000000	80.150757	-172.5662
180.000000	80.094025	-172.9553
185.000000	80.097549	-173.1749
190.000000	80.085449	-173.4887
195.000000	80.051857	-173.7463
200.000000	80.027946	-174.1057
206.000000	79.974243	-174.5192
212.000000	79.927887	-174.6572
218.000000	79.883987	-174.9973
224.000000	79.828003	-175.1968
230.000000	79.777405	-175.1187
236.000000	79.716324	-175.0428
243.000000	79.693886	-174.8559
250.000000	79.681717	-174.8322
258.000000	79.679779	-174.7167
265.000000	79.676041	-174.8316
272.000000	79.663475	-174.8986
280.000000	79.645164	-174.8651
290.000000	79.641052	-174.8294
300.000000	79.642159	-174.8677
307.000000	79.628899	-175.0132
315.000000	79.614365	-174.8226
325.000000	79.612572	-174.8861
335.000000	79.602631	-174.8316
345.000000	79.619598	-174.9228
355.000000	79.614426	-174.8135
365.000000	79.627068	-174.8392
375.000000	79.654755	-174.9115
387.000000	79.674561	-175.1161
400.000000	79.669212	-175.2875
412.000000	79.659721	-175.5323
425.000000	79.665352	-175.7162
437.000000	79.654350	-175.9543
450.000000	79.622780	-176.1472
462.000000	79.578667	-176.2612
475.000000	79.575691	-176.4219
487.000000	79.530197	-176.6510
500.000000	79.485451	-176.7355
515.000000	79.402458	-176.9454
530.000000	79.341949	-176.6769
545.000000	79.305252	-176.7613
560.000000	79.215134	-176.8262
580.000000	79.050514	-176.3525
600.000000	79.011108	-175.5877
615.000000	78.936287	-175.1064
630.000000	78.951736	-174.5362
650.000000	78.916847	-174.3442
670.000000	78.848923	-173.6907
690.000000	78.838966	-174.0070
710.000000	78.445312	-172.5277
730.000000	78.559212	-170.0969
750.000000	78.634445	-168.9084
775.000000	78.843544	-167.5858
800.000000	79.056244	-167.1426
825.000000	79.147354	-166.7746
850.000000	79.314857	-166.1770
875.000000	79.498688	-165.9917
900.000000	79.735512	-166.2724
925.000000	79.904602	-167.7217
950.000000	79.860313	-168.9932
975.000000	79.919098	-169.5876
1000.000000	79.874191	-171.0792
1030.000000	79.696770	-171.6699
1060.000000	79.610291	-172.5407
1090.000000	79.411552	-172.5786
1120.000000	79.238823	-172.6166
1150.000000	78.996841	-172.5887
1180.000000	78.901016	-171.9291
1220.000000	78.662315	-171.7990
1250.000000	78.462578	-170.7132
1280.000000	78.341553	-169.4835
1320.000000	78.304375	-168.5310
1360.000000	78.039879	-166.8827
1400.000000	77.987259	-164.4071
1450.000000	78.055672	-162.5062
1500.000000	78.074089	-160.0670
1550.000000	78.254631	-158.3336
1600.000000	78.369263	-157.6185
1650.000000	78.375381	-156.7957
1700.000000	78.520264	-155.2987
1750.000000	78.468285	-154.3823
1800.000000	78.696945	-152.0511
1850.000000	78.908646	-150.9856
1900.000000	79.275002	-149.4974
1950.000000	79.765388	-148.1344
2000.000000	80.325607	-148.1496
2060.000000	81.036140	-148.3058
2120.000000	81.704002	-150.6621
2180.000000	82.305382	-152.1632
2240.000000	82.970505	-155.0234
2300.000000	83.556686	-157.5471
2360.000000	84.269409	-161.5816
2430.000000	84.911804	-167.5559
2500.000000	85.292587	-175.1669
2580.000000	85.444443	176.1082
2650.000000	85.258659	167.6606
2720.000000	84.680946	159.3450
2800.000000	83.375015	150.0542
2900.000000	80.397179	145.8337
3000.000000	77.320175	160.7053
3070.000000	77.147583	177.8029
3150.000000	78.316772	-170.7818
3250.000000	79.635529	-165.6107
3350.000000	80.440132	-163.3423
3450.000000	81.070549	-162.3002
3550.000000	81.459702	-161.4141
3650.000000	81.805237	-160.2556
3750.000000	82.176476	-159.6204
3870.000000	82.469971	-159.9711
4000.000000	82.495155	-159.9865
4120.000000	82.402275	-158.8139
4250.000000	82.249695	-156.1183
4370.000000	82.266922	-151.9973
4500.000000	82.635834	-148.1483
4620.000000	82.916618	-146.0258
4750.000000	83.134010	-143.3677
4870.000000	83.405228	-140.3134
5000.000000	83.917557	-136.6730
5150.000000	84.849304	-133.6073
5300.000000	85.981140	-133.2032
5450.000000	87.037453	-135.5090
5600.000000	87.950569	-139.8650
5800.000000	88.784531	-147.8770
6000.000000	89.469017	-158.2042
6150.000000	89.762253	-168.6984
6300.000000	89.705338	178.3624
6500.000000	88.847725	158.1980
6700.000000	86.668907	135.7318
6900.000000	82.362938	119.1561
7100.000000	77.170700	124.5788
7300.000000	74.647881	142.1859
7500.000000	73.938728	154.6936
7750.000000	74.000458	165.4660
8000.000000	75.223137	170.7036
8250.000000	77.362831	161.4480
8500.000000	77.533646	135.1581
8750.000000	75.156357	115.7105
9000.000000	73.413002	100.1378
9250.000000	71.056282	69.3357
9500.000000	64.420578	25.4769
9750.000000	52.797062	-7.4155
10000.000000	53.401752	-54.5518
10300.000000	61.324089	-88.3529
10600.000000	66.393036	-116.3016
10900.000000	68.907211	-148.0101
11200.000000	70.582428	173.7078
11500.000000	71.023041	119.3784
11800.000000	71.536316	62.5261
12200.000000	74.282753	-10.9573
12500.000000	74.867897	-55.3055
12800.000000	73.799141	-84.7565
13200.000000	73.725357	-98.8635
13600.000000	74.755379	-127.7119
14000.000000	72.502739	-151.1605
14500.000000	69.386215	-159.6084
15000.000000	69.502808	-147.5199
