* Measurement data measured by REW V5.20 Beta 59
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Nov 6, 2020 1:45:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Verite Univ Perf Lea
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	75.866768	-75.1823
21.200001	76.043335	-76.1407
21.799999	76.298172	-77.0571
22.400000	76.582077	-78.5594
23.000000	76.826096	-80.3872
23.600000	77.032173	-82.1672
24.299999	77.240875	-84.2284
25.000000	77.389000	-86.3261
25.799999	77.501633	-88.2739
26.500000	77.636360	-89.3152
27.200001	77.849686	-90.1985
28.000000	78.096840	-91.9055
29.000000	78.256264	-94.9539
30.000000	78.351852	-98.0495
30.700001	78.412682	-99.6259
31.500000	78.533157	-100.3658
32.500000	78.747871	-101.9217
33.500000	78.777840	-103.8749
34.500000	78.960052	-105.8668
35.500000	78.960770	-108.1499
36.500000	79.178436	-107.7033
37.500000	79.574875	-110.4378
38.700001	79.327446	-111.8689
40.000000	79.732704	-113.3754
41.200001	79.639458	-116.5723
42.500000	79.882080	-116.9332
43.700001	79.930237	-119.1779
45.000000	79.900185	-120.1930
46.200001	80.069603	-121.3520
47.500000	80.244789	-123.3764
48.700001	80.244606	-124.4151
50.000000	80.314606	-125.2108
51.500000	80.460503	-126.3924
53.000000	80.706734	-128.5484
54.500000	80.702560	-130.3161
56.000000	80.701584	-131.1605
58.000000	80.880524	-131.9815
60.000000	80.996979	-133.8702
61.500000	81.071419	-135.4696
63.000000	81.040489	-136.2422
65.000000	81.172493	-137.9249
67.000000	81.214157	-139.3186
69.000000	81.255814	-140.6279
71.000000	81.267540	-141.8969
73.000000	81.599602	-143.6317
75.000000	81.387405	-144.3712
77.500000	81.263718	-145.8585
80.000000	81.265114	-147.1094
82.500000	81.250244	-148.4501
85.000000	81.332100	-149.5035
87.500000	81.288307	-150.0498
90.000000	81.323914	-151.0623
92.500000	81.295746	-152.3957
95.000000	81.314392	-153.1437
97.500000	81.292419	-154.1419
100.000000	81.287514	-154.8129
103.000000	81.266304	-156.1709
106.000000	81.221756	-156.7794
109.000000	81.217705	-157.5017
112.000000	81.246246	-158.0954
115.000000	81.243774	-158.9096
118.000000	81.209045	-159.4316
122.000000	81.210983	-160.2790
125.000000	81.205658	-160.7778
128.000000	81.187485	-161.3061
132.000000	81.164764	-162.0761
136.000000	81.119324	-162.6602
140.000000	81.086639	-163.0749
145.000000	81.087334	-163.5035
150.000000	81.068283	-163.9827
155.000000	81.068909	-164.3098
160.000000	81.096916	-164.7950
165.000000	81.104698	-165.2245
170.000000	81.110405	-165.8285
175.000000	81.101013	-166.2509
180.000000	81.071602	-166.6340
185.000000	81.094650	-166.8022
190.000000	81.101868	-167.1038
195.000000	81.107941	-167.3808
200.000000	81.107834	-167.7755
206.000000	81.108238	-168.1347
212.000000	81.107643	-168.3984
218.000000	81.124428	-168.5303
224.000000	81.142830	-168.9487
230.000000	81.125359	-169.0893
236.000000	81.129890	-169.4879
243.000000	81.147751	-169.6519
250.000000	81.159424	-169.8983
258.000000	81.169037	-170.2369
265.000000	81.177193	-170.5446
272.000000	81.200417	-170.7858
280.000000	81.192078	-171.1171
290.000000	81.207092	-171.3493
300.000000	81.229462	-171.7244
307.000000	81.239395	-172.1205
315.000000	81.245041	-172.3684
325.000000	81.301140	-172.6661
335.000000	81.303162	-173.3204
345.000000	81.303032	-173.6761
355.000000	81.260590	-174.2129
365.000000	81.243027	-174.5204
375.000000	81.243835	-174.6674
387.000000	81.237404	-175.2083
400.000000	81.193878	-175.5104
412.000000	81.181122	-175.7440
425.000000	81.168274	-175.8826
437.000000	81.190346	-176.1996
450.000000	81.193832	-176.6864
462.000000	81.162888	-177.1159
475.000000	81.158058	-177.6959
487.000000	81.082443	-178.4048
500.000000	80.979309	-178.9651
515.000000	80.810738	-179.3928
530.000000	80.645584	-179.0869
545.000000	80.514160	-178.7099
560.000000	80.393539	-177.8726
580.000000	80.323074	-176.4153
600.000000	80.470840	-175.2570
615.000000	80.526550	-174.9403
630.000000	80.675781	-174.7798
650.000000	80.778809	-175.5308
670.000000	80.791008	-176.0165
690.000000	80.781891	-177.3282
710.000000	80.447884	-176.4024
730.000000	80.697891	-175.6579
750.000000	80.711868	-176.1834
775.000000	80.898865	-177.1083
800.000000	80.843124	-179.1889
825.000000	80.636337	-179.9540
850.000000	80.553429	179.1915
875.000000	80.339638	178.3296
900.000000	80.178421	177.8615
925.000000	79.960197	176.6421
950.000000	79.574036	176.3630
975.000000	79.311447	176.2869
1000.000000	78.880249	176.1127
1030.000000	78.402435	177.8562
1060.000000	78.063774	179.4423
1090.000000	77.674789	-177.7899
1120.000000	77.407104	-174.7374
1150.000000	77.212234	-171.1879
1180.000000	77.296326	-167.0871
1220.000000	77.477913	-164.9910
1250.000000	77.466553	-162.6331
1280.000000	77.755653	-159.8785
1320.000000	78.096390	-159.8541
1360.000000	78.018524	-158.2662
1400.000000	78.202446	-156.7077
1450.000000	78.110352	-155.9859
1500.000000	78.096390	-152.3227
1550.000000	78.235153	-149.6092
1600.000000	78.327988	-146.2836
1650.000000	78.675438	-142.8792
1700.000000	79.135094	-140.0962
1750.000000	79.678078	-137.1814
1800.000000	80.427711	-136.0562
1850.000000	81.099648	-135.2067
1900.000000	81.911873	-135.2888
1950.000000	82.776016	-136.1106
2000.000000	83.584587	-138.1823
2060.000000	84.572548	-141.4684
2120.000000	85.382523	-146.1903
2180.000000	86.183197	-150.9994
2240.000000	86.794464	-156.9946
2300.000000	87.306122	-162.7015
2360.000000	87.731857	-169.0301
2430.000000	88.124069	-176.6246
2500.000000	88.302292	175.0985
2580.000000	88.317436	165.2350
2650.000000	88.041161	156.0079
2720.000000	87.391251	146.4365
2800.000000	85.978569	136.1123
2900.000000	82.959122	129.4272
3000.000000	79.445557	140.2737
3070.000000	78.602493	157.2394
3150.000000	79.479767	170.5126
3250.000000	80.660446	176.2725
3350.000000	81.302345	178.3600
3450.000000	81.726707	179.1799
3550.000000	81.759583	179.7842
3650.000000	81.698471	-178.0615
3750.000000	81.738831	-175.4731
3870.000000	81.834854	-172.3801
4000.000000	81.963318	-168.9504
4120.000000	82.126961	-165.4202
4250.000000	82.483337	-161.8546
4370.000000	82.823837	-159.2306
4500.000000	83.217903	-156.8092
4620.000000	83.521332	-155.0380
4750.000000	83.847160	-152.6047
4870.000000	84.244438	-150.0463
5000.000000	84.944427	-147.0916
5150.000000	86.221039	-145.7416
5300.000000	87.691513	-149.5267
5450.000000	88.722015	-158.5303
5600.000000	88.959427	-170.2279
5800.000000	87.898987	177.2088
6000.000000	86.834061	172.5419
6150.000000	86.554001	168.9797
6300.000000	86.563919	162.1515
6500.000000	86.065002	146.0193
6700.000000	84.306824	124.8327
6900.000000	80.376411	105.8252
7100.000000	74.825638	105.0264
7300.000000	70.654221	120.3251
7500.000000	67.881035	140.4803
7750.000000	68.038269	174.9614
8000.000000	71.560104	-177.1750
8250.000000	73.404549	169.6453
8500.000000	73.055984	153.5085
8750.000000	72.132088	142.4968
9000.000000	71.991318	130.0914
9250.000000	71.735947	96.3626
9500.000000	66.996071	48.1968
9750.000000	60.374474	9.2720
10000.000000	58.979446	-33.9364
10300.000000	61.282486	-70.4897
10600.000000	65.860153	-87.0310
10900.000000	68.354088	-140.9752
11200.000000	63.146286	141.0061
11500.000000	62.163170	22.3596
11800.000000	68.253426	-38.8304
12200.000000	72.215591	-78.0040
12500.000000	73.165642	-116.4921
12800.000000	69.054688	-140.4512
13200.000000	65.936066	-123.6713
13600.000000	67.599228	-121.8402
14000.000000	67.223648	-134.7151
14500.000000	62.510155	-117.2363
15000.000000	72.943161	-95.1218
15500.000000	76.042595	-137.7700
16000.000000	76.250732	-158.8372
16500.000000	79.764702	155.6030
17000.000000	79.664032	79.3112
17500.000000	67.654182	83.2189
18000.000000	71.418030	74.9526
18500.000000	71.560043	34.7189
19000.000000	71.506714	-6.3241
19500.000000	71.145676	-64.0760
