* Measurement data measured by REW V5.20
* Source: Frequency Response Averaged data
* Format: Averaged data produced from HD8XX R1, HD8XX R2, HD8XX R3
* Dated: Dec 29, 2021 6:23:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from HD8XX R1, HD8XX R2, HD8XX R3
* Measurement: HD8XX R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	66.505638	0
21.200001	66.093109	0
21.799999	66.773491	0
22.400000	67.598633	0
23.000000	67.951546	0
23.600000	69.186211	0
24.299999	70.171539	0
25.000000	68.966766	0
25.799999	68.746170	0
26.500000	69.733101	0
27.200001	69.963837	0
28.000000	69.764725	0
29.000000	69.564041	0
30.000000	69.852493	0
30.700001	69.822250	0
31.500000	69.888664	0
32.500000	70.109215	0
33.500000	70.351891	0
34.500000	70.708313	0
35.500000	70.944061	0
36.500000	71.029282	0
37.500000	71.249771	0
38.700001	71.544037	0
40.000000	71.723511	0
41.200001	71.752419	0
42.500000	71.907104	0
43.700001	71.846649	0
45.000000	71.832764	0
46.200001	71.932205	0
47.500000	72.183594	0
48.700001	72.384613	0
50.000000	72.354523	0
51.500000	72.554367	0
53.000000	72.772293	0
54.500000	72.829109	0
56.000000	72.856026	0
58.000000	72.717125	0
60.000000	72.514427	0
61.500000	72.357231	0
63.000000	72.285141	0
65.000000	72.448830	0
67.000000	72.611252	0
69.000000	72.744965	0
71.000000	73.144966	0
73.000000	73.328125	0
75.000000	73.379707	0
77.500000	73.556137	0
80.000000	73.754028	0
82.500000	73.884499	0
85.000000	74.081848	0
87.500000	74.118309	0
90.000000	74.080711	0
92.500000	74.486862	0
95.000000	74.540352	0
97.500000	75.302307	0
100.000000	75.676079	0
103.000000	75.109390	0
106.000000	75.073639	0
109.000000	75.121315	0
112.000000	75.209114	0
115.000000	75.399414	0
118.000000	75.496613	0
122.000000	75.579956	0
125.000000	75.716049	0
128.000000	75.805573	0
132.000000	75.893890	0
136.000000	75.969254	0
140.000000	76.057877	0
145.000000	76.141685	0
150.000000	76.281250	0
155.000000	76.388184	0
160.000000	76.459496	0
165.000000	76.530464	0
170.000000	76.600517	0
175.000000	76.677269	0
180.000000	76.729538	0
185.000000	76.805855	0
190.000000	76.908600	0
195.000000	76.944412	0
200.000000	77.006386	0
206.000000	77.073624	0
212.000000	77.135979	0
218.000000	77.208252	0
224.000000	77.256165	0
230.000000	77.310349	0
236.000000	77.358795	0
243.000000	77.420563	0
250.000000	77.484825	0
258.000000	77.553253	0
265.000000	77.600952	0
272.000000	77.640068	0
280.000000	77.686493	0
290.000000	77.757446	0
300.000000	77.818878	0
307.000000	77.849945	0
315.000000	77.895866	0
325.000000	77.956734	0
335.000000	78.023186	0
345.000000	78.072517	0
355.000000	78.077072	0
365.000000	78.105400	0
375.000000	78.151497	0
387.000000	78.207886	0
400.000000	78.260330	0
412.000000	78.297913	0
425.000000	78.356918	0
437.000000	78.407333	0
450.000000	78.432465	0
462.000000	78.439026	0
475.000000	78.433937	0
487.000000	78.408875	0
500.000000	78.371864	0
515.000000	78.356888	0
530.000000	78.380615	0
545.000000	78.400314	0
560.000000	78.397018	0
580.000000	78.381325	0
600.000000	78.363861	0
615.000000	78.352524	0
630.000000	78.348152	0
650.000000	78.373009	0
670.000000	78.336220	0
690.000000	78.273849	0
710.000000	78.176598	0
730.000000	78.044746	0
750.000000	77.920937	0
775.000000	77.760620	0
800.000000	77.556870	0
825.000000	77.374573	0
850.000000	77.198715	0
875.000000	76.968361	0
900.000000	76.636108	0
925.000000	76.267334	0
950.000000	75.879425	0
975.000000	75.478157	0
1000.000000	75.098412	0
1030.000000	74.704697	0
1060.000000	74.204926	0
1090.000000	73.742096	0
1120.000000	73.301407	0
1150.000000	72.859528	0
1180.000000	72.497650	0
1220.000000	72.355263	0
1250.000000	72.438499	0
1280.000000	72.536560	0
1320.000000	72.789780	0
1360.000000	73.047050	0
1400.000000	73.121529	0
1450.000000	73.199585	0
1500.000000	73.069763	0
1550.000000	73.102623	0
1600.000000	73.096054	0
1650.000000	73.175781	0
1700.000000	73.396500	0
1750.000000	73.588013	0
1800.000000	73.860214	0
1850.000000	74.035782	0
1900.000000	74.304901	0
1950.000000	74.575043	0
2000.000000	74.975952	0
2060.000000	75.473732	0
